dummy-y-val,sales,walmart,amazon,store,stores,retail,brands,retailer,earnings,quarter,chain,starbucks,percent,brand,analysts,cnbc,delivery,macy,online,company,revenue,customers,retailers,farmers,shares,grocery,apparel,services,fashion,nordstrom,locations,shoppers,agriculture,producers,commerce,crop,kroger,shopping,restaurant,alibaba,digital,straws,buy,expectations,sears,quarterly,agricultural,rose,clothing,prime,platform,growth,restaurants,coffee,deal,trump,google,street,grew,farm,rivals,trading,share,inventory,firm,paper,fiscal,customer,soybeans,maker,hong,kong,alberta,crops,giant,adjusted,ceo,price,soybean,chains,shop,bringing,tencent,compete,buying,line,burger,cattle,profit,feed,penney,june,expects,consumers,reported,technology,wall,farms,cramer,dunkin
12.21961581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
11.40657003,1,0,3,0,0,2,1,0,4,5,0,0,10,0,1,0,0,0,1,12,0,0,0,1,3,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,1,0,3,0,0,0,0,1,0,1,0,9,1,0,1,6,2,1,1,0,0,12,16,0,0,0,0,0,0,0,1,1,0,0,0,1,0,7,0,0,0,0,0,0,1,2,0,0,4,0,0,3,0,0,3,7,1,0,0,0
11.10485269,3,0,0,1,2,4,1,0,1,4,2,1,12,0,1,1,0,0,4,8,2,0,6,0,0,0,2,2,0,0,0,1,0,0,1,0,0,9,0,2,1,0,2,3,2,1,0,1,0,2,1,32,0,0,13,12,0,5,0,0,1,2,9,0,0,1,4,2,0,0,0,0,0,0,0,0,6,6,0,2,0,0,1,0,4,1,0,0,1,0,0,2,0,5,4,0,4,0,0,0
11.27574925,8,2,3,3,12,6,0,2,8,5,1,0,50,1,11,3,7,0,12,7,4,5,3,0,3,4,1,4,1,0,0,1,0,3,0,0,0,3,2,3,0,0,7,3,0,0,0,2,0,4,1,21,3,0,5,2,1,2,2,0,0,4,8,1,2,0,11,1,0,1,1,1,0,0,0,0,0,9,0,1,0,2,0,0,4,2,0,0,2,0,0,4,2,1,2,5,4,0,0,0
10.22957877,9,0,0,2,0,1,2,0,0,1,1,0,30,1,2,0,0,0,5,7,6,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,12,0,4,1,0,0,0,1,0,6,0,8,0,0,8,1,0,1,0,0,1,1,7,0,4,1,3,0,0,1,0,0,0,0,1,0,1,11,0,1,0,0,0,1,1,1,0,0,1,0,0,3,0,0,0,2,0,0,0,0
12.86967064,22,5,2,3,3,4,8,3,10,8,5,0,48,0,8,0,3,0,7,37,14,11,4,1,9,1,1,3,1,1,0,2,0,0,0,0,0,2,7,0,1,0,8,9,0,1,3,5,3,5,2,28,13,2,8,13,1,9,2,1,1,5,18,4,1,2,8,5,0,0,2,1,0,3,2,1,6,19,0,4,0,1,1,1,1,7,8,0,7,2,0,3,1,5,6,19,4,2,0,0
14.168064,22,3,5,1,8,14,6,7,20,12,7,0,69,3,8,4,1,0,2,47,17,16,8,0,15,1,4,12,2,0,0,2,2,1,1,0,0,2,0,0,1,0,7,9,0,5,2,12,1,1,0,36,0,1,11,9,0,8,5,2,2,6,28,2,4,0,12,4,0,2,0,0,0,0,0,7,6,7,0,1,0,0,0,0,2,3,1,0,6,0,0,8,0,1,9,7,5,0,7,0
8.819496559,9,0,0,1,0,0,4,0,1,2,6,0,34,4,5,24,1,0,1,12,5,2,1,2,4,0,0,3,0,0,0,0,0,2,1,1,0,0,0,0,6,0,8,1,0,1,1,5,0,5,0,9,0,0,11,8,4,4,0,0,1,3,7,0,4,2,1,0,0,1,13,13,0,0,1,0,3,12,0,0,2,1,0,1,3,2,0,0,3,0,0,0,0,5,2,2,0,0,0,0
10.64469524,10,2,21,4,4,4,2,0,1,6,3,0,24,7,2,0,1,0,4,9,3,1,2,0,3,2,0,7,4,0,2,10,0,0,2,0,0,6,0,0,3,0,3,1,0,2,0,3,0,3,2,18,0,0,12,2,4,1,0,0,3,1,6,0,0,0,6,1,0,0,0,0,0,0,1,0,0,7,0,1,4,1,0,1,1,1,0,0,1,0,0,1,2,4,2,2,0,0,0,0
6.684276697,15,10,6,12,13,8,2,0,12,6,3,0,19,1,3,1,0,0,7,6,5,2,10,0,8,1,3,3,0,0,0,2,0,0,0,0,0,4,1,1,1,0,5,1,2,2,0,10,1,1,1,23,2,0,1,9,2,1,0,0,5,3,5,1,0,1,4,2,0,0,2,1,0,1,0,1,4,4,0,10,3,2,2,0,2,1,0,0,2,0,10,2,5,0,4,4,1,0,0,0
