,Class,Headline,Description,Link
1,Retail ,,TJX beat on both the top and bottom lines. The retailer raised its full-year guidance for earnings and comparable sales. Shares of TJX jumped as much as 5% in the Tuesday pre-market trading. Watch TJX trade in real-time here. TJX reported second-quarter resul,https://markets.businessinsider.com/news/stocks/tjx-stock-price-earnings-top-wall-street-2018-8-1027473888
2,Retail ,Walmart is suing a former top executive to stop her from sharing its secrets with Amazon,"When Disney launches its Netflix competitor in 2019, the Mouse House will pull its A-list movies and TV shows from Netflix. New research shows that most Netflix subscribers who have young children, who will likely be most affected by the change, have no idea ",http://www.businessinsider.com/marriott-rewards-premier-plus-free-hotel-stay-with-signup-bonus-2018-5
3,Retail ,Walmart is beating Amazon at its own game (WMT),"Disney is set to report third-quarter earnings after the closing bell Tuesday. Millennial investors were snapping up shares ahead of the release, with 65,000 investors on Robinhood holding the stock. Investors will be looking for details about its proposed $7",http://www.businessinsider.com/marriott-rewards-card-100k-point-bonus-last-minute-deal-2018-7
4,Retail ,"Walmart jumps after it partners with a Japanese e-commerce giant to take on Amazon (WMT, AMZN)","Gap has issued an apology for selling a T-shirt that depicts China without Taiwan, South Tibet, or the South China Sea. The US clothing brand apologized and said that it "" respects the sovereignty and territorial integrity of China."" Gap is the latest company",http://www.businessinsider.com/marriott-rewards-premier-plus-credit-card-review-signup-upgrade-bonus-2018-5
5,Retail ,10 easy ways to save money and get the most out of shopping online at Walmart,"Director Ron Howard responded to the poor box-office performance of ""Solo"" on Twitter over the weekend. He responded to a Twitter user's tweet suggesting that some fans might be protesting the franchise because they are still upset over ""The Last Jedi."" ""As a",https://www.businessinsider.com/trump-boycott-retailers-sell-trump-products-2017-1
6,Retail ,Amazon's 2 most powerful rivals just decided to team up,"Stocks finished the day down slightly, with the S&P 500 posting a three-day losing streak, as a brief rebound in tech stocks failed to float markets back to the green. Snap in particular got a much needed boost, gaining more than 9% after Barclays said the st",http://www.businessinsider.com/spg-marriott-rewards-merger-new-loyalty-program-credit-card-bonus-2018-4
7,Retail ,,"Shareholders of Walt Disney Co. and 21st Century Fox Inc. will vote on the proposed $71 billion tie-up of the two companies on July 27, the companies said.",https://www.bloomberg.com/news/articles/2018-06-27/former-trump-hotel-in-panama-will-be-branded-as-a-jw-marriott
8,Retail ,,"Six years after Walt Disney Co. spent $4 billion to buy a single franchise, Star Wars is looking a little less stellar.",https://www.wsj.com/articles/fox-rejected-higher-comcast-bid-due-to-antitrust-concerns-1524091402
9,Retail ,,"Stocks fell Thursday after weaker-than-expected earnings and as trade tensions escalated on multiple fronts. Treasury yields and the dollar slipped after President Donald Trump criticized Fed policy. Here is the scoreboard: Dow Jones industrial average : 25,",https://www.wsj.com/articles/at-t-time-warner-green-light-means-more-big-cable-bundles-1528896795
10,NR,,"Apple's iOS 12 has hinted from the outset that an iPad with a notched display was in the works (the status bar conspicuously made room for it). If you were wondering whether or not that meant an iPhone X -style TrueDepth camera and Face ID, though, you can ",https://www.engadget.com/2018/07/03/ios-12-code-hints-at-ipad-with-face-id/
11,NR,,"Now that Dontnod has set up some of the framework for Life is Strange 2 with The Awesome Adventures of Captain Spirit, it's ready to tease a bit of the game itself... and clearly, something's amiss. The brief clip shows a police officer responding to a ""10-1",https://www.engadget.com/2018/08/02/life-is-strange-2-teaser/
12,NR,,"Restaurant delivery service DoorDash is joining the unicorn club with its latest round of funding. The company is announcing that its raised $535 million in a Series D round. And while its not saying anything about valuation, a source close to DoorDash told",http://techcrunch.com/2018/03/01/doordash-series-d/
13,NR,,"Microsoft's Build developer conference kicks off today at 11:30AM Eastern with a keynote from CEO Satya Nadella. As we've covered, you can expect to hear more about the company's AI plans, the increasing role of the Microsoft Graph in Windows 10 and whatever ",https://www.engadget.com/2018/05/07/microsoft-build-2018-keynote-livestream/
14,NR,,"Stephen Hawking, whose work advanced the state of physics as much as the popular understanding of it, has died at the age of 76, his family has said. Hawking's brilliant intellect and unflinching personality famously contrasted with the wasting disease from w",http://techcrunch.com/2018/03/13/stephen-hawking-has-died-at-76/
15,NR,,"Out of the handful of new devices from Xiaomi today, it was the Mi 8 Explorer Edition that stole the show with its transparent design. Right after the keynote, I had to fight a crowd to get up close and personal with one of the few demo devices available, and",https://www.engadget.com/2018/05/31/xiaomi-mi-8-explorer-edition-transparent-hands-on/
16,NR,,"We've slathered on our sunscreen, our cameras have fresh SD cards and our fingers are itchy  the conditions are right for a Google I/O liveblog. Google has spent the last week dropping news and announcements left and right, but with three full days of show a",https://www.engadget.com/2018/05/08/google-i-o-2018-keynote-live/
17,NR,,"When Fitbit launched its first true smartwatch last year, it had something to prove. The company had just bought beloved smartwatch pioneer Pebble, and up till then had struggled to produce a wearable with a proper operating system. So it's no surprise that t",https://www.engadget.com/2018/03/26/fitbit-versa-review/
18,NR,,"YouTube's presence at SXSW 2018 extended beyond its Story HQ, a space where it turned ads into videos that feel more like art. The company's CEO, Susan Wojcicki, was part of a panel at the event titled ""Navigating the Video Revolution in the Digital Age."" The",https://www.engadget.com/2018/03/13/youtube-ceo-susan-wojcicki-information-cues-sxsw/
19,NR,,"A series of departures continued this morning at Chamath Palihapitiya's VC firm, Social Capital, with Mike Ghaffary, a partner since August 2017, announcing he was moving on to focus on angel investing.",http://techcrunch.com/2018/08/31/the-mass-exodus-at-social-capital-continues/
20,NR,,"You may know that VR in large rooms is becoming a reality, but what about venturing between rooms? It might happen sooner than you think, albeit with a few caveats. HTC has shown off an experience that used a SteamVR beta, a Vive Pro and 16 base stations to a",https://www.engadget.com/2018/07/15/htc-hints-at-multi-room-steamvr/
21,Agriculture,,Bloomberg Keep an Eye on These Assets in China Tariff Saga Bloomberg U.S. equity markets sank and investors sought out havens in Treasuries and gold futures after reports that President Donald Trump is expected to announce $50 billion of tariffs against China,https://www.bloomberg.com/news/articles/2018-03-22/keep-an-eye-on-these-assets-as-china-tariff-saga-unfolds
22,Agriculture,,"Twenty-something founders are crowding around health food, influencer marketing, and services for minority groups, according to the results of Inc.'s annual '30 under 30' list.",https://www.inc.com/zoe-henry/30-under-30-2018-hottest-industries-for-millennial-entrepreneurs.html
23,Agriculture,,"We all have to eat, right? That's a great starting point for just about any investment in the agriculture industry. But there's a lot more to it than that.",https://www.fool.com/investing/2018/02/02/top-stocks-in-agriculture.aspx
24,Agriculture,,The protectionist trade policy also threatens jobs in industries from Kentucky bourbon to Wisconsin cranberries.,http://www.huffingtonpost.com/entry/trump-tariffs-products-expensive_us_5aa247dde4b01b9b0a39f936
25,Agriculture,,"Wall Street Journal China Tried Hard to Ease Trade Tensions; Trump Had Other Ideas Wall Street Journal China sent Liu He, President Xi Jinping's top economic adviser, on the heels of a visit by the country's top diplomat. Photo: jason lee/Reuters. By. Linglin",https://www.wsj.com/articles/china-tried-hard-to-ease-trade-tensions-trump-had-other-ideas-1519995762
26,Agriculture,,"Corn is America's top crop. That creates big market opportunities for Ingredion, Green Plains, and Archer Daniels Midland.",https://www.fool.com/investing/2018/01/09/3-top-corn-stocks-to-consider-buying-now.aspx
27,Agriculture,,"Cirque du Soleil acrobat Yann Arnaud fatal fall has cast a shadow over the world of circus on its 250th anniversary. Is audience demand for bigger thrills in the big top driving performers to ever greater risks? Ten days ago, Yann Arnaud, a French acrobat b",https://www.theguardian.com/stage/2018/mar/26/circus-yann-arnaud-cirque-du-soleil-fatal-fall
28,Agriculture,,NEW YORK (AP)  Wall Street is flooding into the agricultural sector on reports that the Trump administration is preparing a plan that would send billions in aid to U.S. farmers hurt by tariffs. CF Industries Holding and Mosaic Company both traded up more tha,https://www.seattletimes.com/business/ag-sector-bounces-on-word-of-us-tariff-aid-for-farmers/
29,Agriculture,,Wall Street has given the agricultural sector a boost after Trump administration said it is preparing a plan that would send billions in aid to U.S. farmers hurt by tariffs. CF Industries Holding and Mosaic ...,https://finance.yahoo.com/news/ag-sector-bounces-word-us-160418650.html
30,Agriculture,,"Prices for diesel fuel may revisit record highs within the next year or two, affecting many markets from refiners to transportation to agriculture.",https://www.marketwatch.com/story/heres-why-diesel-prices-are-aiming-for-record-highs-2018-05-18
31,Agriculture,,"ADM (ADM) delivered earnings and revenue surprises of 30.77% and 8.05%, respectively, for the quarter ended June 2018. Do the numbers hold clues to what lies ahead for the stock?",https://finance.yahoo.com/news/archer-daniels-midland-adm-beats-121512759.html
