date,industry_id,volume,Y1,Y2,Y3,Y4
2017-08-21,1,4299276,,5.6719,1.3344,-3.1065
2017-08-22,1,2743294,-5.6719,-2.7677,-5.6014,-2.4792
2017-08-23,1,3793116,2.7677,-3.9181,0.3989,0.2254
2017-08-24,1,6236691,3.9181,7.0979,6.8127,6.4005
2017-08-25,1,3647627,-7.0979,-0.1668,-0.4079,1.6872
2017-08-28,1,3709511,0.1668,-0.2452,1.8855,-2.3600
2017-08-29,1,3802747,0.2452,2.1842,-2.1680,-2.6142
2017-08-30,1,3121047,-2.1842,-3.5720,-3.9382,-4.5310
2017-08-31,1,4855411,3.5720,-0.5697,-1.4918,2.4773
2017-09-01,1,5148712,0.5697,-0.9778,3.2310,2.2268
2017-09-05,1,5706746,0.9778,4.6651,3.5519,9.1560
2017-09-06,1,3891388,-4.6651,-0.7590,3.0624,-0.8758
2017-09-07,1,4211019,0.7590,4.1353,-0.1263,-0.6097
2017-09-08,1,2979087,-4.1353,-3.0149,-3.3568,-4.7001
2017-09-11,1,4264895,3.0149,-0.4895,-2.4126,-1.7363
2017-09-12,1,4484414,0.4895,-2.0220,-1.3109,-6.9045
2017-09-13,1,5620995,2.0220,0.8913,-6.1199,-0.7723
2017-09-14,1,5160973,-0.8913,-6.4374,-1.5275,-3.9651
2017-09-15,1,14486663,6.4374,13.7820,6.9398,15.2068
2017-09-18,1,6091445,-13.7820,-2.8771,0.5991,2.4359
2017-09-19,1,8551865,2.8771,4.8802,7.4589,7.4988
2017-09-20,1,5747132,-4.8802,1.7330,1.7598,-0.9934
2017-09-21,1,4898276,-1.7330,0.0228,-2.3237,-4.8341
2017-09-22,1,4887119,-0.0228,-2.3412,-4.8459,-1.1843
2017-09-25,1,6381028,2.3412,-3.2703,1.5105,-1.8165
2017-09-26,1,9481959,3.2703,7.1042,2.1603,3.9361
2017-09-27,1,5543636,-7.1042,-2.8905,-1.8522,-9.6198
2017-09-28,1,7797479,2.8905,1.4604,-9.4652,-9.4352
2017-09-29,1,6803869,-1.4604,-9.5334,-9.5072,-9.5409
2017-10-02,1,145815348,9.5334,0.5614,-0.1608,-1.4811
2017-10-03,1,138064179,-0.5614,-0.6839,-1.9339,-2.3159
2017-10-04,1,148198843,0.6839,-1.3418,-1.7518,0.8151
2017-10-05,1,171166026,1.3418,-0.4736,2.4912,0.0111
2017-10-06,1,179675041,0.4736,3.1121,0.5088,-1.4280
2017-10-09,1,137029814,-3.1121,-1.9854,-3.4626,-3.6852
2017-10-10,1,170976172,1.9854,-1.8430,-2.1208,-0.8435
2017-10-11,1,209607533,1.8430,-0.3406,1.2254,2.1922
2017-10-12,1,216997750,0.3406,1.6212,2.6220,4.1441
2017-10-13,1,186726467,-1.6212,0.8613,2.1710,2.9777
2017-10-16,1,171919675,-0.8613,1.2058,1.9486,2.2113
2017-10-17,1,153419689,-1.2058,0.6629,0.8973,-0.2765
2017-10-18,1,143882350,-0.6629,0.2198,-0.8809,-1.7760
2017-10-19,1,140787323,-0.2198,-1.0771,-1.9529,-0.8367
2017-10-20,1,157781741,1.0771,-0.9815,0.2695,0.8810
2017-10-23,1,174953367,0.9815,1.3871,2.0652,-2.0144
2017-10-24,1,153641791,-1.3871,0.5955,-2.9871,-3.7088
2017-10-25,1,145007183,-0.5955,-3.3813,-4.0623,-1.5303
2017-10-26,1,219085997,3.3813,-1.0290,2.7966,4.0318
2017-10-27,1,244215298,1.0290,4.2643,5.6412,7.2710
2017-10-30,1,171206796,-4.2643,0.9653,2.1078,-1.1858
2017-10-31,1,156135662,-0.9653,1.0420,-1.9617,-1.7476
2017-11-01,1,141401550,-1.0420,-2.7202,-2.5263,-2.8756
2017-11-02,1,194238869,2.7202,0.2663,-0.2134,-2.4303
2017-11-03,1,189200119,-0.2663,-0.4673,-2.6267,0.2840
2017-11-06,1,198474795,0.4673,-2.2652,0.7882,0.2863
2017-11-07,1,256600867,2.2652,3.9476,3.2987,4.2272
2017-11-08,1,183974652,-3.9476,-0.4652,0.2005,-0.3432
2017-11-09,1,192951195,0.4652,0.6982,0.1280,0.4419
2017-11-10,1,180359184,-0.6982,-0.5329,-0.2395,-0.9911
2017-11-13,1,190512145,0.5329,0.3099,-0.4840,-1.7132
2017-11-14,1,184785472,-0.3099,-0.7700,-1.9623,-3.4898
2017-11-15,1,200201818,0.7700,-1.2917,-2.9467,0.8051
2017-11-16,1,229897963,1.2917,-1.9004,2.4078,3.0709
2017-11-17,1,283840264,1.9004,5.3192,6.1378,10.9030
2017-11-20,1,185284564,-5.3192,0.5344,3.6450,15.7161
2017-11-21,1,175885379,-0.5344,2.9528,14.4115,0.8326
2017-11-22,1,135789326,-2.9528,8.8465,-1.6369,-2.6762
2017-11-24,1,72050134,-8.8465,-5.5625,-6.1140,-7.1636
2017-11-27,1,162366835,5.5625,-1.2428,-3.6081,-5.0568
2017-11-28,1,185409328,1.2428,-2.7010,-4.3552,-1.0451
2017-11-29,1,254018894,2.7010,-2.2664,2.2686,-1.5996
2017-11-30,1,328462068,2.2664,5.8641,0.8623,5.6742
2017-12-01,1,207047662,-5.8641,-3.1529,-0.1197,1.9165
2017-12-04,1,302387543,3.1529,4.4299,7.4038,6.5293
2017-12-05,1,209555859,-4.4299,2.0609,1.4549,3.2937
2017-12-06,1,173748149,-2.0609,-0.5025,1.0221,0.8867
2017-12-07,1,182940127,0.5025,1.6052,1.4626,-0.0241
2017-12-08,1,157635776,-1.6052,-0.1229,-1.4040,-1.3488
2017-12-11,1,159596785,0.1229,-1.2971,-1.2412,-3.1304
2017-12-12,1,183382654,1.2971,0.0642,-2.1066,-4.2673
2017-12-13,1,182212467,-0.0642,-2.1570,-4.3039,0.0086
2017-12-14,1,232324455,2.1570,-2.7373,2.7612,3.0304
2017-12-15,1,319888797,2.7373,7.5709,7.9416,8.9627
2017-12-18,1,182055684,-7.5709,0.2110,0.7921,0.8762
2017-12-19,1,178294240,-0.2110,0.5691,0.6515,5.0520
2017-12-20,1,168694090,-0.5691,0.0780,4.2415,9.3696
2017-12-21,1,167388636,-0.0780,4.1313,9.2197,6.7450
2017-12-22,1,118452140,-4.1313,3.6008,1.8496,2.8507
2017-12-26,1,87092074,-3.6008,-1.2876,-0.5515,-1.6341
2017-12-27,1,99963332,1.2876,0.8449,-0.3977,-4.0692
2017-12-28,1,92175284,-0.8449,-1.1458,-4.5313,-4.6057
2017-12-29,1,104104024,1.1458,-3.8236,-3.9076,-4.1467
2018-01-02,1,168550172,3.8236,-0.1361,-0.5232,0.5418
2018-01-03,1,170874950,0.1361,-0.3925,0.6872,0.7823
2018-01-04,1,177854929,0.3925,1.1237,1.2227,1.7604
2018-01-05,1,159887913,-1.1237,0.0890,0.5723,0.0392
2018-01-08,1,158477450,-0.0890,0.4790,-0.0493,-0.6547
2018-01-09,1,151232661,-0.4790,-0.5042,-1.0819,-1.2088
2018-01-10,1,159263106,0.5042,-0.6083,-0.7419,-1.2462
2018-01-11,1,169579417,0.6083,-0.1423,-0.6792,1.1911
2018-01-12,1,172026556,0.1423,-0.5447,1.3526,0.2609
2018-01-16,1,181935804,0.5447,2.0065,0.8520,-0.3870
2018-01-17,1,151530484,-2.0065,-0.9616,-1.9935,-1.7330
2018-01-18,1,167652279,0.9616,-1.1417,-0.8535,-0.8347
2018-01-19,1,189259644,1.1417,0.3253,0.3465,-1.3192
2018-01-22,1,183296562,-0.3253,0.0205,-1.5927,-0.0597
2018-01-23,1,182921613,-0.0205,-1.6099,-0.0801,-1.6042
2018-01-24,1,218020196,1.6099,1.8234,0.0068,1.9835
2018-01-25,1,184397733,-1.8234,-1.5364,0.1354,-0.4689
2018-01-26,1,217872387,1.5364,1.9754,1.2614,-0.6366
2018-01-29,1,181933860,-1.9754,-0.5962,-2.1811,0.1297
2018-01-30,1,193469003,0.5962,-1.6853,0.7720,-0.9061
2018-01-31,1,232684019,1.6853,2.9554,0.9372,-1.1168
2018-02-01,1,179604225,-2.9554,-1.5578,-3.1433,-3.7320
2018-02-02,1,212746029,1.5578,-1.8780,-2.5754,0.6441
