,MI_Values,target_group
112,0.04262546045433746,stores
123,0.03180873819594221,retail
512,0.02801391062977121,shoppers
25,0.02753500524824215,sales
356,0.02554942364733015,retailer
473,0.022238896837264654,items
124,0.02200889829679631,store
327,0.020588210948865093,school
610,0.020501896163873434,side
698,0.018925908647709377,russia
96,0.01824368656988251,walmart
182,0.01824068028507564,retailers
92,0.017566556340770756,good
116,0.01742847092898603,might
883,0.016652726831039466,received
56,0.016435984937441583,online
782,0.016386955934838188,hand
369,0.016225841889254022,chain
74,0.016176415519455922,customers
597,0.01573245589073302,range
555,0.015500615941704599,acquisition
256,0.01516747513322092,important
224,0.015140312759639674,political
536,0.015137694767761056,huge
775,0.014852419087890478,compete
15,0.014779028276794337,time
447,0.014729539804599234,fact
187,0.014638539814189278,without
652,0.014524745065134903,previously
106,0.0144571890655818,already
585,0.014374720257144036,partner
289,0.014289748796417978,rise
199,0.013865602665146692,funds
486,0.013835739173225114,watch
972,0.01374237487601726,massive
325,0.013736594871923025,brand
403,0.013609539253169212,emerging
128,0.013391575077849271,house
29,0.013285631097675,world
999,0.01320315919382331,friends
340,0.013138410558917846,strategy
87,0.013119310523160399,quarter
558,0.012934850390379227,bitcoin
907,0.01288031568291581,ones
159,0.012818106647739302,consumer
217,0.012728804717834663,countries
212,0.012501801288336445,case
539,0.012486486217779369,congress
322,0.01236438828744868,started
886,0.012207435094194974,merger
706,0.012160316780433389,contract
571,0.012093808983614451,returns
757,0.012089043939315536,offered
712,0.012070725264136106,grocery
807,0.01207001870084734,youtube
38,0.012023597199871894,facebook
350,0.012001519339432276,goods
57,0.011984235236736085,chief
855,0.011707412072354373,someone
139,0.011694390177523495,interest
934,0.01169136684030292,notes
44,0.011654103674133776,google
264,0.011546315366277815,added
946,0.011462076930605303,powerful
82,0.011424740007558665,shares
4,0.01141307686890114,would
398,0.011404180125883956,shopping
478,0.011339005480928144,election
336,0.011304443059876101,profit
535,0.011285869931483061,soon
8,0.011273829126967838,people
816,0.011201235244765018,orders
129,0.011156980053255605,digital
552,0.011152925825629545,view
703,0.011126427266947791,alibaba
753,0.01106745456928504,wanted
365,0.011016380865965791,mobile
391,0.0109339144030276,energy
420,0.010832642634506673,must
865,0.01081535833842473,version
995,0.010793899561906795,expects
59,0.010791115023352171,work
719,0.010775892223203742,regulators
175,0.010765709414447766,general
287,0.010752355981448858,central
104,0.010707311545845366,higher
853,0.010636066425008472,grew
338,0.010616006124140709,canada
43,0.010607439864657842,government
990,0.010575578187958179,leaving
481,0.010464673332214902,turn
305,0.010412215968303995,person
945,0.010391717512119092,letter
616,0.010228466470653563,human
897,0.01020610099304653,vote
772,0.01015464323234827,silicon
902,0.010094373926366806,basis
588,0.010032292572225598,fortune
208,0.009958305107782506,something
