,MI_Values,target_group
427,0.016959409505580725,month
573,0.01677026068134091,wins
835,0.016585013977906016,walk
501,0.016227164332942134,postal
779,0.015516907028215954,announces
237,0.014986889773521916,people
465,0.014986282163673259,buyers
718,0.014790385387415395,effect
780,0.014485860539186213,victoria
936,0.01444477345143702,tensions
578,0.014365929161847646,reports
531,0.014344061093909177,homes
977,0.014146148590154617,shadow
508,0.014007977161298868,wages
993,0.013871707919909326,teams
236,0.013794676976319753,europe
265,0.013690218498661144,faces
479,0.01334220933244823,exec
187,0.013148519491742672,costs
860,0.013053058869149758,action
742,0.013009942524277784,twitter
418,0.013002405705526687,startup
839,0.012967082670952479,medicaid
193,0.012649369713672032,looking
816,0.012582659105815575,mean
912,0.01257138983245154,shooting
634,0.012537503226102586,owners
576,0.012386885647152956,rebound
36,0.012313632496561144,earnings
155,0.01224446699265025,would
607,0.011844968585947635,interview
124,0.011803713940554683,record
674,0.011674135484283754,tell
793,0.011580782423496139,worries
550,0.011538689661650725,follow
796,0.011492712361054425,block
795,0.011465035814149704,steps
120,0.011441882249068724,goldman
109,0.011424324575882494,workers
759,0.011251859152603405,issues
51,0.011219680093027762,real
484,0.011202847462991494,bets
63,0.011143201273164705,plans
43,0.011067010265246147,first
190,0.011059434489973041,former
128,0.011041447913245905,media
419,0.010979546774636306,volatility
686,0.010964223306635823,wine
602,0.010913783477661143,order
633,0.01083743022932504,worse
245,0.010748376736455123,government
198,0.010745602747016747,grocery
528,0.010669436408869748,sprint
487,0.01060775276668724,probe
132,0.010523788192102534,prices
495,0.010435707958172724,third
421,0.010416012957956022,aetna
893,0.010171846694136066,americans
910,0.010113950725290533,obamacare
500,0.010005131181697324,political
129,0.009996094979413783,rally
788,0.009924507867123733,medical
292,0.009908513074209147,inside
26,0.009870315697007248,sales
56,0.009801195776864446,still
58,0.009775461202340407,start
938,0.009762117520645042,middle
506,0.009690728623648281,hours
665,0.009643958333611868,party
540,0.009618030409001443,russian
137,0.00952379890657884,funds
951,0.009479683281957474,software
750,0.009382906251989231,tops
928,0.009330496018059797,leaders
383,0.00932669168788891,track
135,0.0093253953576804,battle
358,0.009321901736886629,analysts
651,0.009197605949685661,pays
396,0.009124289535453523,times
771,0.009079367145675254,hopes
444,0.009031542835405526,huge
69,0.009031156771683646,stores
814,0.0089373575553644,question
617,0.008833303540676685,coffee
285,0.008833252744542719,walgreens
33,0.008755363841745467,watch
706,0.008723482986927378,union
138,0.008641047691390735,brands
356,0.008616191532649031,call
992,0.008600474390623836,warehouse
569,0.008599056658272097,ties
373,0.008598717744110695,oracle
644,0.008594335112654505,questions
700,0.008556192960790021,west
504,0.008528342777650133,seattle
277,0.008514014487931654,policy
483,0.008502089339957664,access
739,0.008466242965372572,parent
663,0.008462260534712218,computing
293,0.008442243361354462,central
114,0.008416346965572696,take
942,0.008405867146680013,based
570,0.00835941742851487,search
31,0.008337021364489772,year
915,0.008305552699088725,steel
684,0.008288727281850594,think
77,0.008236692710031468,takes
366,0.008231296902067031,depot
375,0.00821732887620863,falls
852,0.008190280682788709,curb
987,0.008145419189172776,user
580,0.008136048207883384,ride
175,0.008081564663712015,blockchain
72,0.008060285110483623,briefing
565,0.008033234068146822,stop
1,0.008032614425263152,index
291,0.007987537540191436,strong
425,0.007969464687886285,finds
661,0.007955211326673428,samsung
988,0.007918653965636846,nordstrom
864,0.007913713934607491,brings
57,0.007876260400928814,talks
451,0.007845850316082092,commentary
947,0.007833138906020887,fights
612,0.007799191529155758,fashion
338,0.007726786466161206,tariff
645,0.007668364262415794,lure
400,0.0076501733743408185,using
950,0.007637388615554963,macron
23,0.007629221469134029,journal
861,0.007617325997794744,forecast
62,0.0075816738962863894,should
741,0.007572242163675469,raceahead
252,0.00756735248358309,japan
30,0.007542249060730866,health
97,0.007526541818496435,power
656,0.007520713363902809,sets
969,0.007464738684717087,everything
436,0.00743038134576568,bring
737,0.007337174690078996,worry
125,0.007331068737279844,musk
747,0.007156059914017021,taps
207,0.0070506350338115364,gets
766,0.00702702786466336,records
675,0.007021435558114852,chip
296,0.0069748447532498314,sears
158,0.0069627587948828396,quarter
91,0.006934010082874753,bitcoin
489,0.006921052672549166,enough
211,0.00682731830745853,even
702,0.006759059551292523,scam
154,0.00674221816889542,want
664,0.006733871126796576,names
244,0.006729247313157716,uber
333,0.006658417968882224,warner
889,0.0066347765551948434,matters
374,0.006631247232586679,supply
95,0.006591400731382313,wants
618,0.0065486235437668405,dell
596,0.006546711401108185,voice
282,0.006450644128935146,alibaba
322,0.006429727518098893,venture
735,0.0063894133380006934,volatile
566,0.00638569009227119,argentina
142,0.006342824968645244,spotify
224,0.0063351331005698786,warns
499,0.006279954753708683,boss
468,0.006266930126824555,used
763,0.006244586759260873,force
