,MI_Values,target_group
692,0.021731678824810974,attack
784,0.01976181035392721,role
998,0.018659787413302764,alone
517,0.018120704038170565,project
396,0.01760382133822569,threatens
804,0.017400448409747193,shadow
976,0.017176355422757084,corporation
138,0.01639908141955737,warren
727,0.01628552249040216,curb
991,0.016033259713923442,locker
286,0.015827218965114964,build
202,0.015530377284355357,private
555,0.015529631758004925,interview
848,0.015303201406412281,bernie
896,0.015283217778617963,regret
796,0.015205792852948763,join
148,0.01484360399257345,policy
454,0.014780364658901535,claim
775,0.014681374398312075,actually
474,0.014479053639674833,fedex
849,0.014296143824992225,agreement
391,0.014215925600707946,shipping
764,0.0142031615913496,tough
134,0.014168293989589298,goldman
540,0.014130645285096,people
147,0.013991153313414717,month
565,0.01384256357610103,education
274,0.013661242006972607,phone
908,0.013609062030671693,touch
501,0.013512767446323126,college
229,0.013506437141542094,race
600,0.013488015965977374,loom
939,0.013450483166276284,exclusive
910,0.013337254953624589,empire
144,0.013251901358185325,valley
779,0.013210008383921279,powerful
907,0.0131980474381872,bell
500,0.013088320098625816,model
585,0.013076356660415511,effect
219,0.013070037420636282,canadian
407,0.013055015418524052,owner
337,0.0128278759120104,washington
442,0.012821273504273867,step
17,0.01279479837785824,facebook
332,0.012747207198079202,strong
617,0.012735428248916492,explains
930,0.012643331978116956,campbell
787,0.012516095126577254,kevin
199,0.012365285915369117,review
855,0.012323492094088673,monopoly
895,0.012264425283587288,steve
61,0.012261409403425239,report
932,0.012192954596729644,soup
390,0.01214149801688702,dimon
885,0.012067911311615553,cruise
783,0.012018567968206328,catch
429,0.011753803144569641,hotel
42,0.011728477048491781,cloud
550,0.011718049707641898,expansion
846,0.011313611047265804,indian
551,0.011110209624193734,party
373,0.011094129926644936,bull
630,0.01106587945951687,signal
389,0.011061763765196408,strategy
782,0.010998275585174966,cross
374,0.010884424329558051,issue
444,0.0108654108801991,track
413,0.010825236615997769,malaysia
404,0.010691336715360489,trader
794,0.0106586158201738,talent
1,0.010631314968134298,index
962,0.010503541378252601,learning
894,0.010384786875836216,enforcement
660,0.010378949297618068,sight
594,0.010340160163574419,department
561,0.010299577446872377,jpmorgan
966,0.010297418680123682,stunning
208,0.010268296163767676,great
60,0.010252114689910163,back
299,0.010219606721120655,seen
483,0.010150335551382561,cigna
50,0.010105379367518097,sheet
106,0.010096746386270006,like
163,0.010094700056890504,grocery
955,0.010073911720563267,every
118,0.009938047699199926,buffett
762,0.0098777591006185,medical
575,0.009868964986063045,federal
179,0.009854125257273916,musk
644,0.009851916957820617,germany
715,0.009851030219385715,commercial
257,0.009752111626208482,rising
880,0.009690837665425445,medicaid
633,0.009596345691903485,happened
328,0.009544177018420363,commerce
16,0.009506589177602276,deal
120,0.00946931895617853,power
801,0.009448101722974167,russian
319,0.00944193910602631,small
566,0.009437046915596659,action
213,0.009433205247388887,spotify
831,0.009368503019524965,split
996,0.009361930847250788,nuclear
57,0.009345703890156765,tariff
563,0.009342433155832497,offering
153,0.009256169627510857,higher
911,0.009191425143739496,force
107,0.009123265520813773,buying
195,0.009079369050966068,reason
171,0.009044793541017171,silicon
410,0.009039989229031598,system
709,0.008923742232126886,sprint
423,0.008916994787301569,asset
78,0.008731206202408748,cost
173,0.008720548935853722,wrong
460,0.008634122706374647,sense
304,0.00861657573103658,growing
814,0.008597988377497812,bottom
285,0.008578725977033352,robot
77,0.008578406426596352,should
109,0.008550350623017566,rally
857,0.008544383204106554,morgan
570,0.008452107071031056,pentagon
205,0.008399624183037746,call
977,0.008389565369409713,leave
184,0.008333488111728737,bitcoin
934,0.008320921681437277,radical
418,0.008291375519232869,term
747,0.00822091025370919,measure
