,MI_Values,target_group
87,0.040224006933786915,retailer
50,0.03002959504156366,store
105,0.020290398850254743,quarter
24,0.019659515789524518,sale
941,0.019553103663333626,resource
784,0.01951140943041585,shop
141,0.018239164292981336,interest
306,0.01763707251058899,care
367,0.017510503700510105,cant
855,0.01721944266702846,summer
715,0.01693115870799855,survey
144,0.016756273241428588,retail
149,0.0156879927230813,among
512,0.01556964747014189,shopper
346,0.015218316727497516,always
17,0.015100232196549879,say
0,0.015068502214687252,company
78,0.015060927030939641,online
478,0.015043041593994388,course
59,0.014920024679727195,government
604,0.01463160152583698,buyer
323,0.014480373687845605,political
597,0.014390788143521682,beyond
254,0.014318320913867755,chain
131,0.014300015167872271,economic
165,0.01418641502902629,result
587,0.013835935765748264,fear
84,0.013819298121253931,thats
297,0.013744867523639126,getting
609,0.01359872169584686,significant
491,0.013593279493715249,together
39,0.013530969763906997,much
304,0.013487858390861529,idea
100,0.01345655507061827,should
126,0.013318281153633649,giant
317,0.01322062046631478,administration
874,0.013173379106839356,toward
975,0.013098629569047171,author
806,0.01304016778953554,perhaps
854,0.012967535113050488,division
444,0.01272137525701389,wrote
21,0.012696202989028071,price
69,0.012598479400814933,dont
117,0.012502411633771082,economy
199,0.012500574952390542,give
20,0.012471572476465465,investor
101,0.012390278436396063,three
628,0.012277602312119384,restaurant
719,0.012183252554810897,water
670,0.012177779722998938,letter
374,0.012049504411438816,pressure
647,0.012028135220529368,claim
717,0.011938660785780986,staff
204,0.011920151434114956,place
409,0.011880396704409879,ahead
550,0.011869672091542105,group
137,0.011609941335238183,really
421,0.011605886686540057,child
770,0.011575005912535907,talking
563,0.011552076193083405,margin
627,0.01139559383933264,drop
771,0.01137903477804958,shipping
918,0.011369537162783327,receive
636,0.011336185439939417,remain
875,0.01133266504128927,legal
439,0.01132395967747346,feel
408,0.011235552411689831,item
309,0.01121858978833612,later
91,0.011144422500470874,right
850,0.01100964570548335,greater
519,0.01100292484428489,article
576,0.01097818250118232,congress
82,0.010970429722976682,know
596,0.010948651784108643,grow
537,0.01093916520486582,sure
263,0.010896177373974858,important
473,0.01083919142353218,foreign
707,0.010834337027883834,either
452,0.010745412075531702,play
109,0.010632203424065345,recent
540,0.010617766089324077,popular
94,0.01057095440406286,next
575,0.010485297395723236,grocery
937,0.010477330275936447,increasing
872,0.010404715930567132,generation
362,0.010329771548159394,face
255,0.010252364429195415,microsoft
544,0.010181810374466638,charge
379,0.010160617451107301,focus
988,0.010153857547970713,owned
998,0.010080738932270572,sport
339,0.010046713266243401,white
859,0.009944400974135847,toy
221,0.009842099879622923,partner
44,0.009836113101237887,well
539,0.00978347723477957,advertising
591,0.009766843091161492,success
423,0.009735416087153226,donald
46,0.009570785953805894,going
31,0.00956782198326267,many
513,0.009527600115981416,longer
511,0.009498722145653282,event
590,0.009436367793430156,adding
16,0.009413748930696242,billion
964,0.009394082745437071,designed
568,0.0093467613744449,began
796,0.00934263161518789,owns
140,0.009317977257948362,mean
166,0.009229000261507414,tariff
191,0.009221350793393368,reported
310,0.009122955478229722,building
953,0.009113165206801721,travel
484,0.00908290490899799,bought
356,0.009058419729307765,taking
801,0.008974674063972454,core
695,0.008961747169916157,response
497,0.008918767803102634,probably
422,0.00891863230571377,raise
552,0.0088794851690146,community
813,0.008876236372682422,understand
895,0.008866324320389696,youve
623,0.00884659513907482,starting
123,0.008816955310166463,user
899,0.008803075218456247,avoid
410,0.008800127595230522,within
824,0.008728125330961012,commercial
625,0.008720838744820325,journal
220,0.008684127245093709,five
372,0.008662753820134705,buying
110,0.008662459401874711,number
492,0.008632491647674989,client
153,0.008586699729718594,medium
32,0.008584547642599416,technology
749,0.008507256655728934,giving
595,0.008503796633648086,study
807,0.008465425642381064,opening
902,0.008400988910304052,raising
111,0.008381792348276962,brand
264,0.008362852152222544,national
608,0.008348773481627214,ability
194,0.008337559713738285,largest
662,0.008308184982982025,reach
592,0.008296543576195692,roughly
14,0.008275088345758963,panda
384,0.008220376382868544,loss
344,0.008166034173346937,reason
197,0.008117117159710752,model
560,0.008102284946864602,hand
922,0.008094985931383025,situation
92,0.008090951727831364,global
580,0.008088403092652685,seller
162,0.00808382022279397,digital
228,0.008082398499723364,official
299,0.008061848653850623,estimate
746,0.008049314006367325,solution
938,0.008009522254818657,moved
935,0.008005223298677144,thinking
308,0.008002447882556218,whole
993,0.00797482599096,piece
826,0.007909521102758,regulatory
260,0.007907962059668483,international
66,0.007899188548795788,back
245,0.007897953322548945,ecommerce
556,0.007871294182952626,package
762,0.007844959644977889,airline
949,0.007833401834429488,immediately
174,0.007718020006913129,likely
241,0.007707561228813331,nearly
315,0.007698507041832503,annual
285,0.007693741484937622,officer
790,0.007691233523879459,banking
457,0.007599582390787063,personal
578,0.007560271165115262,intelligence
990,0.00752387019144396,manufacturer
35,0.0074775402673488145,world
173,0.007463167147858885,problem
667,0.007423298265837319,built
120,0.0074128475183337095,long
6,0.007396982628055104,also
18,0.007375181201926262,could
584,0.007303097008165116,tax
188,0.007297365693285984,little
243,0.007297307005335707,almost
23,0.007290944439029001,cent
951,0.0072844570475179005,living
558,0.007269620913894048,step
45,0.007237841828189984,week
543,0.007226134658775196,car
666,0.0072256390404270565,wont
903,0.007219150609530267,eventually
754,0.007209693967441533,club
276,0.007195647095415758,local
463,0.007167509212373746,fortune
471,0.0071130088998769825,daily
607,0.007105260812363845,funding
36,0.00709859139573199,apple
48,0.007060248500164068,still
800,0.007030711217552943,improve
974,0.0070202709206661496,brazil
464,0.006985976894981594,side
108,0.006966126861237321,public
79,0.006943437038902989,share
768,0.006888833379929515,investigation
27,0.006885778365963047,first
181,0.006828895791363587,security
926,0.006814874847190566,continues
914,0.0067955569504976054,double
425,0.006795327205460833,lead
910,0.0067848856688315085,direct
535,0.006777919711276059,spent
828,0.006773197587067292,pretty
545,0.006708395857559557,black
407,0.006701230422185622,instead
904,0.006694897944329092,consider
104,0.006694156414286834,earnings
231,0.0066916621000081555,small
760,0.006690704233741629,sort
147,0.006677605908640194,sell
138,0.006638946645964872,food
833,0.006609416586397465,worry
113,0.006562656072290007,another
761,0.006555612129690802,someone
419,0.00654240390055616,went
780,0.006541741789065636,expand
757,0.006494890186651503,activity
630,0.006481086727820662,review
658,0.006462930444334658,invest
698,0.006432045625189842,everyone
61,0.006424601058730772,investment
203,0.006417605748693989,real
453,0.006329772535464295,owner
730,0.00631614514941492,thousand
567,0.006306365667265723,expectation
955,0.006295526480827762,justice
555,0.006279886276818081,huge
821,0.006257984343394973,continued
287,0.0062427640603970325,cash
466,0.0062196155297560285,nation
547,0.006214975611747553,shift
825,0.006212725189700619,successful
73,0.006145780879088791,need
134,0.006132883572152803,street
739,0.006106156543817187,test
907,0.006077911785834278,highest
218,0.006075630664607701,great
388,0.006043561781061246,person
483,0.00599409412413876,exchange
677,0.005970243872659875,atampt
136,0.0058869514044865845,america
22,0.005885301388910413,make
