,MI_Values,target_group
737,0.017286934925324626,invest
674,0.016619390093135733,create
962,0.01605716217600217,put
820,0.01593281776898925,listing
41,0.01558007682822482,online
207,0.015533518277502267,robot
319,0.015507802643750734,without
665,0.015206659575165649,human
161,0.015028356561486378,fall
329,0.014822277861811672,toy
749,0.014480107341016346,trudeau
464,0.01447485577538088,shopper
104,0.013807550322629814,alphabet
996,0.013682127265552069,predicts
989,0.013674341363206333,salesforce
205,0.013627209277918606,blockchain
621,0.01322655765675984,erdogan
766,0.01299265756950696,across
855,0.01292882998065048,creates
498,0.01272020660370976,competition
730,0.012716127947405287,happened
875,0.012521154603778228,century
114,0.012498136864917075,retail
278,0.012369753954873275,lowe
237,0.012219316315359885,round
173,0.012199426450478112,fight
357,0.012175408409986987,driving
776,0.011937857548331321,treasury
557,0.01191551614949593,squeeze
64,0.011846757225921545,next
272,0.011750519791979386,third
28,0.011715397333662558,cramer
57,0.01166795205033333,prime
834,0.011618457023592876,brace
27,0.01160002026111906,time
308,0.011557772563081992,star
167,0.011507033545523404,bond
822,0.011308554801837678,british
983,0.011277065303002098,traffic
405,0.011169040143371056,party
553,0.011142885778911094,reach
31,0.011104660212813311,best
763,0.011038322106578402,pledge
545,0.010821447616838453,worth
158,0.010785701685199545,grocery
485,0.010776019816465032,european
826,0.010746784983395541,beef
848,0.01062005449078307,london
951,0.01060953473659132,ambition
955,0.01058326486222505,pension
349,0.010513835626234425,fast
142,0.010466484513210084,mark
493,0.010423846415309024,list
117,0.010405582568662641,rate
375,0.010372275374474382,meet
968,0.010255759524143482,expands
212,0.01004918231316032,threat
803,0.010036347020110803,cola
792,0.010027466693136589,argentina
528,0.010021032260304708,assistant
4,0.009981302743838905,amazon
169,0.009971715565340267,transcript
240,0.009964743132622411,away
53,0.009797173161165684,open
443,0.009770779415468,card
263,0.009695691941561613,cut
469,0.009685703088141429,trouble
119,0.009664385122329033,india
967,0.009664359743645878,well
227,0.00964259738207729,policy
816,0.009520815219524081,advertising
798,0.009504768365915073,flood
596,0.009415487679336865,loom
390,0.00941374657982097,explains
198,0.009274933673499408,merger
517,0.009179919289996619,aren
932,0.00914736288040241,page
445,0.009140984659044449,getting
984,0.009136355546905506,airbnb
924,0.009131468289855116,campaign
833,0.009116360084974406,relationship
527,0.009038944966938356,central
960,0.00902694222939382,bonus
471,0.009020927428829317,way
368,0.009004172719662806,seen
529,0.009003775816064818,economist
835,0.008996253370181284,obamacare
850,0.008974465539347776,enough
122,0.008970749523620425,season
115,0.008966649829856843,brand
663,0.008909312764822763,hard
839,0.008872145246653362,smaller
129,0.008734985694939468,close
172,0.008734061438536278,another
891,0.008676984343038985,surprise
261,0.008641924281760582,benefit
164,0.008640505091803696,technology
170,0.00858561211400577,house
733,0.00852886297460187,summit
909,0.008491259739934698,regulator
124,0.00845530425087282,quarter
993,0.008399149599624733,able
582,0.008389782644959043,retreat
784,0.008329730311557704,republican
849,0.00828213380586651,selection
277,0.008280345497907682,people
783,0.008265205179474266,midterm
186,0.008264791244722458,raise
864,0.008232719670298705,missing
500,0.00817499376092723,korea
220,0.008122904067051628,rule
738,0.008049990619043879,trust
541,0.008048138997412524,program
282,0.008031019627977365,wage
659,0.007983612529775419,ring
497,0.007970533149488368,expect
481,0.007966731525610227,strategy
947,0.007964771903003598,beating
961,0.00794488763847001,leary
350,0.007941076358511934,family
184,0.007936093478633,digital
774,0.007914034839074935,africa
166,0.00791180847047368,right
589,0.007863880529605183,stay
12,0.007862993256183781,trump
943,0.00784991305913274,audio
61,0.007816665547481616,world
750,0.007801537024435756,climate
873,0.007786592738183273,brazilian
70,0.00774439083154399,face
355,0.007729343742192141,expensive
185,0.007677435609778627,launch
152,0.007644903284456994,fang
876,0.0075549777260544015,richest
194,0.0075405062863818095,note
777,0.007529318190016232,gate
226,0.007492227905172788,sector
593,0.007378789594191026,cigna
395,0.00733399214306929,short
935,0.007320208223385638,ground
365,0.007261653629754505,forecast
991,0.007147045887196057,victoria
75,0.007143590569300917,care
467,0.007141405392433242,head
677,0.00710334469545959,pick
893,0.007012858168013558,machine
292,0.007001375784984054,surge
341,0.006978509266539312,david
190,0.006964339839302669,drop
735,0.00693259041152805,cheap
519,0.006866743536951381,saving
94,0.006860954382641227,push
66,0.00685718229060539,back
859,0.006849614460148645,stanley
434,0.006847462572315388,mall
348,0.006764062727103282,streaming
364,0.006710564805844976,expand
521,0.0066854315704698575,system
25,0.006629969353474374,sale
193,0.006506064023022118,financial
681,0.00650246866373716,history
254,0.00648931240546835,electric
153,0.006375377156650597,story
725,0.006351997678617716,obama
291,0.006328050450788325,soon
732,0.00632717646453651,mixed
45,0.006247572963245185,million
252,0.0062125741271426005,private
246,0.006182282638539149,losing
555,0.006171491918356642,half
884,0.006170798583263526,training
588,0.006118013933976263,steel
297,0.006097372390833522,seller
55,0.0060783218369127034,tariff
662,0.0060430529264325905,music
780,0.0059711604667056495,sainsbury
323,0.0059620789938843455,race
702,0.005922740787911218,package
878,0.005894277098341449,pillpack
615,0.0058693616911154045,payment
844,0.005842141381391386,insurer
974,0.005836213207163654,advertiser
359,0.005832388232439145,play
778,0.005820340280410674,momentum
475,0.005812141232830026,hotel
999,0.005807370609489659,reveal
69,0.005796861685563037,city
168,0.005781828753080198,problem
400,0.00577888787935521,hour
35,0.0057782271723823,bezos
486,0.0057637093725495525,bos
188,0.0057318984913359294,point
712,0.005699797860719391,medical
813,0.005659307405146086,commercial
506,0.0056554903387757705,iphone
396,0.005635775087073691,continues
794,0.005624066417952989,pharmacy
157,0.005579431485729813,post
530,0.005576617145501839,privacy
969,0.005575878389947331,vehicle
100,0.005568999488863691,still
178,0.005541578952189541,great
727,0.005525715184572233,place
748,0.005467146426651137,set
614,0.0054652118335905,edge
214,0.005426259048340709,exec
68,0.00541547437475276,analyst
897,0.005403069524356097,sight
251,0.0053516506732802505,echo
736,0.005347502902310675,supplier
379,0.005331685046066514,voice
940,0.0053290658530764645,attack
539,0.0053247308595651965,ruling
266,0.005308266374974613,chart
536,0.005299693674158723,leaving
906,0.0052940280192170786,split
509,0.0052426476899414265,tap
102,0.0052157934443732845,against
683,0.005172108277943233,day
96,0.0051670463381698895,future
817,0.005162428429387855,nine
175,0.005078371289923167,japan
147,0.005075507595472928,power
275,0.004963433654445959,even
242,0.0049082365238890535,term
127,0.004877852112326497,consumer
280,0.004846041594462225,government
327,0.00481964939551327,elon
86,0.004797540398930877,profit
479,0.00468283791262003,aim
831,0.004672347943915245,express
369,0.004615346679743837,chain
514,0.004577120755907105,supply
979,0.004565313370699098,calling
244,0.004556035962170579,brexit
462,0.004524004699575812,acquisition
550,0.0044885843600921405,valuation
79,0.004454886694583271,target
734,0.004414331042122299,perk
653,0.00440820387802332,becomes
853,0.004341084166375131,settle
258,0.004338231827686112,nasdaq
986,0.004331909248215915,auto
312,0.004319127848764204,maker
82,0.004300941388635238,firm
155,0.0042988471170555265,former
59,0.004262611064228983,bank
577,0.004180441698551585,bullish
381,0.0041637398767448985,veteran
501,0.004134239088803726,woe
625,0.004090340482575394,downgrade
838,0.004090283294386321,support
898,0.004089697916576984,culture
576,0.00408689428208886,aapl
233,0.004073901775166089,walgreens
29,0.0040732805944838635,biggest
623,0.004071616463046324,left
938,0.004047088528823073,selloff
995,0.0040372679208107165,citi
141,0.00402584210164858,worker
569,0.004024568075863044,favorite
846,0.004016821113384417,fuel
661,0.00400936906962257,postal
997,0.0039759449167871,volatile
271,0.003946199745339607,leader
672,0.003943706420126203,cuban
26,0.003934919838121997,journal
696,0.0039275416489064074,town
524,0.003916166941406063,shortage
448,0.003906354076099072,seattle
971,0.003896933715016093,overseas
177,0.003818725616967278,game
929,0.0037917899170070157,campus
755,0.003786042249221966,strike
1,0.003775696774598991,index
722,0.003761450311943415,rebound
892,0.003748471631703776,arm
326,0.0037465599138619687,lightning
563,0.00371164473529606,gender
945,0.003692578346845332,important
474,0.003674241444116877,test
667,0.0036634350684969785,experience
877,0.003657350902170675,baby
92,0.003636845400546651,month
13,0.0036239109620777032,company
273,0.0035893735772938307,speaker
682,0.0035815388744746546,stand
260,0.0035762604542635135,investing
253,0.00356898893467239,stake
678,0.003568054617605121,solar
685,0.0035589553924104678,deficit
401,0.003536676307348996,alibaba
487,0.003523673089295798,step
428,0.003497673637627541,add
543,0.0034803463928347877,jack
518,0.0033960026899011453,wild
39,0.0033949268570492297,store
658,0.0033684131533175954,computing
215,0.003354652358567911,billionaire
225,0.003346091088623826,see
111,0.0033311565762152995,warren
797,0.003318081931051653,spot
108,0.0033029083780764523,whole
559,0.0032254673870073525,samsung
433,0.0032231448535597895,penney
449,0.003212204748668901,cook
921,0.0032106868956365275,scam
99,0.0031820363302781374,employee
265,0.003176577963372562,europe
612,0.0031740056137157246,soar
740,0.003165136602043317,tree
805,0.0031144225095416367,offering
715,0.00311147116072763,mcdonald
772,0.00306505644677757,among
746,0.0030458726291244798,loan
606,0.003033439664356541,tension
432,0.0030166170631225064,live
761,0.0030113229727135593,file
900,0.003007034346085291,upgrade
549,0.002973166070117772,focus
344,0.0029670715558876015,deliver
112,0.0029434656913944757,global
81,0.0029391699764571566,america
333,0.0029306701002445035,review
754,0.002907842992294851,shooting
134,0.0028595754567108944,battle
741,0.0028585587274509994,politics
633,0.002856980539210019,board
808,0.0028412963662669544,sprint
823,0.0028282098880041406,lawmaker
144,0.0028241387491285685,hit
295,0.00282116410131672,winner
16,0.002820549992045507,year
664,0.002801780401703091,cryptocurrencies
645,0.002795422843879347,danger
637,0.0027907912202571605,expected
799,0.0027902002697981487,sold
567,0.0027566853301883576,demand
63,0.0027524339686717525,want
701,0.0027518255414276105,indian
343,0.0027250365706865676,tell
339,0.0026924565472399298,everything
354,0.00269191295287019,meeting
721,0.002682811741979707,actually
801,0.002678920458186518,conversation
883,0.00267086532122085,engine
44,0.002660786425379591,take
91,0.002642753514671803,real
9,0.0026202270550690354,wall
270,0.00260054708900892,might
762,0.00259151868818841,housing
50,0.0025501465609973906,jeff
512,0.0025472029247752825,bell
532,0.0025463951363067228,access
751,0.002524911252630657,collapse
62,0.0024875458706092868,price
321,0.0024841011545422287,hedge
676,0.0024636308503735993,education
232,0.0024579363378269825,president
224,0.002453405291366506,remix
236,0.0024510686667278403,warns
407,0.0024487571651952145,really
770,0.0024318680315629226,bought
698,0.0023883822207519945,mega
71,0.0023820439797515025,retailer
927,0.0023757479823078853,siri
318,0.002362595353292196,budget
330,0.0023232548524063645,commerce
818,0.002322630610007037,whether
651,0.0023220803934955736,beyond
546,0.0023207433387300025,device
346,0.0023176151120014588,washington
394,0.0023008231427494863,team
915,0.002275161396751768,saying
723,0.002267121501509539,opioid
340,0.0022554489115569343,save
76,0.002253803851319125,like
87,0.002250792782245048,dollar
548,0.0022198825588086724,amzn
573,0.0022086156408587243,cryptocurrency
466,0.00220071635407737,blue
862,0.002180089167082677,paid
860,0.002172818008035593,xiaomi
89,0.002163135334155575,good
757,0.0021619999003699153,cisco
504,0.0021551954784901906,commentary
459,0.0021200606156990265,foot
408,0.0020851520859661576,berkshire
856,0.0020742128453328235,nation
199,0.002061516799157115,long
160,0.002060755566946071,beat
2,0.00204636329618868,panda
990,0.0020407431982800706,weapon
422,0.0020138119297363755,conference
331,0.0020041308046607753,white
882,0.002001091680475353,titan
958,0.001989140270188372,trip
872,0.0019872598194221602,german
195,0.0019812240549677007,drug
52,0.0019773323538823107,make
788,0.0019632682023631443,ebay
745,0.0019267025078575362,grow
452,0.0019177450360450266,ford
964,0.0019028769520401667,regret
642,0.0018832368505590225,rout
436,0.0018761841439818294,contract
421,0.0018477454136702764,ride
15,0.0018398669180326177,china
640,0.0018214526569200196,christmas
742,0.0018185319549248735,germany
610,0.0018153421576621032,estimate
508,0.0018053621372355888,union
828,0.0017991303624469435,recalled
952,0.001783427554158612,shouldn
377,0.001782631902467191,ready
939,0.0017822427582367961,software
105,0.0017545536302636666,american
953,0.001741107654575691,citigroup
216,0.0017241639482641347,video
890,0.0017118032508600667,struggling
842,0.001684578442595397,wave
234,0.001676128287020573,speaks
627,0.0016653311002858828,pay
483,0.0016274046874800163,space
118,0.001608195418334235,buying
38,0.0015805479583250737,first
966,0.0015764798849835504,lose
760,0.0015541717472244976,deutsche
851,0.0015482777151345495,france
933,0.0015464008101564453,announces
183,0.001503459716769795,despite
416,0.0015012865248995588,cash
692,0.0014909988548332809,powell
704,0.0014904964979527424,finance
138,0.0014846098811989172,asia
597,0.0014730822604291927,nearly
810,0.0014682438600124303,pentagon
317,0.0014304003513327945,three
447,0.0013852589301870388,oracle
126,0.0013009610370764424,rally
649,0.0012942968751306072,drive
578,0.0012876131811496716,lure
516,0.0012672906928015149,super
925,0.0012592569220939431,comment
912,0.0012116675388884612,answer
948,0.0012106602746868589,reform
306,0.0011901072882951613,economics
515,0.0011828557524873329,force
889,0.0011761017960776332,bottom
121,0.001161091799862568,turn
465,0.0011537489009174617,search
928,0.0011158694716908446,fourth
847,0.0010730547296076143,california
14,0.0010630222281917678,walmart
131,0.0010568168801197153,thing
684,0.0010382295629460803,heavy
931,0.0010263323735599794,happy
3,0.001013574887467783,market_moving
660,0.000968095137624081,dropbox
176,0.000965308534786935,amid
143,0.0009260483574211609,risk
837,0.000916618253385737,control
387,0.0009107555311509419,vote
650,0.0008860721245820269,hurt
217,0.0008856053207801917,would
899,0.0008850540014850861,thanksgiving
936,0.0008544167770196953,event
895,0.0008514572652980057,tsla
255,0.0008275618989384004,bitcoin
641,0.000824975961030372,past
843,0.0008216163884098293,unveils
203,0.000802116962774102,revenue
870,0.0007785242225610833,moment
298,0.0007701506067452346,ever
693,0.0007602394035708393,huawei
540,0.0007406231257149898,worse
125,0.0007343253836813446,money
819,0.0007340027237865421,recent
638,0.0007244483481396724,must
281,0.0007231053546910005,line
223,0.0007095974489090828,silicon
399,0.0006878366659908153,bankruptcy
992,0.0006776147686031742,spark
579,0.0006672924058175322,slump
520,0.0006631506418026678,love
570,0.0006604098539157999,green
402,0.0006437022588221541,bring
106,0.0006172973449733998,should
249,0.0006152991745294045,come
795,0.0005797923388930482,touch
686,0.0005558951590041161,patient
728,0.0005376151067502111,warning
311,0.0005336797146620054,build
218,0.0005066890426592696,zuckerberg
235,0.0004996098570611007,better
703,0.0004604438348234652,airport
538,0.00045398461186385575,supreme
765,0.00044034921610913713,guidance
675,0.00043937274803940163,exit
6,0.000434744557459954,tech
201,0.0004270864153754772,wealth
534,0.000424577942616855,banker
425,0.0004073442100116509,moving
714,0.00040296172329346014,avoid
97,0.00039351274903043354,help
139,0.0003828024285714715,goldman
88,0.00036398640540724614,show
380,0.0003536257721830083,ceo
11,0.00034726432971465826,apple
809,0.0002990967690994495,client
965,0.0002984748962313599,doubt
431,0.0002930682370161364,macy
171,0.0002730197579334792,product
256,0.00026029379546677056,economy
911,0.0002464830446911037,university
116,0.00024585057090242834,holiday
367,0.00021012887915894396,trying
934,0.0002045938128272251,stream
300,0.00020171133333346525,news
413,0.00019491584628683611,bigger
894,0.00019383940950468137,winter
533,0.0001707052607560211,comcast
268,0.0001689817205872135,intelligence
476,0.0001448025152059884,brazil
74,0.00012521374398866136,growth
337,0.00010282326163935096,internet
779,5.7496444185733964e-05,starbucks
601,4.5438402834330205e-05,already
998,2.696351887121473e-05,restaurant
706,1.5641328972693103e-05,macron
602,1.2468610285587545e-05,tumble
747,4.876514165141899e-06,russian
836,0.0,texas
420,0.0,malaysia
871,0.0,alone
841,0.0,discount
840,0.0,management
43,0.0,high
257,0.0,huge
123,0.0,tesla
241,0.0,looking
46,0.0,report
259,0.0,coming
825,0.0,shake
463,0.0,probe
47,0.0,home
832,0.0,mobile
159,0.0,chief
830,0.0,studio
829,0.0,struggle
262,0.0,corporate
827,0.0,gun
48,0.0,alexa
869,0.0,nuclear
863,0.0,powerful
42,0.0,making
243,0.0,jump
245,0.0,smart
861,0.0,level
163,0.0,much
36,0.0,move
858,0.0,perfect
865,0.0,territory
857,0.0,delivering
247,0.0,book
866,0.0,tool
867,0.0,signal
37,0.0,share
854,0.0,plastic
248,0.0,worst
868,0.0,drag
852,0.0,ramp
460,0.0,asian
250,0.0,result
264,0.0,shareholder
162,0.0,founder
40,0.0,need
461,0.0,exclusive
419,0.0,behind
845,0.0,never
824,0.0,effect
511,0.0,sign
49,0.0,cloud
287,0.0,go
790,0.0,survey
789,0.0,youtube
284,0.0,inflation
787,0.0,breaking
786,0.0,powered
785,0.0,quit
58,0.0,look
285,0.0,startup
782,0.0,faangs
781,0.0,score
60,0.0,netflix
286,0.0,since
65,0.0,fund
56,0.0,microsoft
775,0.0,bubble
67,0.0,sheet
773,0.0,decade
288,0.0,trading
771,0.0,jamie
289,0.0,aetna
769,0.0,below
768,0.0,unit
767,0.0,traditional
290,0.0,rising
472,0.0,partner
764,0.0,loser
791,0.0,annual
793,0.0,center
821,0.0,travel
274,0.0,uber
267,0.0,life
418,0.0,worry
874,0.0,insurance
269,0.0,small
51,0.0,watch
815,0.0,reading
814,0.0,property
156,0.0,fear
812,0.0,instagram
811,0.0,grows
468,0.0,artificial
120,0.0,know
807,0.0,gear
283,0.0,canadian
806,0.0,agrees
276,0.0,spotify
804,0.0,chance
154,0.0,change
802,0.0,coca
279,0.0,phone
800,0.0,grip
470,0.0,country
54,0.0,sell
151,0.0,give
796,0.0,walk
417,0.0,became
34,0.0,plan
879,0.0,leaf
33,0.0,health
32,0.0,data
426,0.0,saudi
200,0.0,selling
437,0.0,john
438,0.0,challenge
963,0.0,steve
202,0.0,shopping
439,0.0,partnership
440,0.0,shipping
959,0.0,transport
204,0.0,woman
957,0.0,visit
956,0.0,advice
206,0.0,made
954,0.0,sink
208,0.0,industry
209,0.0,wrong
17,0.0,facebook
950,0.0,image
949,0.0,beauty
441,0.0,streak
18,0.0,billion
946,0.0,metric
210,0.0,five
944,0.0,1mdb
19,0.0,trade
942,0.0,closer
941,0.0,homeless
10,0.0,street
179,0.0,value
970,0.0,truth
985,0.0,curb
189,0.0,medium
182,0.0,executive
191,0.0,trillion
994,0.0,room
429,0.0,near
427,0.0,rich
5,0.0,stock
192,0.0,valley
435,0.0,opportunity
988,0.0,excerpt
987,0.0,fresh
181,0.0,seek
7,0.0,market
197,0.0,musk
8,0.0,say
982,0.0,squawk
981,0.0,piece
980,0.0,empire
180,0.0,public
978,0.0,labor
977,0.0,jumped
976,0.0,armour
975,0.0,qualcomm
196,0.0,chip
973,0.0,purchase
972,0.0,airbus
211,0.0,return
442,0.0,kid
213,0.0,free
231,0.0,get
904,0.0,hike
903,0.0,pause
902,0.0,decline
901,0.0,weak
174,0.0,crisis
455,0.0,lesson
228,0.0,rival
896,0.0,simple
456,0.0,top
24,0.0,google
229,0.0,depot
230,0.0,investment
457,0.0,defense
454,0.0,self
888,0.0,tuition
887,0.0,possible
886,0.0,turkey
885,0.0,night
458,0.0,minute
238,0.0,reason
239,0.0,major
881,0.0,try
880,0.0,shadow
149,0.0,latest
30,0.0,earnings
165,0.0,second
905,0.0,tie
907,0.0,subscription
937,0.0,valuable
923,0.0,dangerous
444,0.0,lower
20,0.0,deal
446,0.0,currency
21,0.0,business
424,0.0,break
930,0.0,league
450,0.0,airline
451,0.0,crypto
219,0.0,call
926,0.0,senator
423,0.0,scandal
22,0.0,could
922,0.0,sharing
908,0.0,mistake
221,0.0,court
920,0.0,raceahead
919,0.0,bath
918,0.0,costco
917,0.0,asda
916,0.0,kick
222,0.0,customer
914,0.0,fashion
913,0.0,roll
453,0.0,jpmorgan
910,0.0,cold
23,0.0,investor
150,0.0,bill
756,0.0,rest
293,0.0,millennials
587,0.0,regulation
600,0.0,le
599,0.0,russia
598,0.0,employer
495,0.0,intel
