,MI_Values,target_group
97,0.045042469694105636,retailer
23,0.03183187770588547,sale
41,0.028469505536664164,store
154,0.028142800851544747,retail
77,0.02508035154151922,online
19,0.024892000684405557,investor
16,0.023596372398251297,price
78,0.023513152829428563,made
279,0.02229690008897056,great
759,0.021599071802992587,positive
222,0.02127540852176879,commerce
274,0.021233602657485307,chain
801,0.020767722196798122,bitcoin
498,0.01985310647014016,shopper
681,0.01960522782681995,saudi
431,0.01945028630899448,nation
611,0.018798109040959243,grow
39,0.018797774651987398,facebook
106,0.018564904442371244,right
850,0.018202149243454757,safety
380,0.017991827791402404,trying
646,0.017833340823539157,grocery
117,0.017782153059049843,look
122,0.017599005092722164,earnings
619,0.017350903990434485,quality
936,0.017316082815682865,creating
419,0.01677730426692481,kind
299,0.01658373838917404,support
188,0.016442827630049228,life
660,0.016380161252999903,running
500,0.016246674758945145,effect
141,0.015953815720503917,house
510,0.01583271822639576,electric
495,0.01565496830625035,article
340,0.015579452475776412,left
664,0.015570458415855137,regulator
404,0.015522200189556079,impact
394,0.015426869129070209,instead
533,0.015302201606100185,option
563,0.015218805661503243,tell
231,0.015080650591432265,line
386,0.014964127543474204,paid
971,0.014942854744202094,rich
120,0.014897473822192309,walmart
503,0.014888061606480818,campaign
513,0.014875256963185812,margin
464,0.0147045182819725,donald
45,0.014664575237270272,government
875,0.014557239379658693,simply
260,0.014542254006198574,half
924,0.014449096966048458,russia
258,0.014420211422036644,strategy
156,0.014166214480740402,power
817,0.014124120166824738,worst
101,0.014048396005083008,share
52,0.013969554247368121,executive
92,0.013817345044227825,quarter
170,0.013771661213815456,expected
220,0.013682137851372289,member
12,0.01362375169572383,could
302,0.013605958999232337,opportunity
897,0.013466227673150755,consider
593,0.01341315732070636,built
520,0.013320466230061667,traditional
200,0.013241240128722298,spending
86,0.013228009444377076,three
293,0.013111483222889575,important
71,0.013110879008910059,rate
807,0.012978807224748756,grew
998,0.01292788450165494,lack
298,0.012920859718366318,europe
925,0.01282693252145961,anyone
584,0.01279361533554324,scale
526,0.01278286848244492,helped
60,0.012528679113221308,good
659,0.012494594040283635,season
341,0.012454666564390093,maker
967,0.012376597141819712,message
596,0.012340840757104399,marketing
168,0.012133745139848218,average
53,0.012118844806963569,country
448,0.012008282663347192,search
42,0.012000589821524077,since
880,0.01197044907523881,respond
901,0.01194922859813552,pace
116,0.011937781392740598,economy
325,0.011884490329618469,rival
198,0.011772907180312986,family
123,0.01173235283278995,know
691,0.011685749128514944,difficult
417,0.011646637485372757,item
736,0.011637916599481546,trend
