,MI_Values,target_group
560,0.028912336854813647,shopper
318,0.028180466332105913,chain
281,0.025028203020531103,commerc
36,0.024341525416585963,retail
149,0.020984957052821107,walmart
49,0.02087266270298138,store
28,0.020592773635383477,sale
658,0.020354025708412493,cover
625,0.020329256666415496,groceri
496,0.020151065286650338,item
206,0.017557802955723956,polit
141,0.017465686501890065,secur
440,0.017314399879104325,addit
763,0.017206632176242964,goal
474,0.017166280727396455,similar
877,0.016525844748122465,greater
642,0.016415729806376733,player
873,0.016085804136597437,hedg
115,0.016027850606683103,develop
381,0.01589464289859155,life
48,0.01559151992779051,govern
982,0.01537877643083485,surg
426,0.014836210520477344,impact
875,0.014616118087687369,sometim
454,0.01455825737553762,fell
750,0.014540204325328432,wealth
727,0.01449803230820823,alleg
304,0.014419688984030676,school
676,0.014402494690193723,abil
556,0.013986115524276865,south
417,0.013658641141984118,owner
348,0.013634956959956535,book
437,0.013629596317273895,alway
495,0.013571842319965999,drug
890,0.013370047596981793,fourth
289,0.013284489751127948,record
500,0.013178986926029923,outsid
596,0.012812326438439658,warn
37,0.01244668502646551,technolog
25,0.012416326378067222,panda
300,0.012267989656238987,univers
667,0.012242147613515497,budget
182,0.012158986169568786,former
843,0.01215425507385226,editor
373,0.01210057838874068,hand
0,0.012072829688516418,compani
670,0.012024449776653068,music
611,0.011990451635150556,economist
529,0.01192019139872591,locat
247,0.011908493784260621,level
483,0.01186717777413926,focu
214,0.01176627472039482,head
606,0.011758076108337567,articl
376,0.01163242286369437,activ
66,0.01155878121786591,want
155,0.011516498508956863,creat
453,0.011369714316665558,contract
862,0.01129647467854844,establish
766,0.011276659239440878,david
776,0.011229647695218725,type
388,0.011200894804673123,advertis
576,0.011176500515519328,histori
519,0.011036341428657837,final
181,0.010841239303667205,food
880,0.01081853385397391,wait
965,0.010713353269548698,stage
511,0.010667891834152288,bezo
357,0.01066081775810468,video
575,0.010644419936549188,file
291,0.010614621426497273,parti
423,0.01057946215776262,matter
742,0.010562645280964622,although
203,0.010505587033994734,account
77,0.010488675305531103,down
894,0.010446639879590158,road
350,0.01044495728788819,total
61,0.010299964217429292,state
899,0.010258859602690906,noth
253,0.010042383879285577,network
936,0.009991545458814866,disrupt
591,0.009970362590445259,advis
782,0.009969436746376514,visit
124,0.009948620177202327,employe
33,0.009910445500601606,report
503,0.009868548786135856,period
99,0.009807726170014464,chief
71,0.009770617934986792,expect
571,0.009658205312657486,spent
528,0.009642346552476644,featur
268,0.009636478526187098,shop
659,0.009584976994898353,vice
114,0.009560546233152278,quarter
594,0.009557389428712426,toward
165,0.009519375959115006,user
923,0.00948563581033679,integr
443,0.009385869526924662,test
590,0.009343765476765187,struggl
933,0.009299650372235124,club
