,MI_Values,target_group
20,0.019467098190540932,walmart
547,0.018201554488358473,whether
333,0.017683659175483646,major
316,0.017139670210395863,winner
66,0.01687161495855949,firm
357,0.016581565402055798,comcast
612,0.015618871277959467,drone
169,0.015255706187967455,shop
319,0.014119828147489466,without
949,0.013979098950909874,salesforc
555,0.013656232365580445,project
212,0.013629094643569095,technolog
526,0.013467597284254174,social
182,0.01346092743778149,whole
783,0.013362935656602737,cheap
639,0.01330141839712251,workplac
830,0.013242299410878955,idea
310,0.013152829106009456,live
522,0.013149931494814915,commentari
222,0.013125400906474516,wealth
129,0.013078137450615701,go
930,0.013056783728203403,studi
748,0.013028068193567943,woe
317,0.013010908305414404,sector
722,0.012993782520658081,center
785,0.012539992857216742,turbul
254,0.012299719095186346,near
105,0.012290661208026021,india
434,0.012083285967742885,name
576,0.011876348460637676,expans
272,0.011744740058807102,latest
658,0.01167929882955332,militari
315,0.011645861413205338,uber
395,0.011481263364258254,david
181,0.011297671971807643,groceri
694,0.011205690275594815,produc
375,0.011189080430064502,land
777,0.011125992845353538,direct
370,0.011027136735611842,sear
364,0.010913871601031966,track
603,0.010889515778191639,crack
354,0.010883341603086016,small
757,0.010759744079479105,chairman
83,0.010752154816316306,push
264,0.010712285815073441,line
914,0.010709519438548698,driver
284,0.010597901547340749,join
793,0.010550416886051739,arm
916,0.010501859262792124,takeov
628,0.010403485513528654,boom
341,0.010369275798499888,love
443,0.010306108489158472,reveal
360,0.010227298925561401,scandal
323,0.010047857768084922,might
325,0.009981751787828674,threat
999,0.009920538139463364,shadow
987,0.009840195849397215,gift
25,0.009828161983495898,sale
695,0.009727572509027782,level
680,0.009714413751701123,chair
1,0.009691973597216963,index
646,0.009568934085587122,decis
76,0.009377870367786478,profit
569,0.009368791960295164,banker
415,0.009335227281306535,airlin
150,0.009292635644095437,grow
503,0.009132867762956298,nearli
903,0.009076389000648444,succeed
202,0.009042202546676092,hit
535,0.009034422801581954,demand
201,0.009028113587014053,seek
267,0.00902059063496874,trillion
328,0.009019480979657324,polici
656,0.008995554276804096,micron
72,0.008924360250141872,real
976,0.008903342928301194,respons
991,0.008871081950500903,coupl
896,0.008824473399704935,backfir
562,0.008693185856958552,happen
852,0.008636411034834701,tree
730,0.008629212492786476,run
988,0.008605174859764864,manufactur
308,0.0085479799584256,watcher
227,0.008465803413081341,star
107,0.008444827696663326,analyst
756,0.008433619676852855,snap
963,0.008324704491619483,tension
800,0.008323739168463407,side
734,0.00832313767925208,solar
465,0.008296057314649552,offici
952,0.008284676214804776,slash
735,0.008278479369475233,weight
39,0.008249533748254212,citi
41,0.008246431861855141,earn
681,0.008184673860179181,weapon
210,0.008126646194792642,mark
809,0.00811561483499057,surpris
120,0.008081907138715039,gain
496,0.008065769616436125,search
899,0.008037014543113896,educ
927,0.007966141437902197,nine
152,0.007954506983341325,call
970,0.007927404274233663,drag
652,0.007925339945079601,bowl
245,0.007909598824883401,follow
260,0.007871610424688757,stream
990,0.007870317057008913,end
312,0.007804349065233751,exec
942,0.0077986129618594635,brazilian
362,0.007685670038436898,comput
113,0.007669871475419754,rule
477,0.007657882537238203,advertis
577,0.007640672141535632,voic
139,0.007627726805765178,point
650,0.007545149016288111,lift
384,0.007527234822763074,program
771,0.0075049408031155895,raceahead
108,0.0074983699167279205,biggest
796,0.007455808874495151,foot
143,0.007403215815156905,target
77,0.007365267571386225,next
607,0.007355390301443165,jack
454,0.007329440450351887,stake
288,0.007231063348861699,car
739,0.007157144954945904,west
361,0.007110123854418227,veteran
565,0.007106004100459806,postal
605,0.006974951669544538,centuri
359,0.006969241807085247,chain
106,0.006961766802388247,worker
