,MI_Values,target_group
8,0.15750334545948852,target
4,0.07827283704136279,company
92,0.07246975800755573,central
37,0.06747283325845865,retailer
44,0.06636125136780469,inflation
13,0.06621474150102236,stores
26,0.06616024365600204,bank
171,0.06440039992506352,child
48,0.06060636406024944,commerce
15,0.05299140838188632,online
39,0.049265497186201435,retailers
28,0.047756432029355755,store
68,0.04505876034691503,policy
583,0.0423146225284019,economists
29,0.040853329311445696,retail
59,0.0407280641191039,delivery
76,0.0397811117613609,shoppers
193,0.03878879160178461,economic
389,0.038442523432144826,monetary
1162,0.03670727863033041,stimulus
6255,0.035130516672437384,underperformed
9745,0.03463191582556102,siphoning
7517,0.03391895799262401,recycle
85,0.033060076352492196,government
87,0.032859333509048794,higher
6169,0.032422586157936584,retained
5078,0.03213080785041966,upgrading
1446,0.03210632848271566,inbox
7969,0.032044973365068063,calif
12,0.03184359185447749,sales
6823,0.03167618295017127,freeze
402,0.03105571713200317,currency
3878,0.03101623007295151,sorts
25,0.031007718546801177,group
7104,0.030966742156047555,iron
142,0.03056228487477375,giant
61,0.0301538830972361,rate
644,0.02986481564888188,accounts
9499,0.02948349533399308,vetting
4750,0.029270397128097647,bruce
5501,0.029194283769831353,ruble
112,0.029108146329554385,rates
7276,0.029070148536880502,grant
4581,0.028862815107959516,deficits
2245,0.028746931324433067,doors
2702,0.02870416510726881,extent
114,0.02861491924603543,chain
4253,0.02855655831055004,participation
554,0.028111932413920737,probably
383,0.02796891515216715,raise
34,0.027905764209851913,customers
443,0.02776465060913913,offers
122,0.02761194911653253,shopping
8012,0.0275714432699814,ringing
365,0.027477672924936414,experience
6573,0.0273870384454451,preview
8797,0.027371160710541353,assigned
6524,0.027317909237444926,tard
6943,0.02729494117324771,barring
5263,0.02716916982298212,gennette
6456,0.027146841732622606,tires
232,0.02706323957441903,power
1633,0.026976139658257736,restaurant
550,0.026898058029480865,basis
4154,0.02664495373202147,disrupting
3605,0.026562007321178527,default
1428,0.026515534708459132,straight
772,0.02643163926870984,measures
3180,0.02637062698290049,votes
1304,0.026280337216775473,lending
2156,0.026245739279831648,crew
9254,0.02622508862242645,departures
2197,0.026086266151613913,sensitive
5166,0.025928930131588146,loses
3300,0.025660997121421447,skill
458,0.025610034893120526,mortar
9746,0.02559475553804269,fruition
5406,0.02551479234803611,chat
6083,0.025420251602242816,coles
3968,0.025387294577249087,ward
1275,0.02536536430493075,gauge
4186,0.025357853969444122,console
3809,0.025328826256065806,siri
5635,0.025275536828150758,conviction
1042,0.025154604912051015,strength
9763,0.025124294519747625,mohan
452,0.025097976895449126,goal
689,0.025080793708449844,crisis
341,0.024951918737152523,known
5749,0.02491943631103699,aapl
2175,0.02491732322476148,relationships
2908,0.024896069433397727,drew
2701,0.024890242304799637,complicated
8457,0.02479378446702518,columnist
1900,0.024735453644726846,speaking
8181,0.024635466437489706,gambling
7404,0.024559082737330318,inefficient
3863,0.024507624185902133,borders
4594,0.02450171792863487,attempted
6025,0.024470159247034218,divided
4603,0.02417026335781025,forms
4222,0.02411410661787272,corporation
110,0.02401439741103628,recent
7950,0.02399869546797162,intensity
5739,0.02397717009919309,exporting
7122,0.023949710146002667,sacred
3770,0.023918352416886224,fundamentally
1065,0.02389656450682165,regulators
9115,0.023870838860742705,shower
1412,0.023842771314455113,supermarkets
516,0.02366866139042223,reports
6097,0.02358145546320589,purposes
722,0.02357746901428648,supermarket
7568,0.023574651892761755,mixing
1370,0.02357270603586481,parent
610,0.023514489703186037,yield
2958,0.0234802380958965,implications
1825,0.023467094597383165,electricity
132,0.02343222697446823,term
4764,0.02339701284958373,streams
3456,0.02334216000451228,mckenna
8982,0.02330641944619183,swelled
7663,0.023252519121299553,showdown
83,0.023248634251509248,grocery
7123,0.02318553338924878,erik
4163,0.0231621758507341,harvard
9647,0.023035767029278675,bnef
35,0.023017235105299516,since
4567,0.022987530869488015,vying
6457,0.022956760352422334,greenback
3074,0.022947917094666703,favour
6267,0.022942123078024235,acted
4791,0.02280234046426477,earnest
673,0.022794967756548656,launch
5608,0.022790557816131818,repair
5967,0.022754958607341225,lavish
578,0.02261376587260089,budget
310,0.022592290026484996,assets
1459,0.022495203175368017,instance
5133,0.02248213943427979,spare
272,0.022476361685706436,post
6718,0.022469938112320342,accountability
514,0.022456639730808803,exchange
8934,0.022452519239053448,notorious
3563,0.022430686076233775,guys
2181,0.02241095953391148,visits
9958,0.022385831186638283,extensively
909,0.022364345691062715,either
7092,0.022327603646599803,peeps
6455,0.02217980925122376,najib
