,MI_Values,target_group
43,0.03437123348090587,retail
62,0.03258878087633388,stor
224,0.023566304442506292,polit
388,0.022968979754461438,nev
194,0.020755420230362365,elect
333,0.019943823196934662,hap
328,0.019209221437298307,ecommerc
111,0.018627171183995594,onlin
489,0.017860726889441958,test
968,0.01736321004768504,middl
36,0.016813853749386487,sal
249,0.016776965883693373,success
371,0.01643278654383562,design
49,0.01594870569701401,real
982,0.015905179493482136,tril
926,0.015896999207584583,threat
164,0.015826381757690022,walmart
345,0.01580468601511109,appear
14,0.015682066187891364,tim
221,0.015679626537139058,target
234,0.01547294509066055,biggest
402,0.015224063820805656,vot
166,0.01521251638532961,anoth
342,0.014946674908156599,chain
434,0.014936345021124176,alway
362,0.014792945025384752,reason
820,0.014625500583058448,ment
618,0.014535946953425194,what
461,0.014352394211753605,washington
390,0.014212861039257785,let
549,0.014087131816904908,hum
903,0.013528832047122297,perhap
872,0.013396860964654644,cor
395,0.013342957981336223,crit
59,0.013289846686081797,facebook
255,0.013244747876016705,remain
60,0.013222520641584135,govern
637,0.013105156434098486,room
61,0.013101678629457547,much
92,0.013012762527517596,country
487,0.012986677983206407,until
205,0.012864766976360187,food
812,0.012849134984159516,respect
473,0.012543222016277333,win
133,0.012539010670620243,show
136,0.012533368587217764,bas
216,0.012487831395951998,return
887,0.012478423622745982,chip
94,0.012334137260700206,publ
466,0.012295871954352,iphon
843,0.012271698941174414,rac
892,0.012250011839306518,sci
937,0.012162488434035446,port
90,0.012020587314136133,mov
170,0.012012424580685632,past
491,0.011940819955579274,twit
405,0.0119037792635035,sharehold
81,0.01187336846106768,tech
38,0.011759624757913922,dat
301,0.011748812625834049,someth
853,0.01167324870542541,entrepr
283,0.011644173161978744,ind
842,0.011567537665324146,bul
510,0.011440920204919713,china
201,0.011380734750113142,policy
428,0.011328903837056759,receiv
458,0.011282667667850799,lif
533,0.011148175967150564,discuss
648,0.011104600076837556,vert
282,0.01110098715965302,across
690,0.011047083633807908,budget
373,0.010963765066544617,cash
557,0.010937520132494383,young
726,0.010841867021923024,war
