,MI_Values,target_group
775,0.020903235174453583,intern
18,0.019628231241516803,walmart
498,0.0179487738868922,quest
362,0.017561448465376328,competit
635,0.016543545028248063,defend
253,0.015900363081674973,revenu
259,0.01567021006870406,month
21,0.015496028493394931,facebook
612,0.015444053323333762,favorit
885,0.015085627315919892,nuclear
237,0.014811966529149512,custom
649,0.014773420455474806,avoid
615,0.014411792941560142,antitrust
657,0.014364589413342177,plac
145,0.014232988652692846,whol
466,0.014061525122302632,lif
368,0.013892342886397069,vent
687,0.013814557844895381,donald
617,0.013737133894663245,stand
370,0.013609904253881089,three
891,0.013498578784759685,baby
154,0.01348610421964147,act
72,0.01333830872128905,fac
876,0.013034415323115223,stanley
379,0.012882473214987922,toy
524,0.012733041570820669,soc
973,0.012525991361375777,bonus
676,0.012398994853620948,candid
660,0.01236707008769633,built
87,0.012231682961467927,help
57,0.012119890261883093,car
96,0.01207166948356786,brief
289,0.012013869637121033,follow
594,0.011998508868821034,poach
233,0.011982687278670356,list
291,0.01195036359605095,depot
643,0.011821481410478007,fuel
671,0.011588923392030104,brainstorm
699,0.011586131271630329,interview
40,0.011559514079506616,retail
52,0.011522476465075648,stor
681,0.01145113893111005,around
928,0.011449497445006784,begin
919,0.011402794262067806,paus
479,0.011401704803141621,airlin
963,0.01134611944560282,beauty
490,0.011340648189298586,acquisit
213,0.011078568589466098,transcrib
314,0.011066116271077231,mean
868,0.010997926569340066,connect
238,0.010988946447989534,tril
990,0.010882686055171398,piec
692,0.01087961258386616,loc
751,0.010770409344977194,nvid
602,0.010664910198050714,samsung
132,0.010635848991329189,chines
34,0.010588086379171413,earn
981,0.010501059825030357,oversea
777,0.010479867809452426,cisco
380,0.010433406339576123,whit
311,0.010302222279351403,supply
580,0.010270018076810938,ful
355,0.010263105576345355,krog
697,0.010146291159879528,flood
78,0.010121360230755494,buy
879,0.010102415059743741,paid
503,0.010078097770740646,think
471,0.009922259354369523,guid
610,0.009827040265311338,increas
689,0.009787826453960369,sen
119,0.009782691037928615,fut
293,0.009688258630262014,walgreen
324,0.009601663259783733,credit
815,0.009600607344762313,print
153,0.009577704879430993,canad
295,0.00954783070861076,round
480,0.009542664966875503,crypto
245,0.00943959346327583,return
839,0.00943763381965379,cod
903,0.009355822410282544,staff
789,0.009343881161986811,among
127,0.00931526498767865,del
448,0.009298773722700382,forc
337,0.009283585805531347,startup
653,0.009278639059214333,develop
288,0.009222107518240152,policy
156,0.009218332300245491,know
658,0.00916290019252175,sport
46,0.009156853647504626,report
176,0.009143351265810118,europ
93,0.009121151532957672,record
670,0.009090541079435521,bas
204,0.00905674435277759,robot
603,0.009034983123237916,stick
221,0.008931420102054277,smart
810,0.00889365663172037,happy
517,0.00884169432209525,effort
230,0.008681664019156488,despit
352,0.00866765241318923,kil
924,0.00859075851263258,cold
30,0.00851853407899461,cram
330,0.008447973874876613,cryptocur
590,0.00841039387175413,strategy
265,0.008365758227310893,exec
32,0.00829996918838427,mov
118,0.008281927251467591,good
345,0.008217599971917622,soon
492,0.008147809297431863,stay
428,0.008146078105512045,debt
655,0.008124534165677266,opioid
122,0.00811178282076086,am
920,0.00806173515345443,tie
308,0.008057795336807949,hug
703,0.008028091711502316,wel
899,0.00797298482505382,tit
863,0.00788161627049666,texa
805,0.007842537637148483,accus
462,0.007826445067377286,saud
896,0.0077530385930382195,ag
224,0.007695580326441576,amid
436,0.007687664232921776,card
927,0.007574883862454085,ent
759,0.007531447885037235,flag
292,0.007527271102917288,doubl
284,0.007514883214942758,sect
512,0.0074831759293156885,downgrad
859,0.007465981894034579,room
82,0.007402754327795691,analyst
589,0.007366562926163667,fintech
296,0.0073638975413798935,reason
642,0.0073275561299877,interest
762,0.00729269484321593,germany
94,0.007287829794417,shop
906,0.007263376254977638,struggling
500,0.007193578985875249,access
401,0.007176881328144091,equ
216,0.00717500372328117,rev
442,0.007165758965459013,hard
61,0.007150013114705311,hom
437,0.007126078842728312,black
914,0.007122106468719025,simpl
212,0.007023799139017184,hir
593,0.007013752858244349,homepod
135,0.00698370944025406,med
476,0.006972855844900039,stop
584,0.006864087348103176,sono
645,0.006830152734452533,select
722,0.006823000287155656,express
915,0.006816859230511785,sight
441,0.006808447027734976,party
883,0.00675982261408592,territ
140,0.0067526865088083365,quart
551,0.006734677670669154,kohl
597,0.0067279776576743,squeez
6,0.0067055354713709825,tech
909,0.006697270380252807,machin
672,0.0066870210936258445,rest
836,0.006651706583971961,sprint
964,0.006627100285701681,ambit
507,0.006610941803305792,tre
877,0.006609754155265879,xiaom
69,0.006603386141191603,tariff
328,0.0065988360168887095,phon
167,0.006591413431734194,build
26,0.006535660036622648,sal
257,0.006492335889173528,mad
738,0.006444955552465492,tent
951,0.0064424439149675106,sick
261,0.006434067964014689,wrong
344,0.00640846174891152,hold
138,0.006389108918780639,fight
236,0.0063607648676689,drop
800,0.006354224433509081,starbuck
636,0.006351569720863148,pack
559,0.006334948825830633,less
663,0.0063147540507160205,erdog
398,0.006296150099417419,streaming
10,0.006290940917789589,street
196,0.006271853946705264,grocery
533,0.006260749145056588,went
194,0.006228557730708628,jump
548,0.006191235833621134,wild
351,0.006187225732007695,sou
276,0.006160268687139814,min
3,0.006146232718081457,market_moving
263,0.006111812424260288,presid
281,0.006091460218058176,bitcoin
50,0.006070901100811321,first
641,0.006068241651800088,unveil
349,0.006065336523290554,russ
55,0.006057258555017597,onlin
732,0.006030929434793553,wav
967,0.005979264276410268,sink
278,0.005947536823324384,book
456,0.005944704440101756,rid
711,0.00592063390247155,pac
817,0.00587760017731398,an
81,0.005876843033012946,sheet
596,0.005869839816331268,ring
163,0.005838826443577805,hit
409,0.005819939803851204,seen
195,0.005818368849165312,near
806,0.005638990461317217,limit
745,0.005634148153482288,lift
788,0.005633597381508482,jamy
199,0.005580180747168262,short
541,0.005558866805347673,bel
152,0.005549939257563974,priv
648,0.005505923305175964,tend
988,0.00550012123708532,armo
474,0.0054933543926132256,program
395,0.0054812664966772395,dang
619,0.005478043520934506,fed
799,0.005459459733992533,moment
450,0.005427729316890284,par
901,0.00541655210332026,hat
907,0.00540313393275027,provid
67,0.005327358919304359,netflix
8,0.00531787276940987,say
540,0.005307095302631071,slow
254,0.0052779838998029405,wom
677,0.00526734766435899,must
585,0.005245975649340595,part
647,0.005230927881826997,sid
487,0.005202767101953221,top
14,0.0052002962377948325,trad
467,0.005184567050056765,penney
29,0.0051839622927507545,high
611,0.005181760472086516,kevin
546,0.005168086076010825,study
993,0.005115130968562864,traff
948,0.0051051918628919335,leagu
70,0.005102481794059255,microsoft
41,0.005101883150766318,off
64,0.005093106260206204,jeff
388,0.005076533617061507,team
614,0.005053091208177873,col
811,0.005041727206754887,tank
303,0.004980669169595053,worst
38,0.004965365569046476,shar
215,0.004951004740934906,reg
922,0.004930976532995457,split
598,0.004910522769440595,pharm
453,0.004900705663677174,lov
17,0.004822104378884751,mak
182,0.004821474192198583,driv
458,0.004806008949525653,assist
781,0.0047768489564352645,univers
905,0.004765211286495763,releas
63,0.004754904640010604,cloud
4,0.0046950677589370216,amazon
275,0.00467416334527071,continu
95,0.004661271835514125,food
193,0.00466124720761707,story
336,0.004655477356011017,infl
846,0.004651228870828916,wheth
313,0.004612395016107218,rac
604,0.004583760204116771,threatens
946,0.004576508083899089,toward
534,0.004576190814515879,disrupt
997,0.004574314238062538,auto
705,0.004540277331669396,broadsheet
947,0.004514488472237899,camp
430,0.004467434861994191,comput
125,0.004454070488191908,expect
266,0.00444117771270891,own
754,0.004401720166238743,concern
557,0.00439975351895372,loom
575,0.004382998175794572,project
694,0.0043555602229568,dropbox
994,0.004334935665671669,thank
252,0.004333048697168218,weal
400,0.004330025297387241,famy
177,0.004309367785481966,partn
609,0.004290402712552099,fedex
912,0.004250898521130919,tsla
240,0.00424881175942371,bring
766,0.004236813661639971,leg
464,0.004229792263308774,macy
989,0.004220747435354166,empir
107,0.004209278996897936,firm
