,MI_Values,target_group
31,0.037409412986375346,retail
297,0.02775095178616338,ecommerc
95,0.023494241320065168,know
898,0.022699424027270654,sometim
115,0.02214948071522027,public
30,0.02204264200016004,sale
49,0.021825607569950556,facebook
248,0.021012012097754607,polit
69,0.020643914254002027,store
362,0.01955886841119936,challeng
313,0.019156519703281916,chain
80,0.018845260428497213,share
994,0.018306508505617547,anyon
210,0.01829324729377424,media
66,0.018029222145255153,govern
101,0.01793239582006434,analyst
292,0.016955510782702188,record
845,0.016872488662139862,overal
822,0.016826940868224005,quarterli
544,0.016764352329288412,stake
896,0.016740988073602914,gave
409,0.016596793277903643,alway
652,0.016273899168241623,relationship
433,0.01620685877577399,elect
26,0.015815665882854546,trade
590,0.015766245644957433,shopper
140,0.01490975178028675,capit
434,0.014895324814168998,cant
247,0.014828091748413819,privat
941,0.0148183498553498,chanc
145,0.014755193716261106,follow
910,0.014404142327746339,light
152,0.014231115387904891,less
533,0.01413798594455673,limit
643,0.014118492738500521,cover
460,0.014101388238998425,shift
118,0.014031711276907721,best
42,0.01394622486197572,even
92,0.013916035915946035,money
865,0.013830999257359089,confid
696,0.013696039956910822,singl
38,0.013526656208855403,technolog
258,0.013517772197293665,list
703,0.01351592643124122,decid
821,0.01329277312289645,app
927,0.013272378619221703,qualiti
596,0.013222686446749732,amazoncom
390,0.013044445605628674,hope
400,0.012775328039556166,maker
358,0.012700314610842867,initi
733,0.012680977221350087,young
173,0.012674437719524478,polici
201,0.012628280346663079,risk
742,0.012522815351456718,messag
104,0.01230207454093013,increas
439,0.012235554564167694,own
229,0.012232163427073672,asset
98,0.012178706495695746,global
204,0.012163575088449452,sector
909,0.01215790555733709,pretti
130,0.012149106814963284,brand
792,0.012128149792657084,speak
740,0.01194777929052493,everyon
160,0.011884462558027886,user
170,0.011878029621948949,news
367,0.01181791546838351,actual
288,0.011813420730319102,doesnt
895,0.011786270614120964,recommend
707,0.011754697143751214,longterm
519,0.011688103330564692,claim
233,0.01165417117043921,estim
706,0.01150230387955542,predict
975,0.011480055499653918,committe
714,0.011457343512509377,advis
138,0.011299895192131926,walmart
324,0.011288227356109903,job
359,0.011255607004221124,game
645,0.011238459407012957,familiar
70,0.011220845732032858,googl
304,0.011197388508205508,happen
832,0.0111758281255383,commit
918,0.011123315760323882,canadian
11,0.011095516309447717,peopl
538,0.01104187974490456,test
587,0.010972995716944434,full
946,0.010954309913961513,robert
746,0.010923123450062189,although
511,0.010834049804688828,figur
593,0.01080051272101823,negoti
195,0.010793400803524644,everi
