,MI_Values,target_group
229,0.019899940201596467,long
15,0.01879632285424515,walmart
400,0.017128678597879476,seen
357,0.016239725066868216,lead
623,0.016158915046314615,slow
540,0.01569795435854493,lure
891,0.015437804093292762,mind
264,0.014962209487094702,follow
429,0.014873547009473631,equiti
803,0.014727317640834237,loser
849,0.014672100971661495,requir
796,0.014643918813855183,candid
64,0.014504367662598217,prime
54,0.014185226201335777,watch
75,0.01394892154655536,work
947,0.013926670272570885,answer
358,0.013824196358367624,case
136,0.013742133426604353,season
111,0.013518215439962455,close
238,0.0135127398194399,made
359,0.013484574743614752,forecast
266,0.01332172184039826,depot
730,0.013159550383611496,town
22,0.01305797986799151,busi
553,0.013052630946797983,depart
466,0.012978119279011713,contract
194,0.01290502722818787,right
435,0.012749365776735022,mani
4,0.012684553563878875,amazon
269,0.012552608375402619,walgreen
88,0.012500141095923789,firm
69,0.012468054376440163,face
950,0.012450888356282164,grocer
773,0.012407755068233106,perk
684,0.012386147167938732,split
47,0.01231897345282329,onlin
817,0.012294302771049148,roll
260,0.012257034872130479,remix
282,0.012256678787070152,worst
640,0.012181449082916407,support
211,0.012147129821407754,corpor
596,0.012092865400171293,poach
758,0.011907413665416477,wine
750,0.011905030782628057,medic
107,0.01188307728679261,buffett
764,0.011819536805371289,rebound
451,0.011749632983492964,assist
946,0.011678613576401986,begin
379,0.011616453603101151,energi
501,0.0114943514101149,artifici
134,0.011424148521405275,know
331,0.011422802800296283,race
985,0.011416021706556867,beauti
343,0.01138571686837464,plung
759,0.011326194250024013,lift
301,0.01109057650029821,leader
21,0.01105610272919555,deal
101,0.010887196121824871,cost
511,0.010856563822521093,critic
771,0.010838704889368111,mix
26,0.01083142331300313,sale
351,0.010619377256773976,star
142,0.010322804690030551,ralli
230,0.010226108490586583,manag
820,0.010203099209401767,feel
536,0.010187425892893343,earli
790,0.010154956404952342,shoot
858,0.010063771164697144,chanc
99,0.010019108162123924,come
375,0.00998406402558083,review
513,0.009731656489331275,strategi
