,MI_Values,target_group
69,0.0366686105034284,store
31,0.035178542751361785,retail
786,0.027589810656816427,word
300,0.023300560324142072,ecommerc
30,0.023003363975706348,sale
879,0.0227669731149045,noth
137,0.018079766741426972,walmart
686,0.017839953996969138,main
873,0.01756606132358951,brexit
481,0.017555199392384813,item
971,0.01732709401467125,accus
66,0.01701674312108281,govern
941,0.016412951525636155,summer
545,0.016400069975928133,test
749,0.01633407271854992,disney
108,0.01628799501351219,high
747,0.016241721707632495,love
680,0.015560939574968291,explain
633,0.015319594693889771,caus
111,0.015207680816869074,right
604,0.015185564254079242,what
714,0.01513146106319141,form
721,0.015089855093015192,advanc
496,0.01503479008046904,went
696,0.014964777453576827,break
77,0.014792004063999498,still
72,0.014707085687222676,fund
982,0.014514650787101235,appli
97,0.014497116670962651,quarter
807,0.014273313748968786,respect
105,0.014205546126226043,point
848,0.014100459607467197,adjust
338,0.01406237581769676,equiti
404,0.013973671878114713,came
756,0.013774450952672268,minist
405,0.013770476464997072,softwar
340,0.01359328101996593,often
204,0.0132975177023269,sector
521,0.01307281067012278,paid
580,0.01306355395844827,sure
439,0.013035564760772722,receiv
755,0.013019044468236984,specif
286,0.01296351379688554,rule
32,0.01291355909744607,million
441,0.012906198932867818,elect
834,0.01278037109821839,michael
853,0.012601031792220052,expans
51,0.012569259184963766,bank
761,0.012513405185123005,scale
230,0.012494201142920103,competit
488,0.012395963421978351,parti
5,0.012390902059576936,like
720,0.012390437242266295,host
731,0.012386274526483998,healthcar
88,0.01224036676010054,dont
472,0.012167378017788666,acquisit
316,0.01215535324163608,chain
854,0.012151553786658553,describ
45,0.012150967228132803,world
743,0.012147742702479203,everyon
782,0.0120798721021802,sort
172,0.012039420289229996,polici
181,0.01200504868443808,hold
310,0.011990649580354784,decad
498,0.011982802875475373,central
325,0.01189685264890028,least
143,0.011789982923093634,nation
425,0.011788752785661938,forecast
442,0.011712026550499521,cant
739,0.011477479653934974,version
159,0.011473987355787418,user
870,0.011465033270242841,wait
49,0.011447670197459514,facebook
688,0.011424053072472962,beyond
12,0.01141259504263803,say
606,0.01134892844104285,group
890,0.011304526851077856,worst
392,0.011279658144981664,view
989,0.011251401756982027,ground
573,0.011197017717057944,way
631,0.011166938996962195,acquir
691,0.011140883226551379,tweet
950,0.011083892451540622,simpli
715,0.011081778320399804,david
287,0.010934895653711196,day
268,0.010785159520920518,offici
22,0.01076171958966432,work
281,0.010751567413974872,seem
415,0.010746687569484381,alway
561,0.010746590539779666,human
675,0.010509476901453985,congress
681,0.01037343987769579,budget
828,0.010252613878477534,commit
518,0.010146694827160019,figur
102,0.010117765726489258,analyst
416,0.010112216188930212,bill
424,0.010030599150611108,latest
959,0.009997008425567167,entertain
531,0.009985921983903356,court
296,0.00983097588951276,record
559,0.009823088273811287,must
373,0.009775630747095088,european
196,0.009752853464902511,everi
813,0.009721668133711558,prepar
607,0.009700415057729117,whose
100,0.009669985295186478,global
656,0.009656166883437178,atampt
863,0.009645044121010304,easi
385,0.009615738446672184,space
382,0.00961364106096707,advertis
535,0.009607380727453929,senior
46,0.009578332423173741,want
961,0.009570540272341166,dozen
365,0.009542392628356211,europ
926,0.009455941586250072,seattl
215,0.009451872192769661,turn
458,0.009449817684950679,loss
634,0.009448385765800316,connect
595,0.00943072080391949,shopper
944,0.009425464050869525,convers
89,0.009366067211280749,move
591,0.009333530135037238,along
494,0.009317370964460725,democrat
931,0.009312393477765246,spread
344,0.009310447064387661,perform
50,0.009304291113272134,industri
991,0.00929508323617334,cryptocurr
358,0.00928996067550436,hour
403,0.009224726806439376,away
975,0.009202295162047625,committe
78,0.009163783530232283,use
270,0.009103384417215699,famili
95,0.009018890734056928,onlin
637,0.008929768569441165,contribut
478,0.008919686251634085,twitter
132,0.008911522962780305,econom
311,0.008891836823819554,drop
175,0.008864505709261117,issu
949,0.008831612114970966,weak
182,0.008775478176346496,near
638,0.00877515688840691,agreement
221,0.008740938056396308,remain
360,0.008734999823296397,pfirstchildgt
647,0.008680393086585303,confer
694,0.008670560734254762,thank
672,0.008618779606817784,fire
