,MI_Values,target_group
46,0.018653801840997408,store
248,0.01704342519822699,major
759,0.016764267935219346,hike
87,0.016520464169066162,target
417,0.015942241515880973,other
583,0.01586008488161572,lost
675,0.01563046919653699,offici
15,0.014824447292248522,walmart
654,0.014786838908302125,center
686,0.014626444951155948,past
813,0.014625234915865537,africa
956,0.014272003066077898,run
933,0.014267792264196721,tsla
559,0.013864689882768788,flipkart
75,0.013662567876257414,work
45,0.013661669992320435,bank
200,0.013536501621673303,transcript
697,0.013532542399666614,quit
13,0.013310259365244992,compani
431,0.013214977525893623,parti
718,0.013180464650381252,heavi
678,0.0131490926919835,board
616,0.013099069210079195,favorit
337,0.012849976142329744,seller
69,0.012828006037828077,face
662,0.012730933472116845,payment
776,0.012632806657496554,trust
220,0.01242923812002994,bring
160,0.01232222489360657,mark
113,0.012311477480134947,offer
23,0.011988017163664821,could
562,0.011844477281010013,privaci
561,0.01177426556479566,economist
85,0.011757436989083603,keep
409,0.011651129876477206,insid
831,0.011647341842746961,republican
944,0.011565234293396953,seem
421,0.011485063846147447,short
881,0.011391820448816148,obamacar
37,0.011362213315291303,share
873,0.011324503101121541,shake
296,0.011281842791324381,chart
854,0.011204613027619992,put
186,0.011147932254018444,much
985,0.011060072874917282,ambit
177,0.011040210907058423,jump
687,0.011010146089944994,outlook
922,0.010876148468134783,titan
997,0.010801703359348602,probabl
143,0.010777189060783732,deliveri
151,0.010615141375218018,battl
172,0.010573655921997771,bill
214,0.010569099729256015,point
159,0.010555635056460178,worker
504,0.010471438809738887,way
530,0.010426270417156713,bowl
9,0.01039009585045747,wall
617,0.01036165686740631,green
701,0.010293867964163761,dropbox
656,0.010271178508945988,doesn
166,0.010213124515011884,warn
383,0.01012803267957807,sear
544,0.010086309473112065,retreat
189,0.01006618430552697,second
392,0.009793151193668415,fast
73,0.009718473024207697,analyst
196,0.009657148968864826,right
393,0.009573120172559957,famili
977,0.009549721241443043,closer
303,0.009477590038996064,third
880,0.009461049313982173,relationship
26,0.009426924317524898,sale
746,0.009375909823805761,idea
132,0.009312013746359593,holiday
865,0.009274708188138359,properti
605,0.009210902962631273,social
622,0.009180202189969844,stand
920,0.009164965131117642,pull
991,0.009161354103617292,visit
456,0.00914737214104111,join
488,0.009133097242454147,sign
328,0.009085177313750137,hope
486,0.009076846794212834,self
510,0.009036905626329084,unit
381,0.009023884564529627,david
571,0.0088985545657021,banker
694,0.008886171156119227,beyond
982,0.008845839231927721,immigr
900,0.00878618138506937,level
439,0.008730130129161795,defens
636,0.008715809762592341,mobil
47,0.008647263168299446,need
545,0.008623452760928574,super
4,0.008580950434476486,amazon
520,0.008547206381071426,european
503,0.008518359367620132,countri
988,0.008487736905697707,sink
309,0.008445046093383812,spotifi
903,0.008312042121779717,apolog
567,0.008224827570276094,innov
748,0.008213940731609748,cultur
497,0.008212411879511716,probe
219,0.008184406794885968,valley
71,0.008183530818139273,next
76,0.008045415557044189,care
405,0.007997825135557468,owner
655,0.007982740558811319,alleg
357,0.007942357879922701,case
284,0.007932190804044392,echo
578,0.00792806864056761,wors
138,0.007845712743837385,tesla
425,0.007670860238576882,track
390,0.007644541416876427,danger
792,0.007637342913857426,intern
434,0.007627419778868827,berkshir
445,0.007588783462002757,becam
64,0.007477541105204377,prime
342,0.007397370796206282,everi
795,0.007341206398596256,candid
17,0.0073289221499883705,year
7,0.007328651343384562,market
230,0.0073100850468150735,long
283,0.007273670293277856,result
355,0.007235056185975974,pressur
941,0.007226348117131298,subscript
879,0.007203029256974691,pass
226,0.007113685514026136,millenni
422,0.00710703733468554,ship
626,0.007077753614746829,feder
227,0.007077239997703488,chip
386,0.0070721617427109695,credit
99,0.007067442913770705,down
192,0.007014031762403228,robot
269,0.007002950567527311,walgreen
495,0.006973309174232556,stay
161,0.00696198463079134,risk
555,0.006945829081646204,shortag
842,0.006943987910277061,import
482,0.006935646061771106,crypto
732,0.006892155694553592,express
148,0.00685541655887234,state
740,0.0067946479393219406,control
302,0.0067581816936470585,strong
42,0.006747299480782232,take
739,0.006656303533092656,airport
790,0.006627615941174225,bottom
314,0.006605117330030552,cryptocurr
410,0.0065772198835152285,voic
650,0.006552007133987292,select
791,0.006509196798375472,rest
57,0.00649503286992581,jeff
703,0.006488491023010967,music
363,0.006473492257801805,foot
343,0.006417120162753198,plung
557,0.0064163656405331615,loom
844,0.006407204273497946,touch
243,0.006391760797069379,threat
902,0.006242778977764152,posit
798,0.006241639492843509,upgrad
29,0.006234468825500716,cramer
156,0.006232194049061279,asia
443,0.006205173052413526,differ
485,0.006164729518722378,agre
518,0.006160084723368708,weak
77,0.006138353368374316,help
761,0.00600909291514351,letter
414,0.0059944436548931,congress
837,0.005964036558299579,survey
382,0.0059499481165219414,team
882,0.0059328241333902465,tighten
805,0.005924026328882004,across
788,0.0059231025810659865,engin
473,0.005914685616896342,competit
978,0.005901649049422142,fulfil
584,0.005860143818167796,surpris
299,0.005846914833339545,might
24,0.005784290904794043,investor
619,0.005754164545558549,antitrust
846,0.005667438946654002,hang
63,0.005657646561678664,microsoft
52,0.005546707670808004,home
781,0.0054814992173968236,loan
424,0.00548048347625274,expert
755,0.005458776407407884,approach
116,0.005413455254029476,global
733,0.005408805475671352,perfect
199,0.005405556460774452,hire
719,0.005397066813285223,deficit
972,0.005316221773681962,respons
891,0.00527451950815272,enough
31,0.005250794213423449,earn
272,0.005246718381350934,success
426,0.005226091978404623,black
983,0.0052179959320424185,reform
671,0.005204918966050576,dell
366,0.005184631553231345,bull
112,0.005176974629284459,talk
614,0.005152815316013415,increas
385,0.005112425458695169,tell
273,0.005111438085476427,round
324,0.005109508827512599,startup
407,0.005100548533935267,land
981,0.005088092728979587,metric
817,0.005071432807784548,gate
634,0.005053554858249765,script
793,0.005032218320732973,arm
317,0.005028888761335226,wage
11,0.004974459065619774,appl
174,0.004904099608364465,lose
666,0.004897003891398688,built
702,0.004865183887134306,postal
849,0.004820440361721801,pension
758,0.004817896312913517,lift
730,0.0047891243958306795,squar
811,0.004777831143151001,block
948,0.0047725758480512415,asda
779,0.0047571280305735986,germani
452,0.004745576187567213,confer
644,0.004703611442046229,tumbl
725,0.00467092441594863,powel
715,0.004664957696914218,broadsheet
344,0.004643625597967382,kroger
724,0.004602828346375931,chair
149,0.004582821304803808,thing
351,0.004576395920274923,win
800,0.0045697528778307905,univers
778,0.004551967643931176,tree
280,0.004543860226865926,elect
58,0.004523273573868947,want
993,0.004506436160052862,trip
946,0.00450007793291074,answer
579,0.004483604810466835,pay
468,0.004467031996371107,partnership
144,0.0044601484416202375,econom
848,0.004415895695384808,requir
326,0.00440705113867601,goe
785,0.004403349586121985,appoint
128,0.004399089543724699,get
339,0.004360943321685573,claim
639,0.004341614240011227,russia
523,0.004333832144947536,focus
960,0.004325576094468042,siri
368,0.004317191148309529,use
861,0.004302376631768912,pentagon
841,0.0042764964987584975,argentina
489,0.004183667151005155,advertis
720,0.00407566670591919,patient
856,0.004070582190021543,cola
598,0.004064687191829064,ring
96,0.00405626254008018,ahead
391,0.0040219531892917715,cook
327,0.003991626587519503,aetna
674,0.003983845322866442,light
92,0.003977904332110205,profit
446,0.003976129581165555,struggl
217,0.0039724003598589075,drop
249,0.003957570707258329,video
353,0.00395531368136437,maker
183,0.00394796649775131,industri
648,0.003946947732091921,fuel
12,0.003932834415519615,trump
3,0.003916745690196954,market_mov
669,0.003912610063534716,erdogan
129,0.00389696179961585,warren
762,0.0038825292831139446,actual
689,0.003857753810436737,homeless
289,0.0038463403401414187,economi
225,0.0038118000778308847,drug
925,0.003786131812903104,turkey
285,0.0037282451311879683,stake
596,0.003668256494681277,poach
182,0.003664943054099812,game
986,0.0036337109208184337,shouldn
594,0.0036315776146336187,reach
917,0.00360329819459837,pillpack
690,0.0035760476191855073,four
93,0.0035700820441395553,turn
601,0.0035541116319608435,promis
312,0.0035002306196119104,phone
223,0.0034091809391836314,return
607,0.003354475999350459,human
875,0.0033485794428302906,gun
542,0.003321485205143304,gift
43,0.00328078168864554,look
934,0.003226654798328177,discuss
943,0.003223436685710901,cold
890,0.003218982601973508,mind
695,0.0031708947396345,donald
587,0.003146198296215097,devic
374,0.0031308280699677837,review
50,0.0031215024832951244,million
297,0.003104553285445899,small
827,0.003085408251536359,accus
121,0.0030601399511134275,american
270,0.0030472003865937847,better
472,0.0030405229782213272,card
135,0.0029992566241279217,know
237,0.002958399609529927,electr
147,0.002954907649555638,build
130,0.0029543557153604016,hous
145,0.002882073844298505,post
114,0.002853227877474218,against
853,0.0028448438094472728,convers
103,0.002838436997140592,good
591,0.0028146613513593266,fintech
247,0.002811770638545541,billionair
78,0.0027926142862049197,power
574,0.0027899886571145505,pain
154,0.0027881316300095715,product
558,0.0027747499851034085,domin
139,0.002761277188816802,money
266,0.002756218774131458,depot
263,0.002740917372129781,polici
563,0.0026982597698166355,boom
20,0.0026721185800953062,billion
815,0.002650401849438655,treasuri
418,0.0026147647348735426,debt
313,0.0026102023944942765,secur
430,0.0025881033210033433,larri
939,0.002571710109302794,declin
162,0.0025680904665397186,fall
444,0.0025629318599675877,fail
994,0.002561751079712904,bonus
141,0.0025370040407961536,hit
194,0.002512150944828484,seek
428,0.002508415831648847,alibaba
257,0.0024810674453179526,book
232,0.00247270512509723,wealth
980,0.002470700778844037,1mdb
56,0.0024597489409772244,cloud
117,0.002418770728432662,gain
989,0.002416354495299533,advic
858,0.0024066856246254265,gear
122,0.0023981461432451834,should
938,0.002387501577608697,flag
909,0.00236522833302355,alon
359,0.0023426755545967737,ventur
395,0.0023413513765437877,war
672,0.002292053398616156,softbank
635,0.0022899876265625174,train
228,0.0022801798990521593,musk
699,0.002265320339840171,headquart
643,0.002262911545533264,financ
94,0.002238737455527273,show
22,0.002236394352759463,busi
595,0.0022199261240434254,homepod
185,0.0022148219906219513,founder
631,0.00220303433541158,stumbl
818,0.0021669508823789485,adopt
932,0.002156889446711663,outsid
388,0.002142746524718353,hour
665,0.002133657902068986,boe
255,0.0021052170749993326,continu
535,0.0021019238566832854,went
967,0.002097925943466361,happi
590,0.002078492911908425,valuat
958,0.002056986375815306,campaign
209,0.0020414700643143213,execut
987,0.002036118435108536,citigroup
39,0.0020205683564338273,bezo
65,0.001992360346120936,citi
416,0.001975218100551457,announc
517,0.001974625506984795,issu
400,0.0019393704843888582,name
886,0.0019384500669314964,never
233,0.0019086631717892821,custom
271,0.0018872612126743515,regul
338,0.0018725603808109614,ever
673,0.0018678929920969978,mine
876,0.001867108169719467,spark
918,0.0018534969638466237,upend
996,0.0018529762630745683,author
930,0.0018093095711522178,machin
441,0.0017838097927644903,exclus
330,0.001779549057080665,soon
753,0.0017651529742928052,question
234,0.001752842009222988,revenu
291,0.0017421905040102548,nasdaq
362,0.001726656820364214,without
543,0.0017068171111946917,suppli
229,0.001681503483209612,merger
611,0.0016752845512606473,estat
150,0.0016735977051272055,higher
834,0.00165140538260089,ebay
