,MI_Values,target_group
407,0.03066356914960422,retailer
158,0.027167203325797917,retail
55,0.025194091116202078,store
82,0.02490019463437343,online
527,0.022794848003163448,along
295,0.022169648225180305,chain
770,0.021798761529825184,employee
589,0.021398251387805267,shoppers
949,0.020879018184843945,rank
171,0.01990859219032637,among
590,0.019049222390240317,meanwhile
953,0.01864161483153204,device
874,0.0182051283025777,toy
168,0.018057460987562113,target
180,0.01804600738082196,retailers
940,0.01794381263913425,region
264,0.017778103883709706,general
192,0.017643960929502267,face
472,0.016828257789119005,produce
810,0.016176026135306776,someone
175,0.016129658368638555,every
830,0.016060462366022987,sound
700,0.015839292081863743,draw
234,0.01570153111331507,future
380,0.01533972554002272,always
717,0.015336080133278474,holiday
284,0.01519171548779119,ecommerce
873,0.01474037897360403,agency
430,0.014667155174295177,founder
548,0.01451212648460598,foods
641,0.014415824837225033,infrastructure
178,0.014239713644399243,biggest
36,0.014064712272434665,sales
476,0.013908928385966357,side
394,0.013854003610400012,learn
478,0.013837173800053337,feature
198,0.013827564853312602,analysts
406,0.013736980362919482,video
597,0.013694172229834267,insurance
456,0.013680321415445729,stream
777,0.013281344990160093,handle
857,0.013093186521093259,threat
118,0.013060420502918335,mean
530,0.013020174140065288,items
924,0.012979574538266148,students
923,0.012912715858117707,youve
614,0.012821353598280405,season
124,0.012638136589889548,raise
241,0.012522449179587669,level
564,0.012396546182473323,stay
660,0.012357362903969049,arent
375,0.012351792465629563,rival
37,0.012328910411534055,many
388,0.01231574858439255,worth
100,0.012275974239986054,right
715,0.011963239498312017,love
926,0.011868737622536596,sheet
46,0.011860101433867287,plan
677,0.011828226150580212,message
617,0.011732510614506753,beyond
306,0.01164376429083247,important
450,0.011566318378640084,officials
299,0.011476636888668512,launch
144,0.011356225380044327,against
570,0.01134742465767613,cause
920,0.01115872259663786,link
298,0.011133448907753918,delivery
985,0.011024149018524554,canadian
524,0.010882394875447288,campaign
938,0.010819777615778348,attack
491,0.0108166797371676,stake
976,0.010796393174037133,powerful
281,0.010710937467661275,nearly
452,0.01069903635186642,search
203,0.010465639457817533,likely
998,0.01040371679539076,wrong
441,0.010366208602298421,track
369,0.010350788749017292,software
809,0.010340074202191074,press
255,0.0103188852932945,without
659,0.010299637613033319,property
553,0.01026896347449302,hours
644,0.010232208676363541,electric
820,0.010189277135650654,brexit
860,0.010178066098367466,greater
990,0.010120994197455602,reform
547,0.009956556030935593,tax
330,0.009952338042865883,local
711,0.009804768063055747,election
973,0.009657543683980752,moment
267,0.009653900857966358,rule
352,0.009621573312272869,view
348,0.009617566885697482,challenge
239,0.009610582600955153,head
226,0.009508945292190596,lose
987,0.009498979294305432,trillion
799,0.009457904697555808,else
109,0.009323047590596989,between
988,0.00930758063468029,piece
686,0.00930672330598048,staff
966,0.009146508266631992,rely
166,0.00911649404782966,things
297,0.00909933873384805,microsoft
633,0.009092704196487889,thank
784,0.008947763959785693,attention
191,0.008922377416885618,media
98,0.008915990332504897,products
319,0.00888310818086313,reach
766,0.008865746940826424,vehicles
349,0.008851252065721127,current
65,0.008803409583702626,firm
477,0.00874234196508561,university
56,0.008709672822560632,help
848,0.008696529677614473,hasnt
532,0.008677175409455229,full
708,0.008656121386891646,difficult
858,0.0086345424327674,enter
683,0.00862960025837567,sale
611,0.008580621441147018,leaders
442,0.008569263471584154,save
386,0.008546793470557867,latest
276,0.008541688795335123,dollar
435,0.008520961481948364,instead
701,0.008501892908004516,human
819,0.008377501986420732,core
28,0.008365586221299903,include
507,0.008350533510384395,amount
565,0.008345693217881367,industrial
329,0.00834211162979348,game
437,0.008339151311730575,worry
713,0.008318916561276701,type
996,0.008311105318250966,prospect
13,0.008269711741587082,years
911,0.008253048339393665,blockchain
884,0.008239480942531463,export
716,0.008223148400813063,previously
195,0.008214309205777814,tariff
79,0.008195898480014785,money
387,0.008138923632050599,strategy
272,0.008129499976543553,doesnt
122,0.008045309751439467,number
322,0.008037265316290343,giant
87,0.007957177558224338,world
139,0.007869712233113724,past
921,0.007869463088942208,official
157,0.00784391090863057,capital
709,0.007837738527697535,music
260,0.00782654095573787,great
730,0.007817709357364588,everyone
80,0.007778602761435716,spend
983,0.007766852377805611,alone
14,0.007749093279435515,stock
655,0.007722520795989007,slow
877,0.007715206049665468,chance
290,0.007712044253610939,seem
483,0.007669221360817158,fact
421,0.007640443071082137,weeks
592,0.007622268623108441,increasingly
544,0.007590300196313793,article
755,0.007581997488192993,british
320,0.007576746134754453,school
42,0.007576095154534279,want
898,0.007550290370160528,extend
471,0.007452198859321024,late
112,0.0074500988223997755,hold
585,0.0074386187299742,cover
807,0.0073670713133955346,effort
596,0.007349904658807027,manager
318,0.007304449216557263,demand
891,0.007251483002604475,predict
955,0.0072266548522506024,middle
931,0.007189863507909733,police
258,0.007164497480341758,different
808,0.007147773828759751,nasdaq
428,0.007104185264028118,administration
40,0.007069011668937586,know
415,0.007059282298038427,members
539,0.007037806813251057,review
851,0.00701704114996371,condition
514,0.007015239600969503,ship
160,0.007013336017159144,walmart
365,0.006970860797916423,access
289,0.006921087726498687,ask
268,0.006875366935344518,days
420,0.006840895918803991,actually
248,0.0068230416561056995,term
556,0.006818875897531607,amazoncom
152,0.006804767462924577,news
629,0.006801113391292413,production
687,0.006762111039441798,collect
311,0.0067361398671013095,however
327,0.0067094040089759055,pfirstchildgt
871,0.006706763505839097,saudi
982,0.0067008754950101945,hedge
774,0.006657540555326857,club
510,0.006652319565773501,investor
913,0.006595874301998261,fuel
581,0.0065934144366868175,huge
447,0.0065841232322905174,chinas
468,0.006582358977050173,stop
824,0.0065441765735081425,perhaps
870,0.006534460868399261,culture
379,0.006523284351587222,director
946,0.006515162130178664,safety
212,0.006478269073258991,users
844,0.006474461805464404,event
795,0.006467663266727319,goldman
551,0.0064166764184878655,development
235,0.006386212312471162,lead
424,0.006335741555932861,until
731,0.006306081049959555,echo
561,0.006267486140738798,everything
512,0.006228684630409376,ways
984,0.0061745138886051265,seven
313,0.006165240756419443,national
742,0.006162818012175997,policies
127,0.006144157800295202,another
88,0.006128157953590119,thats
595,0.00611515024577014,especially
912,0.006092967417718809,round
1,0.0060738819427481605,content
542,0.006048189509730406,whose
719,0.006032277344022896,protect
780,0.005989612346048334,cite
997,0.005982255589431107,jones
414,0.005952710094867086,pick
473,0.005819382321877287,contract
543,0.0057969187570166,weve
850,0.005773254530398342,bitcoin
739,0.005713458174123609,either
591,0.005697248609964678,fail
571,0.005646418406175302,cars
511,0.005607293726535012,outside
340,0.005543336096760498,consider
876,0.0055225657493513935,ensure
864,0.005473700433283657,encourage
61,0.005447870600001181,still
631,0.005427741463479352,site
995,0.005409210768200001,startups
505,0.0054044295863300285,alexa
21,0.005385848483073774,price
630,0.005364682694629863,soon
579,0.005352106395661416,history
840,0.005332960317724789,education
453,0.005311411305064073,platform
797,0.0053048524069061465,california
623,0.005283311534691748,pass
373,0.0051892387002945295,phone
619,0.005184645156230072,john
130,0.005165385927625721,chinese
789,0.005155639099041265,grocery
734,0.005097320463230304,reserve
140,0.005090689927506498,create
513,0.0050799082699863884,income
822,0.005051706180277726,factor
217,0.0050485075297024284,information
954,0.005015266579512012,hundreds
461,0.005010042798857084,figure
251,0.0050057620349348575,earlier
986,0.004994235991079954,artificial
628,0.004975077579157938,stand
804,0.0049714896224613,wealth
328,0.004960313637530467,board
704,0.004888157524248982,portfolio
691,0.004807243795286187,minister
397,0.004783279184045419,cant
213,0.004774603935673305,partner
231,0.004698967194548098,whether
577,0.0046929043391170655,traditional
385,0.0046872759158913535,thing
724,0.0046518033136486725,sense
992,0.00462830574502604,climb
866,0.004609833380301298,summer
896,0.00460584719817958,quality
705,0.004595442367729463,david
545,0.004594367795550669,shareholders
897,0.0045681115781961434,block
167,0.004525881162533274,get
256,0.0045009499288464205,project
309,0.00449743897571242,social
355,0.004484440695252223,mark
771,0.004463484658852046,leader
813,0.004447707649470223,match
263,0.004422806145494729,debt
446,0.004408472259843421,goods
622,0.0043735469057226695,address
294,0.004330392607047484,push
317,0.004323372151949556,able
482,0.004314074732433504,unite
312,0.004298936779556062,often
170,0.004265889530588041,return
599,0.00423509950617218,intelligence
948,0.004223706819876938,seattle
474,0.0042214354257479325,personal
74,0.004184293251035642,state
540,0.004166418690694451,longer
648,0.004159542507605751,form
92,0.004158163577123508,find
846,0.004149315975778389,relationship
95,0.004125395149186417,show
209,0.004119739810602541,wall
502,0.004115730282642005,dollars
604,0.0041061296886995,put
105,0.00408972489696402,revenue
703,0.004038822533591446,smaller
90,0.004013744783563977,increase
634,0.003988492085774453,asset
107,0.003928109687010739,industry
307,0.0038791344752862056,bond
293,0.0038726290388406692,youre
960,0.003861180665993169,antitrust
253,0.0038500272234371913,shop
141,0.0038398603422149513,keep
52,0.0037749966029561044,well
714,0.0037457736771508987,problems
448,0.0037418203369028458,hire
712,0.003734334655939975,millions
582,0.0037236350031322196,warn
254,0.003716344781312886,control
73,0.0037145389255550665,start
550,0.003710351925688915,end
71,0.003696278473761083,cost
470,0.003683700002875767,court
787,0.003661625086276654,competitors
554,0.0036468221780678878,group
35,0.003639499061039997,cent
58,0.0036154348992685215,back
391,0.003603983162949742,impact
496,0.0036030901458252718,investments
462,0.003594201920643414,third
643,0.0035803556311253537,cents
296,0.0035523007162738818,center
404,0.003537595777174829,hard
342,0.0035348282116562935,later
785,0.0035268191818265127,affect
75,0.0035039325699546264,dont
490,0.0034850319193995283,hand
286,0.003482440264221287,potential
145,0.003477786504421543,higher
692,0.003467957333336713,letter
86,0.0034598184439131874,part
751,0.0034294500907314784,pull
458,0.0034127005135007327,behind
280,0.0033365257906505796,product
747,0.0033264297867374726,amid
662,0.003318226540550473,healthcare
129,0.003313400699926472,house
93,0.00330663906027695,build
17,0.0032742953039774925,take
