,MI_Values,target_group
937,0.021143103859589063,scam
129,0.020473038426496837,holiday
507,0.018396972056701655,early
843,0.018057825593230437,punish
357,0.017845449907890165,review
105,0.017495983668626147,close
364,0.01722539464556938,team
817,0.01683187102004302,grip
306,0.016647052647850824,since
621,0.016172221374312068,catch
904,0.015764798482371445,expert
106,0.01530334548282064,talk
672,0.015072344002520444,walk
270,0.0150124194263217,huge
781,0.014346498078587011,bubble
887,0.014345897280780173,banker
571,0.013856374261794313,update
340,0.013646421332809355,venture
363,0.013515201737449356,add
569,0.01342606339160679,expansion
153,0.013140191137513302,meet
376,0.012845659606013582,authers
951,0.012768538514781103,own
623,0.012452094632244393,tensions
104,0.01241393189907436,still
491,0.012213399007909409,retailer
135,0.01214162214663883,last
769,0.012025900996284644,box
402,0.012025102888671091,track
444,0.012017133633196897,bet
31,0.011914042950554204,best
986,0.011576921911103488,advertisers
790,0.011317787999378659,score
23,0.011306561397400383,journal
458,0.01118064521199047,asian
591,0.01115852304266296,likely
127,0.01114516619466488,house
142,0.011113535406850117,grow
286,0.011085799389932482,order
673,0.011063611331477485,flood
262,0.010818482964134901,revenue
488,0.010732683343171345,issue
641,0.010709488423956248,light
548,0.010668764475242787,jack
391,0.010653883191148905,finally
643,0.010649021143833703,strike
225,0.010568945781567862,wrong
728,0.010545900057888469,hike
851,0.010472169083282079,tighten
87,0.010462612001170601,brief
671,0.010421338873335628,equity
844,0.010418318310859931,spark
450,0.010384272266374062,crypto
81,0.010360346672323661,like
744,0.010293639542758637,role
138,0.010226175876011157,post
474,0.010157986239920813,analysts
797,0.010132179850866452,site
575,0.010123197368641756,fedex
512,0.010056523577044008,bell
919,0.010034724960900965,decline
432,0.009993759609346231,life
910,0.009977343487650447,tsla
181,0.009938127435490829,value
130,0.009904049770284029,india
555,0.009864290096998962,strategy
895,0.009822688027302462,hide
669,0.009776896865122398,postal
966,0.009776710057268545,sink
688,0.00969438802060707,problems
239,0.009671848435830688,silicon
371,0.009618234103420553,canada
71,0.009600533034806569,start
509,0.009593528016076602,tap
415,0.009542273941921753,bigger
212,0.009524541050445201,try
810,0.009501439586961258,pharmacy
784,0.009432273750825004,gate
933,0.009430516380725118,message
374,0.009366241940191644,expensive
318,0.009357848683801073,every
20,0.009356887359981858,could
775,0.009331969895779446,experts
321,0.009289584463217038,vote
64,0.009244267340468015,world
970,0.00921551359484285,reject
143,0.009017467709777627,higher
231,0.009013654128746218,head
709,0.008988961906910342,wag
461,0.008852681126239048,highs
163,0.008842299862810599,daily
477,0.008795720707533983,yield
119,0.00874251034643203,brand
400,0.008680086577378177,ship
125,0.008618460372304737,warren
282,0.008603545857688522,might
386,0.00858556039456393,inside
552,0.008501765784624693,rout
776,0.00849510392967634,jamie
278,0.008454152068079868,chart
695,0.008446447894341569,makers
56,0.008285470403585515,want
740,0.008275608836595838,mix
731,0.008230207456136895,actually
718,0.008088131142413246,wake
30,0.008056592441476607,sales
97,0.007995993378152155,change
770,0.00797540804852681,guidance
595,0.00788015776996609,expectations
194,0.007801645301578786,public
52,0.0077288589078401415,watch
455,0.007693332959230359,self
409,0.0076883128994527095,party
124,0.007644110045175845,get
397,0.007642323765289616,david
922,0.007590035499239534,sue
451,0.007552745166447439,secret
573,0.007544600970006421,sense
540,0.007521895015597968,edge
964,0.007501823923826922,shouldn
433,0.007478206228945794,penney
708,0.00747175968374636,express
504,0.007455200855656541,sachs
813,0.007410397932542612,hang
406,0.007365796658814983,alibaba
947,0.007356006460121023,happy
611,0.0073540978896915465,russia
11,0.0073510933209373075,apple
329,0.007335569694351118,strong
670,0.007263606238150144,music
811,0.007222858183398184,touch
616,0.007209585359889248,tumble
131,0.00717979003557323,season
93,0.00715713376337912,down
128,0.007139733860695774,retailers
687,0.007067876664127448,broadsheet
107,0.007060442119198651,dollar
259,0.0070495374020251855,brexit
276,0.007028220904882199,worry
196,0.00699692305488564,despite
175,0.006995973576498837,founder
348,0.006952444467256624,hedge
802,0.00693376367967824,youtube
99,0.006900690162974454,power
783,0.006852602210500658,roll
836,0.006839860871318937,travel
782,0.006834407390938324,begin
534,0.006829675760738452,loss
995,0.0068154717724489,thank
612,0.006803473920376613,less
198,0.006785765052654158,digital
511,0.0066760812495128,lure
5,0.006654110246102629,stock
62,0.00663512223858409,back
760,0.0066236467944704724,rest
98,0.006590759325004081,cost
454,0.006582485296203533,agree
443,0.006568501858932763,stop
659,0.006531766064834077,hurt
554,0.006523251961101151,fortune
487,0.006516002913831587,space
771,0.0064980744029026205,across
10,0.006497015519800975,street
146,0.006492556902171431,foods
821,0.006476733810732771,coca
446,0.006473088985652131,food
950,0.006400897333966427,valuable
909,0.006328694660013401,winter
778,0.006228033668622679,among
434,0.006225906203671583,futures
604,0.00616417113869927,cigna
713,0.006131517590307389,package
169,0.006086398442979979,save
777,0.006081293146616096,valuation
824,0.006077532190330137,disrupt
766,0.006035987553722366,upgrade
510,0.005968469688173883,snap
182,0.005932600574673819,investor
339,0.005929300437527152,forecast
114,0.0058623251432448065,alphabet
65,0.005854858035405197,million
692,0.005780661296092893,federal
141,0.005774652114281853,fall
928,0.005735922952503358,groceries
343,0.005722507243886454,three
313,0.0057121820563934556,reveal
337,0.005664647214002061,case
805,0.005641674853882117,attack
597,0.005639848357843702,different
63,0.005627946344110013,rise
277,0.0055909222017265225,europe
373,0.005590171348977879,general
480,0.005577919980755519,manager
953,0.005566557645888759,software
178,0.005555625634101613,expect
939,0.005553607658111082,limit
630,0.005532787900924818,iran
807,0.005508097519689059,end
830,0.005458957771682815,advertise
46,0.005449419555064949,online
849,0.005442555895109669,obamacare
377,0.005419538427033466,canadian
757,0.005408202195914313,base
546,0.005402306734330065,set
113,0.005373933376208839,analyst
935,0.005368280298581496,raceahead
535,0.005368117837821984,bounce
233,0.005366499839719152,would
499,0.005332794375204397,korea
132,0.0053323355242993475,tesla
689,0.0053172552242986,history
932,0.005293835548611181,view
392,0.005278677308097057,economic
261,0.005199268436009374,worst
566,0.005151608370278726,promise
903,0.0051510910616376915,turkey
508,0.005141188348884995,startup
151,0.005133707218246686,asia
267,0.0051173522867871135,bitcoin
51,0.0050941713286836166,fund
12,0.005087109029236592,trump
34,0.005075812787957545,sell
47,0.005022590228116908,report
26,0.005018007177579831,business
994,0.005012897552063578,traffic
584,0.005003938740060887,union
368,0.004964307728492878,washington
971,0.004958769054405954,trip
110,0.004946099573088336,chinese
820,0.004938110989964883,put
667,0.00492839648906318,compute
592,0.004923480760935739,broadcom
172,0.004882897274451237,office
60,0.004868253621458152,prime
1,0.004866146559831641,index
496,0.004844882719345245,members
706,0.004815674726512675,buyers
717,0.004802443759421626,road
214,0.004800831236863257,chip
711,0.004782653164959294,bear
370,0.004761488024307647,fast
147,0.004743127301403582,delivery
537,0.004708942612771105,announce
76,0.0046776513949426946,premarket
264,0.0046242951689665635,echo
572,0.004617089949083164,brace
365,0.0046064264153378165,sear
955,0.004603437677813904,closer
156,0.004587265817752151,good
40,0.004576406711062075,take
530,0.004561686805218956,shoppers
425,0.004554636644334309,search
462,0.00454446195082836,democrats
867,0.004542914577867041,plastic
923,0.0045367313175532775,cold
914,0.004530015162492962,platform
289,0.004481532203196803,uber
892,0.004459821294878985,baby
447,0.004448113733092729,oracle
752,0.004447532254205244,faang
418,0.00442640408904782,fail
866,0.004413840693444415,settle
266,0.004366430545994948,stake
606,0.004359834009416641,train
664,0.004341482180049816,steal
100,0.004321553372820697,see
716,0.00430789420886768,macron
310,0.00429648164709473,millennials
353,0.004284291429530462,security
774,0.004230328616771972,below
624,0.004183113890709134,avoid
873,0.004175856508245701,stanley
593,0.004162033027827583,trader
95,0.004148127703553994,boost
350,0.004137746994613778,use
823,0.0041369842533725,chance
243,0.004125102390420521,rival
506,0.004116588590424852,iphone
847,0.004078497884995036,mobile
993,0.004069775958962962,squawk
312,0.004045731265972963,success
190,0.004034837889446585,japan
698,0.004020931047355569,system
703,0.004009148259479067,prepare
184,0.0039941219141022,right
826,0.0039819926441633235,sprint
680,0.003978446882652031,increase
991,0.0039683195356612355,empire
483,0.003963125268387824,shoot
590,0.003922668817980757,slow
642,0.003884456695761207,brainstorm
122,0.003877138317976092,fight
902,0.0038702076830097187,night
378,0.003845830124684646,morgan
920,0.0038404343843581046,pause
489,0.0038126297661114084,downgrade
317,0.0037893000314925818,news
280,0.003781982774800463,technology
609,0.0037599787621240832,nearly
529,0.0037496505696286153,flipkart
917,0.003739134592451343,weak
638,0.0037096566476544357,dell
525,0.003692211458854233,shortage
410,0.003662419739772327,cars
394,0.003658729144105477,others
179,0.003596811890670182,chief
890,0.00357653167968075,forget
840,0.0035467489511518124,shake
422,0.003539273163341239,billionaire
