,MI_Values,target_group
87,0.04048641700729583,retailer
254,0.03452600541269257,chain
144,0.02966307054761086,retail
50,0.02561598600817483,store
358,0.023930975284470746,worth
408,0.021473775280747898,item
685,0.019911586283455796,premium
436,0.019088941017660233,election
933,0.017586416973016883,one
24,0.01704835543371863,sale
512,0.016935726168853193,shopper
163,0.016412932852534645,become
69,0.016263330488080374,dont
613,0.016239652395833026,soon
224,0.016120689914212116,day
60,0.01593245532490495,country
239,0.01583417565933365,concern
694,0.015410559767706777,allow
879,0.015105457723529225,changed
925,0.014983266629944092,provides
692,0.01461397443648571,standard
266,0.014561442948659131,bond
491,0.014534792052281142,together
117,0.014487768751913599,economy
766,0.014472417202459509,wanted
245,0.014404877071864108,ecommerce
532,0.014324979660922388,everything
841,0.014272230950390874,silicon
7,0.014266056121885695,business
985,0.014244150054002258,police
135,0.01423128209995217,policy
665,0.014021901215040877,held
100,0.013772570196867617,should
328,0.013725653430182616,away
918,0.013627191800609673,receive
72,0.013585756413567296,plan
168,0.013408098540814484,expected
662,0.013229360532530654,reach
614,0.013206099483445088,partnership
197,0.012953961477033094,model
971,0.012882390108069242,ground
745,0.012737689869490865,sense
657,0.012717459691984345,particularly
731,0.012656834720091492,hundred
465,0.01254043236020097,clear
104,0.01248364653737899,earnings
911,0.012461182884188293,brought
77,0.012411504218060143,rate
759,0.012389012711756964,valley
297,0.012363610848152629,getting
449,0.012354781540791393,website
264,0.012296011279671726,national
750,0.012085968746976539,moment
678,0.011923141537147242,goldman
92,0.011841795293783042,global
770,0.011776226532497436,talking
360,0.011698466333837088,isnt
82,0.011613080210406634,know
52,0.011551515066470897,customer
792,0.01154417598952362,beat
337,0.011477528510025481,book
303,0.01143783015049804,effort
923,0.011380822872442131,paper
109,0.011373775177315304,recent
373,0.011364167169784167,matter
501,0.011347620307661677,figure
179,0.011264245766898773,office
791,0.011206245178165597,nothing
821,0.01119623316559415,continued
89,0.011079907961962343,made
577,0.011055449196804013,hope
191,0.011027646752640008,reported
149,0.01096421959616789,among
833,0.010728009937085448,worry
301,0.01072608593964941,control
64,0.010688223131274821,trade
929,0.010590358575900183,channel
554,0.01042110735305557,room
536,0.010405688140834979,history
26,0.010368836576291063,china
103,0.010349910883385771,point
61,0.010319775934732656,investment
883,0.01028159929400041,dozen
321,0.010260802579106887,fell
386,0.010214409961356363,canada
733,0.010174634197037236,newsletter
473,0.010162190298240725,foreign
380,0.010096656394994241,coming
260,0.0100604017508239,international
10,0.010033628431374675,time
487,0.009999627122701193,way
177,0.009929598200898893,though
828,0.009903681843489442,pretty
782,0.009894902227697955,else
73,0.00985896291198296,need
78,0.009746828223659021,online
405,0.009733299894054914,founder
787,0.009698138616168528,go
701,0.009690809697858738,estate
86,0.00968158349979742,fund
201,0.009656769648159313,benefit
564,0.009634320383239414,increasingly
284,0.009628912965280012,leader
392,0.00962831879773618,currency
575,0.009598976530195591,grocery
816,0.009511553649249382,follow
389,0.0094394080920579,forecast
669,0.009388394742120498,regulator
646,0.00936460137044337,moving
278,0.009325840397282459,seen
663,0.00931221850840025,disney
366,0.009273406737603684,rising
493,0.009194427246676629,contract
884,0.009075385691696303,respond
549,0.008914872479799607,card
151,0.008840372118182893,every
351,0.008821690828649809,startup
322,0.008765263077153751,based
996,0.00876339656045455,jones
907,0.008736631478230672,highest
376,0.008731304274671281,bill
574,0.008654883416985282,especially
207,0.00865084068529054,management
756,0.008594304809764308,saudi
608,0.00857446735570555,ability
683,0.008525775841013106,night
578,0.008515072902793408,intelligence
37,0.00850995112803754,product
598,0.008502009330548788,series
146,0.008493120286466871,might
862,0.00845275616973562,culture
159,0.008446127420068228,risk
991,0.00843703206661539,skill
734,0.008429254906637595,vote
904,0.008358923239290661,consider
690,0.00831123657580024,organization
38,0.008286057046652973,deal
143,0.008264508895926115,show
230,0.00820128348208593,member
140,0.00813088636196313,mean
20,0.008105692469867698,investor
323,0.008094335913709783,political
625,0.008086615749993031,journal
998,0.008064612542897143,sport
673,0.008011555761028077,additional
108,0.007984838799610205,public
59,0.00795583805890998,government
736,0.007938272212807407,commission
353,0.007895947672746928,trying
755,0.007859333541634372,authority
367,0.00783270518803314,cant
228,0.007784070141961585,official
699,0.0077746444999027275,running
115,0.007723930211886554,dollar
283,0.007594290223744249,offering
797,0.007554266894561179,design
3,0.007513218999161131,amazon
780,0.007489742885875339,expand
105,0.007456420997858926,quarter
290,0.007450428121766439,europe
138,0.007444577583432421,food
978,0.00743306505915764,rally
167,0.007428208096177835,research
56,0.007422367367707627,good
856,0.007383957905120475,grew
715,0.007382372970954121,survey
30,0.007366217925366847,think
637,0.007353212793022701,arent
563,0.007352211305033496,margin
679,0.0073419599344335396,difficult
818,0.0073182985694772995,get
326,0.007290872084752653,record
357,0.007244121104279078,free
558,0.007212045739734885,step
693,0.007195693231001554,expert
777,0.0071866237403914734,multiple
484,0.007169031770085654,bought
587,0.0071652196573193105,fear
34,0.007157634808491187,even
555,0.007134000363975934,huge
398,0.007125450730817162,acquisition
975,0.007080416094889186,author
596,0.007078286366882125,grow
173,0.00706747558950549,problem
788,0.007055364009828091,echo
838,0.0070192104800606,form
870,0.006967589676289521,largely
120,0.006932005334175484,long
928,0.006917043577233439,combined
456,0.006916598032856935,finance
467,0.0068847846952933,fall
247,0.006853264678519766,talk
931,0.006850901259349174,battle
786,0.006805313106607924,wealth
611,0.006782479146166143,region
528,0.006761508234447655,done
461,0.006716818654413759,purchase
936,0.006634540445419779,seeing
989,0.006626732452432504,specific
240,0.006596853881724041,working
