,MI_Values,target_group
385,0.01860480336071979,plunge
29,0.01779607835577046,biggest
91,0.016625489407839034,real
214,0.016290584732944424,exec
332,0.015593825407288486,spending
994,0.015526861075590315,room
997,0.0150253003132641,volatile
123,0.014673251486478689,tesla
441,0.014646250716565445,streak
174,0.014558586973222765,crisis
175,0.014160430649579281,japan
115,0.014159027032939697,brand
322,0.013900981874821472,bull
65,0.013860917150560148,fund
711,0.013641647560464376,changing
314,0.013624531996716982,case
117,0.013507601891841192,rate
871,0.013144406181248458,alone
330,0.01303247101604077,commerce
631,0.0129109621193777,hire
12,0.012806990364775839,trump
303,0.012715060822271473,election
317,0.012612187042659428,three
34,0.012389648771788941,plan
282,0.012250346655035882,wage
259,0.012103420203221305,coming
850,0.012098765943511891,enough
784,0.012043956999064243,republican
338,0.011987132060980565,energy
127,0.011939355523909567,consumer
729,0.011882645348560983,sport
881,0.011866892390277606,try
674,0.011778407378705946,create
209,0.011736915357867472,wrong
973,0.011650887068599847,purchase
444,0.011647702595539933,lower
97,0.011637947501091706,help
336,0.011595307943614408,school
14,0.011545595748242876,walmart
350,0.011427800255594311,family
684,0.011418620099096444,heavy
327,0.011234674321554339,elon
825,0.011122349292306932,shake
164,0.010757215997571956,technology
294,0.01066868077696137,watcher
517,0.01065761788052999,aren
630,0.010565392410069485,project
562,0.010453460073536647,social
137,0.010369061876046137,job
572,0.010343296650329181,miss
410,0.010310101262654747,user
720,0.010257863072831608,letter
931,0.01022325069985719,happy
635,0.010130413902784019,platform
677,0.01003326006158134,pick
316,0.009997724731151791,venture
352,0.009964800318968736,war
171,0.00993124325996142,product
329,0.00992393176785522,toy
479,0.009917186558974445,aim
218,0.00980015062747941,zuckerberg
412,0.009551663793147647,name
761,0.009432765452216607,file
937,0.009335430863231187,valuable
361,0.009316123328787285,emerging
49,0.009267774516053429,cloud
851,0.009148722988719937,france
220,0.009082191234845771,rule
842,0.00904888748291266,wave
109,0.009029560028320782,talk
22,0.00895465240414417,could
724,0.008926622206547163,nvidia
530,0.008911242223865079,privacy
818,0.008881514758906306,whether
185,0.00885372060507228,launch
472,0.00884103751219012,partner
132,0.00883667940061672,last
749,0.008737726027129744,trudeau
909,0.008680704468265521,regulator
774,0.00865382582099028,africa
107,0.008639537375853434,giant
384,0.00853117735306208,congress
260,0.008414106837947521,investing
1,0.008410973488620854,index
477,0.008405031162563859,model
693,0.008330060907116188,huawei
792,0.00832121067031899,argentina
618,0.008218084907603673,reveals
73,0.00820877730476055,food
135,0.008187456230772883,find
968,0.008156403646019994,expands
158,0.008143292453054896,grocery
872,0.00811683560255827,german
670,0.008113339245954698,increase
180,0.008100109851455262,public
680,0.008069851098299718,spend
971,0.00806897358905978,overseas
926,0.00803764786922101,senator
53,0.008022200856609762,open
763,0.008014484114626352,pledge
935,0.007957917123833758,ground
388,0.007952019192904114,building
941,0.007944539220942959,homeless
947,0.007874490217608443,beating
731,0.00785061551974553,summer
616,0.007842910758959709,boeing
903,0.007841456350724751,pause
507,0.007813602254841845,early
560,0.00778906006604374,threatens
829,0.007717681359100892,struggle
830,0.0076772881774822554,studio
400,0.007669195933565076,hour
722,0.007663619306204517,rebound
451,0.007662517522809331,crypto
592,0.007634964898946217,buyer
163,0.007563132799701888,much
418,0.00744904058962037,worry
334,0.007425567111325915,claim
687,0.0074100635124147995,federal
139,0.007386606136164264,goldman
512,0.00735195538772726,bell
64,0.0073519424662387145,next
596,0.007308812530264941,loom
959,0.007297599074930439,transport
198,0.007270032347903577,merger
863,0.007216729934325761,powerful
191,0.0072120010793474965,trillion
124,0.00717226399283577,quarter
629,0.0071030697940484,buy
890,0.007072111799763414,struggling
147,0.007046756662811182,power
954,0.006956242006612046,sink
555,0.0069364315236355445,half
286,0.006927570592956345,since
324,0.00687491506472826,mean
719,0.006852619160512496,speed
655,0.0067414263873213365,headquarters
855,0.006732631723394222,creates
296,0.006690702460626641,success
940,0.0066645432890950485,attack
183,0.006644482250014461,despite
817,0.006633517178709525,nine
300,0.006607184793338883,news
864,0.0065991257095308065,missing
793,0.006577998606573043,center
610,0.0065413714061572925,estimate
43,0.0064567994021496045,high
600,0.006444161891977052,le
980,0.0063808660814874685,empire
289,0.006352934773306451,aetna
573,0.006339609486210485,cryptocurrency
68,0.006327567295377312,analyst
421,0.00632557769010389,ride
140,0.006305024709713392,work
312,0.006303796609378853,maker
675,0.00630261284056699,exit
945,0.0062999531177960755,important
979,0.0062476598152465534,calling
427,0.0062266719735235565,rich
537,0.006220106959579308,tweet
311,0.006219841238885859,build
26,0.006189643049222315,journal
471,0.006175269382947546,way
815,0.0061053340419992,reading
195,0.006076805894145387,drug
612,0.006071571891755667,soar
346,0.006026368611118826,washington
188,0.006011399940252238,point
267,0.006007975825128575,life
589,0.0059860554740369665,stay
468,0.005977931575377182,artificial
976,0.005973035441509067,armour
554,0.005938299101260647,homepod
442,0.005862792424499164,kid
379,0.005849626387295359,voice
972,0.00583554426519739,airbus
319,0.005827191776407226,without
752,0.005822007497793935,fire
473,0.005820360861308549,yield
775,0.005812173118832975,bubble
237,0.005754383810468555,round
280,0.005752150001808065,government
250,0.005747667096014375,result
748,0.005745103571728194,set
910,0.005738703013615787,cold
89,0.005721015709015065,good
922,0.0056969671095978835,sharing
643,0.005695205876118603,outlook
460,0.005692565693820706,asian
800,0.005677876833942497,grip
179,0.005658212774600324,value
60,0.005635016465678877,netflix
837,0.00562082577542844,control
728,0.005620797690141455,warning
832,0.005619109112037224,mobile
483,0.00560291971009419,space
585,0.00555086429596785,different
225,0.005548685823613786,see
315,0.005533181660074993,double
609,0.0054933460828392455,doesn
75,0.005453945827311513,care
463,0.005401948121070088,probe
943,0.0053998796093890356,audio
224,0.00539473446075478,remix
977,0.005374708938078454,jumped
405,0.00537056861387275,party
413,0.0053436253544780765,bigger
409,0.00532769383391285,many
884,0.005305184642192318,training
760,0.005296253686337682,deutsche
882,0.005288066161337035,titan
272,0.005245775349287163,third
7,0.005221708148116289,market
960,0.005217255975501267,bonus
189,0.005167312062711371,medium
364,0.005144771053390951,expand
946,0.005123399142024976,metric
25,0.005099728764299538,sale
356,0.0050698413574110646,secret
207,0.0050560767167919796,robot
823,0.005053981107957961,lawmaker
934,0.005050337064645083,stream
456,0.005016665282909116,top
801,0.004900806426866744,conversation
887,0.004898552545853363,possible
735,0.004893136744860804,cheap
967,0.004884026270999708,well
21,0.00487475720225361,business
492,0.004872934579483568,stop
906,0.004840405158790473,split
212,0.004781917679411274,threat
19,0.00477562205748594,trade
484,0.004745420397225475,issue
783,0.004735737084124558,midterm
925,0.004640245787250308,comment
396,0.004633899298552624,continues
426,0.0046300573137363354,saudi
203,0.004612889060533254,revenue
988,0.004608102555279547,excerpt
566,0.004600211290102907,fedex
734,0.0045654741283445155,perk
211,0.004550052654991088,return
487,0.004536068604328536,step
895,0.004531334057916947,tsla
453,0.0045299831916234545,jpmorgan
911,0.004510957809295224,university
369,0.004481419880627557,chain
681,0.004420315734521729,history
833,0.004405137494076561,relationship
889,0.004401920189408104,bottom
509,0.004385213552454914,tap
136,0.0043755578515345395,going
434,0.004348447563814917,mall
90,0.004327120904012105,keep
993,0.00430286322474549,able
571,0.004286134479647208,correction
488,0.004271614369842025,parent
480,0.004270437934180027,twitter
628,0.004249317312948309,light
620,0.00420234664452801,north
308,0.004172361260859958,star
93,0.0041611890902140125,week
568,0.004155556703564933,kevin
565,0.00414532617062191,estate
95,0.004120150402458167,cost
146,0.00410843134244443,office
145,0.004074096455549681,offer
814,0.0040693805462153065,property
776,0.004053664274818569,treasury
696,0.003965677039376558,town
392,0.003960689592203304,chairman
35,0.003938962459630657,bezos
373,0.003926734759991168,democrat
647,0.0039049236415391597,four
445,0.003880472930203549,getting
964,0.0038613056206573404,regret
840,0.003782663686963339,management
608,0.003766321541995188,join
382,0.0037530798442984015,finally
978,0.0037193383430471627,labor
310,0.0037084071171493704,dimon
113,0.0037033435989031194,gain
770,0.0037033129956987043,bought
658,0.003674781866249477,computing
167,0.0036674829270029186,bond
307,0.003656305374181601,strong
450,0.003650793295245869,airline
974,0.0036494461133278477,advertiser
553,0.003618288410246251,reach
848,0.0036117061911002946,london
102,0.00360877764426748,against
527,0.0035877131845774013,central
152,0.003567978815060213,fang
435,0.003556626800613527,opportunity
283,0.0035436960780210747,canadian
157,0.0035433253989700653,post
745,0.003541834774276831,grow
