,MI_Values,target_group
324,0.02682714346319348,retailer
3610,0.025353709003538727,milestone
23,0.02525895335314976,sales
100,0.024332219227657603,stores
1203,0.02157734758761043,facing
8618,0.021388296649676564,takeaway
120,0.021296203982922313,retail
9801,0.021226526208996788,cinemas
1971,0.02108096291902606,ending
5907,0.02090507256940133,ceiling
518,0.020783994459197652,shoppers
4379,0.02068484689832384,uncomfortable
75,0.020234295957095583,best
453,0.020187284878867562,items
4095,0.020091902966923314,fundraising
221,0.020071225611800525,ecommerce
4590,0.01999390446639393,false
3979,0.019992024878788817,kick
2452,0.019982235177104624,wealthy
8310,0.019544876188496207,vanity
1578,0.019457779146884624,coffee
366,0.019304156582554244,brand
819,0.018888833347180167,takes
1977,0.018765249310016996,status
3737,0.018734649660869795,awarded
5661,0.0186783598231135,visas
6043,0.0186309199069441,reelection
4127,0.01858566055110611,reflecting
292,0.01847100108193711,white
127,0.018365965869923784,retailers
1897,0.018323008661371487,hearing
6702,0.01830935417043178,chen
5541,0.018280951594208172,xbox
8754,0.018249977649379856,scrx
2104,0.018146331745454658,ecosystem
47,0.01808427240408106,online
9219,0.01792615670380493,endorsements
248,0.017866136007983036,risk
1822,0.017808717992058076,prospects
6084,0.017754547411969135,objects
5312,0.01767245798120065,oracles
4066,0.017640907834486796,odds
4288,0.017567891061523788,triggered
8514,0.017497049958524746,vineyards
3840,0.01749113328672669,discrimination
3087,0.0174691021412976,revolution
3871,0.01736006982953553,reiterated
3678,0.017229279652655194,utility
4304,0.017202130266761317,duty
4963,0.017116383093569665,explanation
5452,0.01711024963408625,provinces
5338,0.0169733226882145,suits
6711,0.01693294576724469,jointly
8010,0.016876091444926633,accidents
685,0.016822471888885415,estate
9550,0.01676364062422575,independents
9235,0.016703431313683348,rupees
6057,0.016688420729966014,unhappy
923,0.016664597735408737,seeing
102,0.016614426509155233,told
2057,0.016608511069193144,beating
1636,0.01657975869312467,inventory
4551,0.01651021772540351,watches
1953,0.0164872647817893,airline
2852,0.016457970205244088,unable
5582,0.016437583812847434,gilder
6188,0.016416946750994033,sooner
336,0.016388208141648652,ever
3545,0.016382581418298736,benefited
4069,0.016347803002557892,thoughts
618,0.01630737905823132,young
2265,0.01628498810980039,capabilities
1797,0.016188445353933822,summit
3150,0.016162744216655867,document
7962,0.016106383256833556,scaling
4571,0.016091616504851247,youth
6840,0.016051423599934278,ondemand
5313,0.016038285669838226,bolsonaro
4713,0.016021389664289565,crossborder
520,0.016010483758047922,court
4482,0.016001174428619258,transfers
7220,0.01596415360174297,refers
4946,0.015933441525265657,stunning
1602,0.01587310640988715,happens
1604,0.01584707371735461,bell
3539,0.01584611955798243,buyout
4236,0.015767754334245376,deemed
8006,0.01576569928194327,stitch
51,0.01570358331892807,world
5887,0.01565101530854096,loose
8189,0.015643523509872415,symbolic
422,0.015612500388919148,rose
5026,0.015578372130114815,proposition
5423,0.015577926029210376,sizes
7315,0.015572384209975976,squad
5701,0.015548264556715985,pills
6328,0.015481113260435553,pump
2832,0.015422220759614413,adults
1253,0.015393769318738926,concerned
3262,0.015333537951198739,pillpack
6636,0.015333245048146704,busiest
611,0.015316704315619711,returns
6813,0.015313946499413866,investigated
7187,0.015307459852633709,politico
1552,0.015251063618990202,appeal
9572,0.015245708148324377,mansion
4086,0.015193905086950288,adjust
578,0.015140974386838257,apples
122,0.015109567557059167,every
6873,0.015072242506649403,lenny
7541,0.015029107260529306,battling
9405,0.0150108575078296,performances
7999,0.014996164766890363,cefc
1575,0.014988163765270013,stage
5021,0.01498621488848495,allocation
6562,0.01498533781307776,weakerthanexpected
7991,0.014974564496157416,klepierre
9825,0.014916419722324381,dearth
2,0.014910378711008088,company
258,0.01490259016340234,getting
7056,0.014897654566253582,leaning
3682,0.014895755364955798,armour
1302,0.014892808422519721,apparel
3540,0.014879339366997035,gamble
9869,0.014839338931911916,sharks
7077,0.014822767445573426,capitalists
549,0.014792378029535147,acquisition
5659,0.014756999335663767,puerto
5199,0.014740852132913984,anonymity
173,0.01473969738111558,store
8035,0.014728863803225689,peaks
4039,0.014712093711941154,celebrate
6186,0.014630235656219348,censorship
9749,0.014621897707290499,dignity
7371,0.014575729233150092,uncovered
6271,0.014567878395192357,evolved
2588,0.014555006866647346,cast
4090,0.01454318789629605,behemoth
7377,0.01453432880713934,meditation
846,0.014522084980209682,simply
8993,0.014515145476051927,portions
4742,0.014486863704559871,analyze
343,0.014479375766635938,trumps
5702,0.014390241745578791,avoiding
5768,0.014372615205422434,dean
6192,0.014343670462151348,aligned
9526,0.01431930715302876,malik
2904,0.014290428087851303,sudden
7257,0.014289773848165988,sundays
9217,0.014239201147042913,belong
2810,0.014206979817849241,exciting
7299,0.014185830575209168,revolutionary
1595,0.01417630662512459,inbox
5848,0.014176209840166987,limiting
9734,0.014170762717448548,28yearold
9015,0.01415722404398334,vaccine
590,0.014150343718135838,range
3111,0.014139583250333487,grocers
7150,0.014102296873413467,cooperative
4025,0.014086463223313972,paytm
291,0.014082565969342875,always
5657,0.014073303730291586,commercials
880,0.014057271863519682,card
9438,0.014039651656287955,resemble
6945,0.014033330201388639,antonio
5107,0.014028876429861281,insists
2013,0.014011848420657724,rapidly
8949,0.013974561327522839,baltimore
1615,0.013960701725385105,discounts
9696,0.01395549295226406,doerr
3474,0.013951572493113629,stress
8912,0.013936795992860684,extraordinarily
3522,0.013912992288132475,reveal
6692,0.013911723106305729,calculate
9576,0.013895986761825352,airplanes
9083,0.013892327318235642,18th
1056,0.013860922908160767,independent
6326,0.013836913745606028,confront
6629,0.013798927910639858,hindsight
413,0.013771615174118068,investments
2869,0.013738775901221079,prescription
7452,0.013725329648110796,enduring
5062,0.013679985953630291,closest
6269,0.0136699600301049,imply
4541,0.013638854229989006,plunge
8750,0.013638070317409934,razak
9352,0.013634380141610336,complacent
2836,0.013595819952604726,dutch
6773,0.013547849552722147,installation
8346,0.013516934431870187,alexapowered
4266,0.013495569308778377,fantastic
5406,0.013477585080665433,angela
1530,0.01342303108607168,presidents
4882,0.013420612948561672,assumption
4249,0.013359187237686365,impacted
9638,0.013299077787561675,gnrale
9014,0.013294350516421805,descent
619,0.013291122279313727,fortune
2345,0.013282888832236717,topped
7416,0.013272324644390876,smallcap
1293,0.013252803699673521,print
2976,0.013252595997096828,broadcom
6741,0.013210110589321866,converted
2196,0.013197373265136703,studios
4166,0.013194565913293044,announcements
7632,0.013190187162103628,labeled
7075,0.013180596090892838,iranian
9311,0.013162816714101133,illicit
925,0.01315321194838548,securities
1265,0.013144930701665114,airlines
4299,0.013136457233517085,command
6507,0.013101407528877562,tapping
4074,0.013085532802439737,approached
4789,0.013044098149888272,expands
8992,0.013043026430030968,mammoth
3462,0.013042086479473358,attend
2160,0.01303229131704553,flight
4192,0.013027479155798716,dipped
842,0.013015445916612078,reached
2163,0.013005782403588295,bubble
4988,0.012989449208338,spike
133,0.012985060327145304,theres
1880,0.012976703859689298,autonomous
7472,0.012968618171260271,minimize
1184,0.012959138615737054,posted
6274,0.012955178657746202,themes
6301,0.012940727188443413,panasonic
6532,0.012932793546780452,waited
1643,0.012925841666002746,starbucks
8654,0.012904942366217531,authentic
534,0.012900997462295338,live
4545,0.012897557362439915,strict
2640,0.012876212752708005,minority
8609,0.012874025383587284,spat
98,0.012870495076973576,right
3769,0.012859045397835223,painful
1319,0.012849252855557047,fears
3388,0.012831493060884158,downside
4699,0.012816433310446573,overcome
5351,0.012798341682715542,blocking
1869,0.012792315880096883,throughout
2070,0.012791165946017147,documents
8129,0.012788345804428225,logged
2298,0.012784684697221271,impossible
7795,0.012761514593894185,sensor
2444,0.012748346231433061,degree
7744,0.012744487994305942,splitting
6832,0.012737408431752195,cornell
3370,0.012736291276998601,bunch
8594,0.01272992990548949,kantar
8143,0.012722073096653297,goto
8725,0.012711013597035858,quip
5051,0.012698578799857918,sainsburys
3425,0.01269443737304865,kingdom
5600,0.012690458492776946,prospective
5626,0.012690367400146618,taste
9152,0.01267937605894609,luggage
6219,0.012677893844929455,identities
2837,0.01267663623248727,artists
3694,0.012670033011204618,bags
2613,0.012642668174332128,samestore
9531,0.012636368680087662,ranged
3941,0.012627887138327631,youd
6306,0.012605609403282925,blunt
3504,0.012599964506637251,prompting
8023,0.012591217175304426,crashed
8908,0.012587169668586862,empower
8133,0.012578107334694888,shaped
8650,0.012577731846308726,object
8408,0.012577279890401138,deflation
3632,0.012544656692910827,sits
2220,0.012525623377157347,exchanges
9230,0.012518671522040226,heft
4126,0.012516038950433517,goldmans
7337,0.012513687002750684,evil
1181,0.012513354715283143,weekend
216,0.012509778402949756,almost
6521,0.012505159440495461,cyclical
9244,0.012500833472478323,aisle
2344,0.012497000117596357,apart
29,0.012495555595579466,since
7755,0.012483264571778285,bolstering
5986,0.012481221325641334,obstacles
4840,0.012471325649069609,appeals
4008,0.012460364384972333,offensive
3164,0.012449549195333143,serves
9737,0.012445221025157993,contributes
4999,0.012403105148740101,custom
5605,0.012397805006194584,paperwork
8969,0.012389010005389833,pinch
190,0.012385096911611937,great
2443,0.01238388597934259,europes
7580,0.012371240639193593,oped
1431,0.012355899571213635,prior
9184,0.01233768812809255,singled
200,0.012334245555739587,general
8890,0.01233310935018439,russians
6882,0.01232467088935496,metropolitan
443,0.012305095507600727,probably
8359,0.012292133926126825,raymond
5421,0.012288586446487448,discounters
2258,0.012273910005350386,studio
2093,0.012272118636062146,doubled
7327,0.012258981249032797,boat
8812,0.012241689215966467,baked
1463,0.012233344895622889,interested
3056,0.012230038652860653,skill
5224,0.012215656641434647,troubles
7348,0.012178650893813758,inflated
7628,0.012169429630356277,catering
8983,0.01215964172218098,stating
2745,0.012151960960172126,developments
8166,0.012148712196264233,grasp
7260,0.012147275991255979,meeks
1763,0.01212285396012236,island
2968,0.012110082013091938,slowly
4182,0.012108332624078066,eligible
165,0.012098688560197468,consumer
7653,0.012094431795131255,episodes
7752,0.012090223807513123,nominations
8679,0.012087856000495778,accuracy
7332,0.01204991040493053,slows
283,0.012046074509773907,department
894,0.012008572096362524,yields
5029,0.012007105833517606,contacted
1134,0.01198560078111277,noted
7310,0.01197288744647751,signaled
1443,0.01197094735233617,editor
8413,0.011963660069477688,visions
2023,0.011961246654022872,weaker
7319,0.011961140949264815,experiments
3502,0.011955597537889329,dramatic
687,0.011939317013005546,forecast
108,0.011932965985251842,economic
9193,0.011932829069608575,nflx
4990,0.011932360872842551,doubts
201,0.01193027979507466,brands
8082,0.011929355381753437,repurchase
6392,0.011926795221161024,merit
3032,0.011906397457232876,destination
5620,0.011904162867218071,slim
4169,0.011901395328621556,proof
565,0.011898158598352415,maker
8405,0.011887695726535252,authers
2708,0.01186267743300884,tree
8708,0.011814871235488855,peachy
1092,0.011797930020186032,wouldnt
6981,0.011792027515352244,logs
2296,0.011788128192623759,useful
3587,0.011785538352084401,reliable
7970,0.011772373435613437,200bn
6929,0.011753703819437522,stakeholders
3291,0.011752684177590789,headed
345,0.011744592882563465,level
9666,0.011743567548560208,anticorruption
2374,0.011741302211127458,dominate
4801,0.011739394827510408,situations
8892,0.011737600259420056,eats
7657,0.011729280704051659,trio
4193,0.011715861411056405,strengthen
8621,0.011711086685820549,discriminate
3747,0.011697631679815634,combine
5246,0.011693780318758673,calculation
5113,0.011679804501271818,drugmaker
7895,0.011677404664690139,fragmented
6230,0.011667000541994987,doordash
4332,0.011652691632868972,chef
7899,0.011651485830308728,midwest
1574,0.011647486542330387,channel
2278,0.011630282300869377,therefore
1027,0.011628095078178413,learning
8377,0.011609034004795182,glad
1504,0.011600434177885921,electronics
6487,0.011599112065897366,description
166,0.011594480894607129,reported
7440,0.011593727163131895,redesigned
5102,0.011565420962835748,brooklyn
4629,0.011543139381523293,understood
2122,0.01153447037633426,watched
8174,0.01153187977942638,floridas
8168,0.011524240449416912,riskreward
7258,0.011523892012623715,systemic
5951,0.011520576072444388,adjustment
3864,0.011508411376490502,etsy
8625,0.011507711162090928,elect
777,0.011501753871696607,community
2851,0.011501743317585467,referring
6122,0.011501477784064296,sweden
6877,0.011500542376418732,montreal
752,0.011498055990295741,goes
4555,0.011493009693510192,massachusetts
3089,0.01146983268466939,trader
9205,0.011465889398001083,parscale
9098,0.011463073805432433,groundbreaking
4020,0.011454851991749226,distance
9143,0.011443139346951847,prioritize
8100,0.01143927261002764,reminded
5989,0.011424952476014827,forth
5633,0.011422673698364694,filling
8418,0.011422142686569936,seas
1920,0.011402490099875484,exposure
3086,0.011379025606008675,simon
6718,0.01137755212543956,macquarie
702,0.011376212843132505,thought
7222,0.011370545167851853,rein
5015,0.011368367094192644,recovered
2614,0.011362575416067555,hitting
9109,0.011336915593220143,chunks
562,0.011319903911533036,funding
4067,0.011312355538793062,drops
7292,0.011279687166822372,encrypted
74,0.011277153852711441,between
6529,0.011273369700684821,excessive
5257,0.01127260213236747,arrives
2516,0.011271707188105662,poll
1338,0.011271259543985002,cannot
7373,0.011260092461759408,greenfield
8554,0.011255231270028254,apologize
446,0.011253591321165324,opportunity
4754,0.011234258856526624,relied
254,0.011227445873324138,local
698,0.011217016683893188,effect
8629,0.011211841502339448,publicity
2971,0.011209941392479994,acknowledged
630,0.011198621542113596,sale
2961,0.011175320714564396,slide
9408,0.011167233763206053,mutually
3031,0.011164216375266323,recommendations
8260,0.011155633112682084,bailey
6220,0.011154740666121432,interactions
1771,0.01115427117451362,bull
2022,0.011127384140641183,teams
911,0.01112522572611252,concern
9566,0.011111208910477899,hinge
4227,0.011106917902425906,entities
4036,0.011103619717149682,produces
7866,0.011090904072861063,kors
5926,0.011081002515324734,trilliondollar
6907,0.011065824153069448,retention
2868,0.011064509572965342,drones
429,0.011060298511531563,ways
7582,0.011049189391057146,mandated
8834,0.011038737075129479,instability
2109,0.011033496884863991,territory
19,0.011027950830774458,first
3259,0.011026734322176823,rated
3706,0.01102606311281118,wish
2389,0.011019976063455506,agenda
1123,0.011014111355140743,class
3536,0.011008759339306451,aspects
3147,0.01100308633010405,airports
2973,0.010991311248109037,acquiring
3077,0.010989501953236225,corner
7586,0.010983834101437884,elaine
9524,0.010976791455127533,extremist
3837,0.010966117360577288,concentration
281,0.010965058072986533,away
7042,0.01096367965723144,plagued
9615,0.010959148445069289,gravity
9378,0.010958569608448654,defaulted
5698,0.010958410013645059,economically
5594,0.010957273262732325,slash
9454,0.010940925131314172,resonate
6457,0.01093899899828421,dance
9912,0.01091284275032045,alright
3402,0.0109127559722495,recommend
9307,0.010910231101763257,methodology
2065,0.010895360198561743,contrast
3489,0.010891038646106521,lists
7845,0.010886880898312246,abrupt
4796,0.010873844887484774,superior
5581,0.010870530683712243,keith
1684,0.010868753443145751,deliveries
6851,0.010866126488750627,correctly
1980,0.010864196453457708,scheduled
9355,0.010857666975702118,stones
5531,0.010851224227790723,securing
9283,0.010851180934938087,chandler
1485,0.010850647621195808,screen
463,0.01084951122367217,whose
560,0.010843511452349297,john
2515,0.010839497781695462,jersey
6333,0.010837920536511225,bang
1946,0.010823939857677267,mall
52,0.010818722441915618,thats
2330,0.010813027641495498,cancer
1640,0.010812911299078687,candidates
2407,0.010798318866474421,departure
1740,0.010797308603105238,sides
8852,0.010778063501911017,tilt
661,0.010764750871776085,yield
5807,0.010755088710974414,highspeed
7699,0.010746872642785732,gillian
1605,0.010744056854421258,pull
8398,0.010742604196904981,concentrate
1766,0.010737247995945998,teachers
1922,0.010735828752132415,lawyer
7361,0.010718999516590832,modeling
4445,0.010711854318696146,relies
2386,0.01070216130033752,21st
9789,0.010700872386352644,feng
347,0.010697299753717138,build
6917,0.010694448050399874,raytheon
1067,0.010678388217409518,assistant
6846,0.010671792499584498,carrefour
5335,0.010669729409009232,ledger
786,0.010664400457271794,basis
9677,0.010651988750077335,aviv
9200,0.010645856086686,chicos
8102,0.010645393279835602,quicker
398,0.010639615400403812,estimates
9478,0.010634229783963667,drugstores
1143,0.01063094398219211,sources
502,0.010630905672356583,period
3657,0.010627899054939771,recognized
7012,0.010623800681165863,impression
9537,0.010623430819389323,unaware
3358,0.010622046154746823,lowcost
3095,0.010619311736834947,briefly
7021,0.010617555289192504,foreignexchange
5124,0.010611216569055726,wiped
7652,0.010600896414474814,contagion
1521,0.010583072604770205,learned
2155,0.01057585218138346,nadella
5613,0.010575623553221947,muscle
8396,0.010564411114364791,recommending
1354,0.010554608688337241,adjusted
7402,0.010542133046257174,bolt
9282,0.010538696980811224,reliably
