,target_group
8,target
4,company
92,central
37,retailer
44,inflation
13,stores
26,bank
171,child
48,commerce
15,online
39,retailers
28,store
68,policy
583,economists
29,retail
59,delivery
76,shoppers
193,economic
389,monetary
1162,stimulus
6255,underperformed
9745,siphoning
7517,recycle
85,government
87,higher
6169,retained
5078,upgrading
1446,inbox
7969,calif
12,sales
6823,freeze
402,currency
3878,sorts
25,group
7104,iron
142,giant
61,rate
644,accounts
9499,vetting
4750,bruce
5501,ruble
112,rates
7276,grant
4581,deficits
2245,doors
2702,extent
114,chain
4253,participation
554,probably
383,raise
34,customers
443,offers
122,shopping
8012,ringing
365,experience
6573,preview
8797,assigned
6524,tard
6943,barring
5263,gennette
6456,tires
232,power
1633,restaurant
550,basis
4154,disrupting
3605,default
1428,straight
772,measures
3180,votes
1304,lending
2156,crew
9254,departures
2197,sensitive
5166,loses
3300,skill
458,mortar
9746,fruition
5406,chat
6083,coles
3968,ward
1275,gauge
4186,console
3809,siri
5635,conviction
1042,strength
9763,mohan
452,goal
689,crisis
341,known
5749,aapl
2175,relationships
2908,drew
2701,complicated
8457,columnist
1900,speaking
8181,gambling
7404,inefficient
3863,borders
4594,attempted
6025,divided
4603,forms
4222,corporation
110,recent
7950,intensity
5739,exporting
7122,sacred
3770,fundamentally
1065,regulators
9115,shower
1412,supermarkets
516,reports
6097,purposes
722,supermarket
7568,mixing
1370,parent
610,yield
2958,implications
1825,electricity
132,term
4764,streams
3456,mckenna
8982,swelled
7663,showdown
83,grocery
7123,erik
4163,harvard
9647,bnef
35,since
4567,vying
6457,greenback
3074,favour
6267,acted
4791,earnest
673,launch
5608,repair
5967,lavish
578,budget
310,assets
1459,instance
5133,spare
272,post
6718,accountability
514,exchange
8934,notorious
3563,guys
2181,visits
9958,extensively
909,either
7092,peeps
6455,najib
8030,propel
4151,theme
290,banks
6003,summers
8631,complicate
8851,workshop
2677,applied
6089,metrix
917,potentially
6027,pressed
2475,ends
2153,entirely
6937,impulse
2304,body
1828,practice
124,economy
8248,episodes
9394,kufpec
1757,crude
2113,reduction
4495,alike
8939,polk
2889,barrel
8641,natalie
639,bonds
4460,choosing
1367,partnerships
6939,mighty
9360,caucus
5950,experiencing
862,momentum
8780,beleaguered
159,dollar
6639,mired
8463,businessman
996,weak
237,space
7976,stocking
2538,soft
7692,loves
824,homes
585,traffic
3373,winter
1115,anti
6313,newcomers
2445,agreements
9807,gopal
5012,brett
8211,sourced
476,officials
502,domestic
3464,wife
560,decline
7269,limitations
1141,kept
1518,language
1444,tightening
4330,careful
8052,ally
161,digital
3437,suspect
6311,method
3937,application
3962,carried
2105,developments
8548,polling
9087,circulation
2885,structural
8175,fledgling
1630,cover
3320,enjoyed
8353,manufacture
1609,laws
8472,friction
8203,exceptional
4311,lockers
2540,touch
6209,sleeping
5665,ordinary
2177,type
6353,citizen
3790,watchers
7330,scientific
758,effort
2410,pilot
7355,unexplained
6813,seaburg
1526,harder
1768,lift
1264,output
9118,hoboken
5626,advises
8897,softer
138,reported
3508,homeless
7722,lining
4239,liberal
819,marketplace
4074,gartner
5497,indonesian
6577,arrives
3319,usat
887,delivered
1184,easing
3877,roberts
5397,lobbyist
150,private
66,high
5972,pricier
7851,fined
6326,outdated
9586,emblazoned
8891,furthermore
1160,deficit
435,funds
9939,perceptions
7304,dollarama
6781,terrorism
7060,resist
229,chinese
8461,premature
7913,tanquilut
4487,kate
3310,android
1894,replace
3287,democrat
5246,consent
972,commercial
2543,heading
4490,bulls
2232,prosecutors
1945,activities
78,financial
8285,nostalgia
384,site
794,decades
5741,explicit
2193,bills
8274,seasonally
3364,eliminate
869,britain
802,canadian
3381,developer
8256,rumored
6535,stocked
1373,attempt
6899,identifying
4672,signature
8818,complementary
7393,detection
8368,hawaii
2965,convinced
8757,searchlight
2634,file
4399,polls
878,appeared
5594,assumed
3163,drugmakers
5327,excitement
2656,bargain
8840,addison
4105,greece
3771,carriers
8670,ibbotson
2003,producers
6675,patterson
734,everything
9404,hawks
4251,jobless
8753,commercials
8230,hutchison
4082,doorstep
9515,superstore
6922,obtaining
7706,attached
2614,parcel
9192,practical
3543,iger
7315,grafeld
7275,upset
2187,casino
5188,detergent
4115,harry
4014,storm
7154,landed
8738,harbour
2616,winner
3029,downturn
9930,resemblance
8509,jealous
2000,traders
694,minister
2036,follows
5268,precise
4464,sway
7949,loophole
4584,cryptocurrencies
7664,define
6094,anonymous
7886,beaches
6843,goelman
2265,visa
7541,productions
4118,cerberus
5733,wisconsin
2194,aircraft
6897,guichard
6842,electoral
9992,shonda
6964,preparations
1660,race
464,account
9112,unrelated
9211,jurisdiction
763,election
9355,avocado
1221,exports
9543,couch
17,according
8058,myriad
56,month
4939,anglo
79,brands
3895,nest
2715,tenants
4849,levi
4166,deloitte
1225,thanks
7897,blower
1247,specific
7004,lejuez
0,said
7708,refugees
5354,conclusion
1787,join
4986,macron
126,global
943,stanley
5677,communicate
7316,moonves
6541,olds
855,addition
9064,wyman
952,summer
9476,perch
6653,apollo
6588,macroeconomic
6187,pressing
459,remain
1576,hikes
711,showed
1765,complaints
3991,reliable
9685,blunts
9585,cleaner
891,stronger
6064,satellites
3249,surrounding
3261,reporter
4904,routinely
6714,dove
1104,hike
9318,monopsony
8506,saha
1128,giants
6245,publishes
4279,rank
654,thing
1004,yields
7797,breaches
7739,delete
6469,jonas
2215,soros
1555,tend
6,index
4348,caution
6521,converted
8462,taps
873,school
5051,tastes
8371,whistleblower
5229,cruise
4478,oversees
2593,closure
3002,guarantee
3648,suddenly
1436,rand
4579,forbes
9900,ballooned
5758,libya
3229,liquidity
9803,domination
210,general
6216,tailwinds
1019,headline
5731,eurozone
6838,reckless
1231,subscribers
3534,immelt
6104,align
9870,cracks
2534,climb
1543,road
6289,oppose
5,walmart
9564,killer
5101,amazing
2375,tighter
4153,wins
7714,benz
2874,federation
937,patients
825,quarterly
529,groups
7160,executing
6437,regard
3042,pieces
288,locations
7444,koch
189,half
3194,arguing
1684,defence
9591,beholden
3305,combat
3230,strzok
6759,shaw
5316,sachin
2621,import
5478,contacted
1763,bonus
2278,transform
5603,entrance
6526,wraps
6452,shrank
1581,turnaround
5569,foothold
9467,melissa
3441,buyback
3134,processing
9614,parameters
9246,enters
515,overall
1754,economies
16,billion
8634,sacramento
3521,exporters
244,nearly
4410,destroy
