symbol,name,industry_id
AAP,Advance Auto Parts Inc W/I,1
AMT,American Tower Corporation (REIT),1
AMZN,Amazon.com Inc.,1
BAM,Brookfield Asset Management Inc,1
BBY,Best Buy Co. Inc.,1
BKNG,Booking Holdings Inc.,1
CCI,Crown Castle International Corporation,1
CCL,Carnival Corporation,1
CHTR,"Charter Communications, Inc.",1
CMCSA,Comcast Corporation,1
COST,Costco Wholesale Corporation,1
CUK,Carnival Corporation,1
CVS,CVS Health Corporation,1
DIS,Walt Disney Company (The),1
EXPD,Expeditors International of Washington Inc.,1
FL,Foot Locker Inc.,1
FOX,"Twenty-First Century Fox, Inc.",1
FOXA,"Twenty-First Century Fox, Inc.",1
FRT,Federal Realty Investment Trust,1
GGP,GGP Inc.,1
GPS,Gap Inc. (The),1
HD,Home Depot Inc. (The),1
KIM,Kimco Realty Corporation,1
KR,Kroger Company (The),1
LB,L Brands Inc.,1
LOW,Lowe's Companies Inc.,1
LVS,Las Vegas Sands Corp.,1
MAC,Macerich Company (The),1
MAR,Marriott International,1
MCD,McDonald&#39;s Corporation,1
NFLX,"Netflix, Inc.",1
PLD,"Prologis, Inc.",1
ROST,Ross Stores Inc.,1
SBUX,Starbucks Corporation,1
SHW,Sherwin-Williams Company (The),1
SPG,"Simon Property Group, Inc.",1
TGT,Target Corporation,1
TJX,TJX Companies Inc. (The),1
WMT,Walmart Inc.,1
ADM,Archer-Daniels-Midland Company,2
CALM,Cal-Maine Foods Inc.,2
CF,CF Industries Holdings Inc.,2
CVGW,Calavo Growers Inc.,2
DF,Dean Foods Company,2
FDP,Fresh Del Monte Produce Inc.,2
GPRE,Green Plains Inc.,2
MON,Monsanto (NYSE:MON),2
MOS,Mosaic Company (The),2
NTR,Nutrien Ltd.,2
PPC,Pilgrim's Pride Corporation,2
SAFM,Sanderson Farms Inc.,2
SMG,Scotts Miracle-Gro Company (The),2
TNH,Terra Nitrogen Company (NYSE:TNH),2
TSN,Tyson Foods Inc.,2
