,MI_Values,target_group
248,0.021897119086884187,investing
84,0.02178579950130377,alexa
564,0.021704034076511336,play
555,0.02133791499217108,interview
868,0.018441293702563977,selloff
763,0.01752442867261239,couple
368,0.017508684447386624,family
930,0.017289291892775394,campbell
996,0.01711254324402378,nuclear
292,0.017042946195952924,user
24,0.016986759473645474,time
335,0.016985077870672383,worst
547,0.01667534791951608,center
865,0.016511737880259503,valuation
833,0.016395964454239076,regulator
594,0.016023725815138112,department
200,0.01599368550924729,intelligence
320,0.015975365743961856,energy
120,0.01593033442315983,power
69,0.015861382715801176,retailer
623,0.015760025439016445,opioid
995,0.015635595041089356,stem
667,0.015477357762724964,cold
895,0.015476946566310268,steve
143,0.015325502251543943,holiday
747,0.015217869725872246,measure
533,0.015173860833014974,intel
516,0.01504753933378633,collapse
972,0.01473391719537731,speaks
359,0.014689082471845083,privacy
227,0.01435541337708024,hedge
202,0.014315060192407358,private
881,0.014115401087442248,beer
800,0.014110293990893474,revolution
933,0.013950440616684157,tightens
86,0.013938624851311365,talk
14,0.013819272812487737,company
526,0.013771662146343289,weighs
300,0.013709448657142964,bigger
772,0.01360665850178755,letter
429,0.013331315055133741,hotel
32,0.013325941452932977,high
249,0.013225910129569973,benefit
44,0.013225451340209471,online
465,0.013212946461787833,cryptocurrency
902,0.013140229301549677,airbus
111,0.013087635138877562,analyst
197,0.013078958392680029,away
776,0.012918703352486904,paid
433,0.012753448680969504,become
119,0.01264722618822467,fight
81,0.01251082681296456,show
324,0.012414848896302955,others
599,0.012354656831692123,fake
743,0.0123495736094823,death
302,0.0123093690860816,walgreens
498,0.012308813964473586,economic
356,0.012291370863872997,central
53,0.01221149036174074,home
403,0.011838518030162115,likely
209,0.01180873270037619,come
312,0.01180060668125904,inside
692,0.011740506425509167,attack
298,0.011618862042396705,inflation
691,0.011510284450707564,berkshire
626,0.01143849597970803,nvidia
607,0.011374892170540996,support
903,0.011370736958858707,soaring
212,0.011368566586053674,even
353,0.011299690110267102,became
367,0.011153053907371202,manager
593,0.01115189145637796,micron
585,0.010913433474439627,effect
846,0.010887415947089973,indian
618,0.010877720076783337,probe
9,0.010831558837759658,street
59,0.010817844635417462,world
893,0.01075526450734321,conversation
925,0.010694934214470875,mobile
422,0.010686903788741597,way
349,0.01062894964152905,since
551,0.010553420166329985,party
233,0.010535646551702138,warner
534,0.010459883642471635,four
986,0.010452076868955551,shot
851,0.010309783957942686,expected
598,0.010269552213112654,express
583,0.010114860122292457,lawmaker
206,0.010106970353492617,rule
520,0.010096469199881497,brainstorm
911,0.00979813103321181,force
404,0.009764356971599497,trader
904,0.009747687652378545,frenzy
263,0.009702756927437939,video
418,0.009684438032796283,term
373,0.009670605559477075,bull
329,0.009651794058584962,mall
694,0.009551200923074488,homeless
275,0.009529062481529627,losing
152,0.009479299371566885,drug
690,0.00946959080339349,dropbox
217,0.009374075644832613,see
285,0.009336871308220918,robot
468,0.009329717740539145,exit
381,0.00927477646870889,tell
140,0.009269211197338478,house
394,0.009222613495244447,reach
184,0.009115364042552532,bitcoin
845,0.009063356232850595,deutsche
179,0.009062181884370135,musk
980,0.009030819967476678,iran
216,0.009026746807427877,made
121,0.009023072505075946,close
417,0.008972971087939596,head
228,0.008893468772356972,cut
680,0.008873419632892787,around
31,0.008818097270863579,plan
756,0.008776103993937356,fuel
103,0.008740103692180146,record
178,0.008726104176299598,warns
780,0.008693587733116681,computer
83,0.008685313947670581,food
906,0.008648481947170161,advertiser
92,0.008646202786829704,future
503,0.0086029297843353,warning
863,0.008602871067990625,announces
888,0.008572346102819983,equality
710,0.008556860212917572,vehicle
473,0.008534915615129313,deficit
424,0.008524608438150283,worry
713,0.008494132980824576,history
61,0.008479647685737168,report
173,0.008470091947005098,wrong
829,0.008447541535022252,ditch
987,0.008361592739253298,planning
531,0.008298230276920338,focus
270,0.00828047328260273,disney
840,0.008237775477124787,place
284,0.008206980318394397,car
488,0.00817628052968189,economist
151,0.008115896985301907,bond
129,0.008087442009114598,brand
799,0.008059057186657004,mining
393,0.008054270191426127,currency
762,0.007937653829838576,medical
314,0.007886615133070096,selling
12,0.007866348512610699,china
141,0.007851503537392057,whole
879,0.007806601077091191,citigroup
72,0.00778953118811776,sell
940,0.007725688177358192,healthy
703,0.007714397019455754,chance
70,0.007692053275352828,growth
566,0.0076700531408211425,action
47,0.0076585015591432715,face
926,0.007634528380117578,restaurant
733,0.0076028859539363225,salesforce
645,0.007592229258296612,left
998,0.00759215651496814,alone
