,MI_Values,target_group
41,0.03987554439320662,store
97,0.03905389864257991,retailer
498,0.030790587638036326,shopper
139,0.02592417231947275,risk
120,0.02442344108336436,walmart
780,0.02230524432730685,follow
51,0.021988378005067366,bank
425,0.02165855766638658,hold
274,0.021450758361384326,chain
119,0.021412481589471177,number
497,0.020892047064274166,single
154,0.020681809340131085,retail
105,0.020278921044632137,should
30,0.01963815088910037,even
646,0.01874005215640473,grocery
614,0.018670543793051664,claim
129,0.018573055966801588,against
900,0.018158228154727896,existing
957,0.018075401943004277,situation
915,0.0177529796758622,reality
692,0.017686930325752748,previously
598,0.01760977513489781,player
543,0.017440267482524918,tax
62,0.017393665685278448,industry
385,0.016937177224110034,election
930,0.01687247909718481,sport
442,0.016781287134074674,must
962,0.01675518189950176,germany
755,0.016239083830819068,chip
512,0.015805598717862024,bring
197,0.01578109225069979,whether
96,0.01551542855074639,between
469,0.015506909292463122,view
873,0.015195191486139459,tweet
88,0.015182624939923173,employee
361,0.01512411153094484,reason
552,0.015088222519965555,package
597,0.015063872051793714,remains
517,0.015045981132782549,iphone
620,0.014972288803615896,stop
902,0.014952895401670885,learning
884,0.01474826333427215,seem
840,0.014554554770510375,match
632,0.014553978693261804,young
169,0.014470851597129686,office
476,0.014464368742410416,whose
490,0.014304659106205486,action
237,0.014222991526275486,project
189,0.014203559033660218,care
950,0.014163501562625136,couple
991,0.014108255110158785,warner
290,0.01383588034902572,officer
417,0.01363701162525155,item
185,0.013548106643814561,debt
924,0.013526204569591194,russia
768,0.01344286099373071,launch
395,0.01341762964152493,central
731,0.013360948167890019,version
101,0.01329925095002582,share
660,0.013142807637250398,running
545,0.01308601175031976,study
375,0.012970301626710423,turn
487,0.012941601041801087,advertising
76,0.012835389419870946,fund
339,0.012830077406451368,access
644,0.012777654634290148,forward
316,0.012762303486260729,board
672,0.012760886974271468,additional
75,0.012725886815498022,long
421,0.01265057738697517,include
23,0.012635581030409515,sale
763,0.012594025696656796,sense
615,0.012566527794995785,musk
29,0.012488284308590725,many
356,0.012433984929355546,taking
941,0.012410365173962878,sound
811,0.012259557870880622,love
463,0.012201928202643986,speaker
712,0.01219563708290905,labor
127,0.012077852104938946,policy
776,0.012013560008092394,education
66,0.011858128594947503,back
596,0.011820150445497113,marketing
759,0.011776704601839993,positive
313,0.011681134218269218,rule
143,0.011590488253495845,profit
992,0.011536651988928837,reform
886,0.011491325948799425,export
227,0.01135842562073952,something
465,0.011328581652648051,period
852,0.011072474204861127,answer
89,0.01092917085957823,analyst
503,0.010851976656356621,campaign
42,0.010839227514954253,since
986,0.010787101984916392,released
