,article_id,title,description,url,date,content
184,185,Grocery Giant's Boss Hands Christmas Gift to His Enemies,Tesco's ho-hum trading gives Booker shareholders even more power to demand Dave Lewis pays up to acquire the company.,https://www.bloomberg.com/gadfly/articles/2018-01-11/tesco-s-ho-hum-christmas-makes-it-need-booker-even-more,2018-01-11 09:47:42,Tesco Plc had a good Christmas The trouble is it needed a great one Chief Executive Officer Dave Lewis is trying to convince his investors to back the companys 39 billion pound 53 billion purchase of Booker Plc Some of Tescos biggest shareholders have protested that the deal is a distraction from the supermarkets recovery which is still only in its early days A knockout Christmas would have banished any doubts and paved the way for the deal to sail through shareholder votes at the end of February Tesco didnt deliver that Instead its third quarter UK same store sales were a touch below the Bloomberg consensus It also missed expectations over the six weeks to Jan 6 when UK samestore sales rose 19 percent compared with the Bloomberg consensus for a 28 percent increase Source Company reports Bloomberg Intelligence Lewis blamed this on disruption from the slide of Palmer amp Harvey which delivered tobacco and some food items to Tesco stores into administration The company estimates this hurt samestore sales by about 05 percentage point Even taking this into account sales growth is still below consensus Tesco said the Christmas performance had been very strong on food and fresh food in particular But this didnt stop its share price falling more than 45 percent Unexpected Item In the Bagging Area The supermarkets shareholders may argue that Lewis should set aside his Booker dreams and instead stick to mending the core business But the result arguably shows that Tesco needs Booker more than ever Britains grocers performed better than their nonfood counterparts over the holiday period But that was mainly driven by inflation which boosts the value of sales With Brexit related price increases due to ease as the year progresses that tailwind wont last forever The German discounters enjoyed phenomenal sales growth over Christmas Any supermarket boss who thinks their appeal is waning needs to think again Meanwhile Tescos rivals Wm Morrison Supermarkets Plc and WalMart Stores Incs Asda are getting their act together Against this backdrop Tesco needs Booker to bolster its buying power and deliver synergies With cost savings likely to be more than the 200 million pounds announced it could afford to be more generous Source Company reports Bloomberg The targets share price is trading above the value of Tescos offer Even taking into account the estimated 37 pence per share closing dividend that implies some Booker investors think Tesco will have to pay more As Gadfly has argued it would be worth Booker investors pushing for a higher price particularly as their threshold for approval is higher than the level for for Tesco shareholders Dave Lewis shouldnt let his Booker prize slip away  even if that means splashing the cash With assistance from Gadflys Chris Hughes This column does not necessarily reflect the opinion of Bloomberg LP and its owners To contact the author of this story Andrea Felsted in London at afelstedbloombergnet To contact the editor responsible for this story Jennifer Ryan at jryan13bloombergnet
225,226,Walmart Is Boosting Its Starting Hourly Wage to $11 Because of Tax Reform,The increase takes effect next month and will cost $300 million on top of wage hikes that were already planned.,http://fortune.com/2018/01/11/walmart-hourly-wage-trump-tax-reform/,2018-01-11 13:21:41,WalMart Stores is boosting its starting hourly wage to 11 and delivering bonuses to employees capitalizing on the US tax overhaul to stay competitive in a tightening labor market The increase takes effect next month and will cost 300 million on top of wage hikes that were already planned the Bentonville Arkbased retailer said Thursday The onetime bonus of up to 1000 is based on seniority and will amount to an additional 400 million The company is also expanding its maternity and parental leave policy and adding an adoption benefit Tax reform gives us the opportunity to be more competitive globally and to accelerate plans for the US Chief Executive Officer Doug McMillon said in the statement Read Walmart Is Testing Personal Shopping and CashierFree Stores WalMart wmt the nations largest private employer has fought in recent years to improve its image in the US as it weathered criticism over its treatment of employees With the wage increase and bonus payment the worlds biggest retailer seeks to even its pay gap with resurgent rival Target tgt while simultaneously sending a highprofile thank you to the US government for slashing the corporate tax rate
115,116,How Kohl’s Intends to Keep Its New Found Momentum,The chain must now prove its stellar holiday season was not a fluke.,http://fortune.com/2018/01/11/kohls-holidays/,2018-01-11 19:01:27,Kohls kss gave convincing proof this week that its efforts to get back on track are starting to pay off when it reported stellar holiday season sales numbers The retailer said on Monday that comparable sales had risen 69 in November and December outperforming the overall industry and close competitors like Macys m JC Penney jcp and Target tgt The results were the fruit of years of heavy investments in Kohls tech particularly fuller integration of stores and ecommerce improvements to its private brands better use of store space and bringing in brands such as Under Armour in 2017 and Apple and Fitbit earlier into its stores Indeed stores filled 38 of items ordered online making more efficient use of inventory and Kohls bet on activewear paid huge dividends with sales there rising 30 Kohls has made it Priority No 1 to get more people into its stores going so far as to test out a deep partnership with Amazoncom amzn that includes handling returns for its online rival and showcasing some of its products The strong holiday season came after years of stagnation from Kohls as it leaned on a playbook heavily focused on opening big box stores for years But now comes the even hard part keeping that momentum going Kevin Mansell who is stepping down as CEO in May after a decade at the helm says the Christmas period was very strong but believes that the companys moves in the last few years plus the constant innovation it is pursues will keep Kohls turnaround in good stead in the coming years and able to win back market share from competitors Weve done pretty well comparatively so to me that gap is company specific Mansell told Fortune earlier this week Kohls is doing some things better The company which operates some 1160 stores has benefited from seemingly straightforward but crucial steps such as improving the search capability of its web site so it more accurately reflect a customers prior purchases That kind of personalization is also improving Kohls marketing in a big way and Mansell thinks that will be a bigger factor next holiday season Under incoming CEO Michelle Gass who currently serves as Chief Merchandising and Customer Officer Kohls will likely continue to push lining up new merchandise by national brands but also continue to speed up lead times on its own brands which remain a more challenged part of its business Indeed some of Kohls improvements have come from removing some of its own products at stores where they were not catching on rather than imposing a onesizefitsall approach on its stores something that is easier now with stronger inventory management firepower On the tech side Mansell thinks the next steps potentially include features like the Smart Cart where a retailer offers online shoppers a discount if they go fetch an order in a store This is something Walmarts jetcom pioneered and that is likely to become a norm in retail Better tech is something that has enabled Kohls to get its app to help shoppers navigate the deals and discounts that are a Kohls fixture so that customers know what an items price ends up being more easily Mansell told the ICR conference this week that he thinks this Your price feature was behind 30 of online sales growth at the chain during the holidays Kohls may also decentralize some decisionmaking by giving individual stores better told to manage merchandise and payroll more efficient For now Kohls continues to use a small group of stores to pilot and test things to put the company at the vanguard of retail tech and not ever have to play catch up again as it did for a few years not that long ago Were still focused on innovation says Mansell Our business is getting a lot better It will up to him for the next four months and then Gass after that to continue to lead that
188,189,GKN Shouldn't Surrender for $9.5 Billion,"GKN has struggled, but it shouldn't surrender to opening Melrose gambit.",https://www.bloomberg.com/gadfly/articles/2018-01-12/gkn-shouldn-t-surrender-for-9-5-billion,2018-01-12 11:15:43,GKN Plcs defenses could scarcely be weaker in the face of Fridays unsolicited takeover approach from plucky deal machine Melrose Industries Plc But the British engineer was right to reject this audacious proposal Its shareholders however desperate for a boost should be wary of surrender Last year was terrible for GKN Accounting errors and mismanagement in its US operations led to profit warnings and the departure of the CEOdesignate before hed stepped up Melrose is an MampAdriven company with a decent record in buying struggling industrial companies improving them and selling them on GKN may be an ambitious prize given its relative size but it fits the profile of a Melrose target The initial cash and shares proposal valued GKN at 7 billion pounds 95 billion a 22 percent premium to the targets 57 billion pounds market capitalization on Thursday A jump in Melrose shares in response to the news has lifted the value of the approach to 72 billion pounds with GKNs market value jumping to pretty much the same level Theres no firm offer yet and Melrose could walk away rather than formalize its approach Still the market reaction puts little pressure on Melrose to make a much more generous pitch The attraction for GKN shareholders is plain to see Melrose has a credible management team A takeover on the outline terms would be a chance for GKN investors to receive about 14 billion pounds in cash  roughly the premium on offer  and ride a turnaround via a 57 percent stake in Melrose In the wake of the assault GKN has rushed through a host of major changes that were likely to have been made public soon anyway It is going to break itself up into separate automotive and aerospace businesses a move many investors have long sought It has appointed a CEO in Anne Stevens the nonexec who took the role on an interim basis last year Confirmation of the breakup plan would probably have put a rocket under GKNs shares without Melroses bid interest The upside from doing the splits could be considerable Deutsche Bank recently estimated GKNs equity value could be 77 billion pounds on a sumoftheparts basis One obvious attraction is the possibility of takeover bids for the individual units  potentially at higher premiums than the Melrose approach for the whole business Whats more GKNs profitability and cash flow dont reflect its strong market positions The question is whether Stevens and her team or the Melrose board are better placed to fix that Stevens has impressive credentials but her appointment is nevertheless driven by circumstance For GKN shareholders the attraction of the standalone option is they get to keep all the upside from a turnaround and separation rather than sharing it with Melrose investors The suitor brings no industrial synergies just a different board Stevens ought to be able to do anything Melrose can do she just needs to convince the market A management shakeup and some concrete targets would be a good place to start This column does not necessarily reflect the opinion of Bloomberg LP and its owners To contact the author of this story Chris Hughes in London at chughes89bloombergnet To contact the editor responsible for this story James Boxell at jboxellbloombergnet
186,187,A Tempting Buyout Target?,A private equity bid for GKN looks a long shot.,https://www.bloomberg.com/gadfly/articles/2018-01-15/why-carlyle-takeover-of-melrose-target-gkn-would-be-long-shot,2018-01-15 11:57:55,GKN Plc looks a tempting target for private equity But it will be hard for the embattled UK engineer to lure a buyout firm into an auction against putative bidder Melrose Industries Plc The attractions of GKN to a financial sponsor are the same as those to Melrose Its a business that has long been poorly run with profitability below what Melrose and even its own management think is achievable It could also be broken up and sold off in parts each transaction offering the chance to make a turn GKN is already planning to split itself in two Melroses plan involves some less radical asset sales GKNs UK pension deficit 11 billion Whats more GKN seems to have a strong balance sheet Net debt is expected to end 2017 at 846 million pounds 12 billion or 08 times Ebitda Bloomberg data show That suggests scope for a buyout firm to use borrowed money to fund a deal Melroses 7 billionpound takeover proposal includes a plan to increase debt and pay out 14 billion pounds to GKN shareholders lifting the enlarged groups leverage to 25 times Ebitda Its not surprising then that Carlyle is considering an offer according to the Sunday Times The big obstacle is the targets UK pension deficit of 11 billion pounds The plans trustees would rightly demand more annual topups into the retirement program to compensate for the increased risk of a more heavily geared balance sheet That would lower the returns for the private equity owner There are other difficulties Private equity would want full ownership Melrose would give GKN shareholders a share in the enlarged company allowing them to benefit from whatever performance boost follows Institutional investors may be wary of selling to a private equity firm for fear of being embarrassed later on if the new owner makes great returns  a feeling they have suffered before To overcome all this a buyout firm would need to make a knockout offer In that scenario Melroses share price would suffer weakening the value of its proposal Theres a snag a price thats too high for Melrose would probably also be too high for private equity Melrose can certainly afford to pay more A 10 percent bump on its starting figure would lift the value of its proposed bid to about 445 pence a share giving it a more credible 37 percent premium to GKNs undisturbed share price That would cost 77 billion pounds or 85 billion pounds including assumed net debt If Melrose can drive operating margins to 10 percent operating profit net of tax would be roughly 880 million on the 11 billion pounds of revenue forecast for 2020 That would be equivalent to a 10 percent return comfortably exceeding GKNs own cost of capital Melrose can afford to be more generous Finding an allcash bidder that would force it to be so is another matter This column does not necessarily reflect the opinion of Bloomberg LP and its owners To contact the author of this story Chris Hughes in London at chughes89bloombergnet To contact the editor responsible for this story Edward Evans at eevans3bloombergnet
86,87,CVS Says It’s Eliminating Major Photo Touch-Ups on Models for Its Beauty Products,They'll be gone by 2020.,http://fortune.com/2018/01/15/cvs-beauty-touch-ups/,2018-01-15 13:15:18,CVS Health cvs wants shoppers to see its beauty products in all their glory wrinkles and all The company which operates about 10000 CVS pharmacy drugstores said Monday it aimed to eliminate by 2020 the use of imagery that has been materially altered with touch ups on its beauty products like cosmetics skincare haircare and personal care items and in its stores beauty sections The move is likely aimed at winning over more female customers at a time of heightened competition in the beauty industry Whats more beauty products are a 34 billion a year business for CVS generating 42 of retail sales in 2016 but that was a drop from the previous years The category is essential to generating shopper visits CVS has struggled for several years with declining sales of general merchandise in its stores declines offset by its booming prescriptions business As a woman mother and president of a retail business whose customers predominantly are women I realize we have a responsibility to think about the messages we send to customers said CVS pharmacy President Helena Foulkes ahead of an announcement of the effort at that National Retail Federation conference in New York There have been frequent backlashes against the use of major alterations to photos of models in the beauty and fashion industries in recent years The new standards of photo alterations related to beauty products whether in its stores web site or social media feeds will be showcased by a CVS Beauty Mark a watermark on products that will signal to shoppers that images on a product were not significantly altered CVS says it is lining up some major national brands to also take part in addition to its own brands But the company will require the nobigtouchup approach extend to any beauty products it sells by 2020 The watermark will start to appear on CVS house brands this year Below is an example from a previous campaign to show what it would look under the new CVS guidelines The move is also the latest salvo by CVS in the beauty wars with rivals such as Walgreens wba and Target tgt Last year CVS announced new beauty sections being rolled out at 2000 its stores Those featured things like trend wall displays added to showcase new products launches and an area to showcase Korean products to ride the surge in interest in skin care products from that country CVS which recently said it would acquire giant health insurer Aetna aet four years ago eliminated tobacco products from its stores as part of its pivot to being seen as a health care company rather than a retailer The company also owns Caremark one of the largest pharmacy benefits managers in the country
182,183,No Room to Negotiate,Melrose has little interest in securing the co-operation of GKN's board.,https://www.bloomberg.com/gadfly/articles/2018-01-17/no-room-to-negotiate,2018-01-17 12:12:12,Some bidders take as long as they can before formalizing their takeover proposals hoping their targets shareholders will push a besieged management team to the negotiating table Not so Melrose Industries Plc Within days of its interest in British engineering giant GKN Plc becoming public the turnaround specialist has made a formal offer The move underscores the weakness of GKNs position and how little the bidder thinks the cooperation of its target is worth Case To Answer GKN underperformed its benchmarks in 2017 after unearthing problems in its US operations Source Bloomberg Under British takeover rules Melrose had until early February to firm up its offer or walk away On Wednesday it said it would make a bid in cash and shares setting the clock ticking The rules give targets plenty of time to mount a defense and it could be month before GKN  which rejected the offer almost at once  sets out a detailed rebuttal Even so GKN needs all the time it can get It only appointed a permanent CEO on Friday GKN cant now threaten to leave the pitch a tactic that could have led to talks on a recommended deal But that matters little A Melrose takeover probably wouldnt face major regulatory or political hurdles The cooperation of GKN chairman Mike Turner and his board clearly isnt of much use One Step Ahead GKNs share price has moved ahead of Melroses offer despite the bidders share price gaining Source Bloomberg If the bidder is on the hook the price it has committed to is low Based on Melroses stock price on Wednesday the offer is worth 425 pence a share less than GKNs current price of 442 pence Melrose can dream of GKN shares falling below that but its unlikely Analysts calculate that the breakup value of GKN is in line with its current share price Melrose can afford more and the market knows it Melroses shares dipped 15 percent to 231 pence after it bid That probably reflects greater certainty of a deal happening if merger arbitrage funds are buying GKN and selling Melrose short Investors probably expect a raised offer at a later stage Melrose has several options to make a better offer closer to GKNs current share price True it would struggle to use debt to add more cash without pushing the combined companys leverage to a level that antagonizes GKNs pension trustees But it could yet tap its own shareholders for funds in a rights offering as it has in previous deals Or it could up the share component Giving GKN shareholders 59 percent of the combined company rather than the proposed 57 percent would lift the value of the bid to 450 pence a share Not too painful GKN argues its shareholders shouldnt agree to Melroses offer and give up a share of the benefits they would reap from its recovery But investors now have to run a brutal calculation is roughly half of Melroses management expertise worth more than 100 percent of the GKNs lessthancredible board So long as Melroses share price holds its clear what its offer is worth GKN needs to unpack its side of the equation This column does not necessarily reflect the opinion of Bloomberg LP and its owners To contact the author of this story Chris Hughes in London at chughes89bloombergnet To contact the editor responsible for this story Edward Evans at eevans3bloombergnet
211,212,Coming to a grocery store near you: Self-driving shopping carts and smart shelves,Amazon buying Whole Foods pushed companies like Kroger and Walmart to accelerate innovations around grocery shopping.,https://www.cnbc.com/2018/01/17/coming-to-a-grocery-store-near-you-self-driving-carts-smart-shelves.html,2018-01-17 18:23:00,US grocers are playing catch up div gt divgroup gt pfirstchildgt Held back by razorthin profit margins which have made investing difficult grocery retailers have lagged behind their peers in Europe and parts of Asia in making strides with technology that reduces the time shoppers spend navigating aisles ringing up purchase and bagging items But then Amazon showed up and acquired Whole Foods Now theres more pressure to roll out projects that may have been in a pilot phase  or try new things entirely The technology is more mature now and these things are becoming easier to do Mike McNamara the executive vice president chief information and digital officer for Target told CNBC The problem has been the aesthetics of these solutions for speeding up checkout and perfecting other tasks havent been pleasing to retailers he said and you have to design something thats practical The future of Americas grocery stores will include more scanning devices smart shelves with digital displays and selfdriving shopping carts The Innovation Lab at The National Retail Federations Big Show this year featured a slew of companies showing off their ideas that would revamp the grocery shopping experience Startup SwiftGo was previewing a device to weigh an item as its placed into a cart ensuring everything is accounted for as a shopper scans food and drinks and checks out from a mobile app As more companies look to add scan and go options inside their stores theft remains a major issue of concern but weight scales in carts offer one way to mitigate that challenge SwiftGo had also added red lights to grocery carts that would light up to notify employees when it appeared a customer hadnt scanned an item to pay for it Focal Systems showed off grocery carts equipped with a tablet to help a shopper navigate the store locate relevant promotional offers and automatically pay without a cashier AnheuserBusch InBev and other food brands are also working with Focal Systems to monitor outofstock items by accessing the images taken from cameras on the sides of shopping carts Targets partnership with Zebra which sells scanning devices and label printers among other items was highlighted at the Big Show The bigbox retailer is also working with payment platform Verifone which can help a retailer save the sale on the floor of a store with portable credit card readers All around the world people want to save money and they want to save time Walmart CEO Doug McMillon said during a keynote speech at the event We want to foster a culture that supports change and helps us go along the journey were all on which will lead to even more change in the future
241,242,Tiffany & Co Had a Sterling Holiday Season but It’s Not Enough Yet,Profit will be down as Tiffany invests more in tech.,http://fortune.com/2018/01/17/tiffany-sales-2/,2018-01-17 20:54:41,Tiffany amp Co tif had a decent holiday season putting it on track to snap a long sales losing streak but the jeweler acknowledged it still has work to do The NewYorkbased company famed for its Fifth Avenue flagship and blue boxes said on Tuesday that comparable sales excluding the effect of currency rose 3 in November and December a much better performance than a year earlier when they fell 1 Most encouraging for Tiffany was that the improvements were broad from items in its new home and accessories collection such as 450 rulers which sold out and created a ton of buzz around the brand to its fashion and highend jewelry Business in most regions was also good though wedding jewelry was a weaker point The results must come as a relief for Tiffany as they put the company on pace to post its first quarter of comparable sales growth in just over two years Comparable sales exclude newly closed or open stores and are often a more reliable gauge of a retailers sales performance than total sales To be sure Tiffany had some wind in its sails compared to a year earlier such as a more favorable consumer environmentthe National Retail Federation said that US retail spending was up 55 in the 2017 holiday season the best performance in almost a decadeand no longer contending with a hit to sales at the Manhattan flagship for a few weeks after President Trumps election in late 2016 At the same time Tiffany said in its report that its 2018 profit could be lower than 2017s despite sales growth because of the need forincreased levels of spending in a number of areas including technology marketing communications visual merchandising digital and store presentation And that shows keen corporate selfawareness Indeed Tiffany shares rose after initial declines early on Wednesday Tiffany is emerging from a difficult period of lackluster sales last summer it hired Alessandro Bogliolo as CEO replacing a chief whod been in his post barely more than a year Tiffany executives had recognized the slow pace at the company and Bogliolos mandate has been to speed up innovation in its jewelry lines and win over more young shoppers with fresher product and product presentation He is also tasked with building up Tiffanys ecommerce which generates only about 6 of sales But the newfound momentum stoked by the first real boost from fashion designer Reed Krakoff work to refresh Tiffanys merchandise will require the investments Tiffany says it will make to be sustainable Though they are far from being Tiffany rivals both Walmart wmt and Target tgt have in recent years taken steps back and sacrificed profit to make investments that so far are proving wise and have lifted their performances As Bogliolo put it in the sales report While we are encouraged with the holiday sales results we believe that the preceding negative comparable store sales trend can only be reversed on a sustainable basis by continuing to evolve our product offerings and customer experience and also by stepping up certain strategic spending in our business he said
161,162,"Your first trade for Thursday, January 18","The ""Fast Money"" traders share their first moves for the market open.","https://www.cnbc.com/2018/01/18/your-first-trade-for-thursday,-january-18.html",2018-01-18 14:05:00,The  Fast Money  traders shared their first moves for the market open div gt divgroup gt pfirstchildgt Pete Najarian was a buyer of UPS Tim Seymour was a buyer Companhia Brasileira de Distribuicao Dan Nathan was a buyer of Intel Guy Adami was a buyer of Johnson amp Johnson Trader disclosure On January 17 2018 the following stocks and commodities mentioned or intended to be mentioned on CNBCs Fast Money were owned by the Fast Money traders Pete Najarian is long calls AEO AKS BAC BKD C CHK FCX FGP GDX INTC MAC MU OA ORCL OXY RIG T XOM Pete is long stock AAPL BAC BKE C CMCSA DIS DLTR GILD GIS GM HUM IBM INTC KMI KMX KO LOW MRK MSFT MU NKE PEP PFE STZ TGT TPX UPS WDC WFC Bought calls BAC CHK FGP OXY Bought INTC stock Sold calls BABA DAL ESV GM GOOGL KKR KRE MSFT NBR NUE SBUX SPY WBA WEN XLE XLF Sold stock CSX HAL WBA Tim Seymour is long AMZA APC BABA BAC C CCJ CLF CMG CSCO CX DAL DPZ DVYE EEM EUFN EWM FB FXI GE GILD GM GOOGL HAL INTC LOW M MAT MCD MO MOS MPEL PHM PYPL RAI RH RL SBUX SQ T TIF TWTR UA UAL VALE VIAB VOD VRX XLE XRT 700HK Tim is short IWM RACE SPY Bought BX JD VIPS Dan Nathan is long puts SPY XLF Dan is long calls AN GM INTC Dan is short SMH Guy Adami is long CELG EXAS GDX INTC Guy Adamis wife Linda Snow works at Merck
