,target_group
8,target
4,company
92,central
37,retailer
44,inflation
13,stores
26,bank
171,child
48,commerce
15,online
39,retailers
28,store
68,policy
583,economists
29,retail
59,delivery
76,shoppers
193,economic
389,monetary
1162,stimulus
6255,underperformed
9745,siphoning
7517,recycle
85,government
87,higher
6169,retained
5078,upgrading
1446,inbox
7969,calif
12,sales
6823,freeze
402,currency
3878,sorts
25,group
7104,iron
142,giant
61,rate
644,accounts
9499,vetting
4750,bruce
5501,ruble
112,rates
7276,grant
4581,deficits
2245,doors
2702,extent
114,chain
4253,participation
554,probably
383,raise
34,customers
443,offers
122,shopping
8012,ringing
365,experience
6573,preview
8797,assigned
6524,tard
6943,barring
5263,gennette
6456,tires
232,power
1633,restaurant
550,basis
4154,disrupting
3605,default
1428,straight
772,measures
3180,votes
1304,lending
2156,crew
9254,departures
2197,sensitive
5166,loses
3300,skill
458,mortar
9746,fruition
5406,chat
6083,coles
3968,ward
1275,gauge
4186,console
3809,siri
5635,conviction
1042,strength
9763,mohan
452,goal
689,crisis
341,known
5749,aapl
2175,relationships
2908,drew
2701,complicated
8457,columnist
1900,speaking
8181,gambling
7404,inefficient
3863,borders
4594,attempted
6025,divided
4603,forms
4222,corporation
110,recent
7950,intensity
5739,exporting
7122,sacred
3770,fundamentally
1065,regulators
9115,shower
1412,supermarkets
516,reports
6097,purposes
722,supermarket
7568,mixing
1370,parent
610,yield
2958,implications
1825,electricity
132,term
4764,streams
3456,mckenna
8982,swelled
7663,showdown
83,grocery
7123,erik
4163,harvard
9647,bnef
35,since
4567,vying
6457,greenback
3074,favour
6267,acted
4791,earnest
673,launch
5608,repair
5967,lavish
578,budget
310,assets
1459,instance
5133,spare
272,post
6718,accountability
514,exchange
8934,notorious
3563,guys
2181,visits
9958,extensively
909,either
7092,peeps
6455,najib
8030,propel
4151,theme
290,banks
6003,summers
8631,complicate
8851,workshop
2677,applied
6089,metrix
917,potentially
6027,pressed
2475,ends
2153,entirely
6937,impulse
2304,body
1828,practice
124,economy
8248,episodes
9394,kufpec
1757,crude
2113,reduction
4495,alike
8939,polk
2889,barrel
8641,natalie
639,bonds
4460,choosing
1367,partnerships
6939,mighty
9360,caucus
5950,experiencing
862,momentum
8780,beleaguered
159,dollar
6639,mired
8463,businessman
996,weak
237,space
7976,stocking
2538,soft
7692,loves
824,homes
585,traffic
3373,winter
1115,anti
6313,newcomers
2445,agreements
9807,gopal
5012,brett
8211,sourced
476,officials
502,domestic
3464,wife
560,decline
7269,limitations
1141,kept
1518,language
1444,tightening
4330,careful
8052,ally
161,digital
3437,suspect
6311,method
3937,application
3962,carried
2105,developments
8548,polling
9087,circulation
2885,structural
8175,fledgling
1630,cover
3320,enjoyed
8353,manufacture
1609,laws
8472,friction
8203,exceptional
4311,lockers
2540,touch
6209,sleeping
5665,ordinary
2177,type
6353,citizen
3790,watchers
7330,scientific
758,effort
2410,pilot
7355,unexplained
6813,seaburg
1526,harder
1768,lift
1264,output
9118,hoboken
5626,advises
8897,softer
138,reported
3508,homeless
7722,lining
4239,liberal
819,marketplace
4074,gartner
5497,indonesian
